vote_district_id,vote_letter_id,wlk_eu,wlk_gm,address,name,full_address,barrier_free,note
10101,10171,1    ,01   ,Georgsplatz 10,Kaiserin-Augusta-Gymnasium,50676 Köln,J,Eingang über Follerstr./Ecke Weberstraße
10102,10172,1    ,01   ,Perlengraben 101,Berufskolleg Perlengraben,50676 Köln,J,Eingang Waisenhausgasse
10103,10172,1    ,01   ,Perlengraben 101,Berufskolleg Perlengraben,50676 Köln,J,Eingang Waisenhausgasse
10104,10176,1    ,03   ,Trierer Str. 8,KGS Trierer Str.,50676 Köln,J,Eingang Am Pantaleonsberg
10105,10172,1    ,01   ,Trierer Str. 8,KGS Trierer Str.,50676 Köln,J,Eingang Am Pantaleonsberg
10106,10173,1    ,01   ,Trierer Str. 8,KGS Trierer Str.,50676 Köln,J,Eingang Am Pantaleonsberg
10107,10173,1    ,01   ,Ulrichgasse 1,Berufskolleg Ulrepforte,50678 Köln,J,
10108,10173,1    ,01   ,Zwirnerstr. 15,GGS Zwirnerstr.,50678 Köln,J,
10109,10174,1    ,01   ,Dreikönigenstraße 23,Bürgerhaus Stollwerck,50678 Köln,J,
10110,10174,1    ,01   ,Zwirnerstr. 15,GGS Zwirnerstr.,50678 Köln,J,
10111,10175,1    ,01   ,Severinswall 43,AWO Arnold-Overzier-Haus,50678 Köln,J,
10112,10175,1    ,01   ,Severinswall 43,AWO Arnold-Overzier-Haus,50678 Köln,J,
10113,10175,1    ,01   ,Severinswall 43,AWO Arnold-Overzier-Haus,50678 Köln,J,
10114,10176,1    ,03   ,Frankstr. 26,Konrad-Adenauer-Realschule,50676 Köln,J,
10115,10177,1    ,03   ,Frankstr. 26,Konrad-Adenauer-Realschule,50676 Köln,J,
10116,10177,1    ,03   ,Frankstr. 26,Konrad-Adenauer-Realschule,50676 Köln,J,
10117,10177,1    ,03   ,Frankstr. 26,Konrad-Adenauer-Realschule,50676 Köln,J,
10118,10172,1    ,01   ,Großer Griechenmarkt 76,Kath. HS Großer Griechenmarkt,50676 Köln,J,
10119,10171,1    ,01   ,Großer Griechenmarkt 76,Kath. HS Großer Griechenmarkt,50676 Köln,J,
10120,10178,1    ,06   ,Georgsplatz 10,Kaiserin-Augusta-Gymnasium,50676 Köln,J,Eingang über Follerstr./Ecke Weberstraße
10201,10271,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10202,10271,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10203,10271,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10204,10271,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10205,10271,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10206,10272,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10207,10272,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10208,10272,1    ,02   ,Mainzer Str. 30-34,KGS Mainzer Str.,50678 Köln,J,
10209,10272,1    ,02   ,Zugweg 48,Berufskolleg Südstadt,50677 Köln,J,
10210,10272,1    ,02   ,Zugweg 48,Berufskolleg Südstadt,50677 Köln,J,
10211,10273,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10212,10273,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10213,10273,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10214,10273,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10215,10274,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10216,10274,1    ,02   ,Loreleystr. 3,GGS Loreleystr.,50677 Köln,N,
10217,10274,1    ,02   ,Kartäuserwall 40,Humboldt-Gymnasium,50676 Köln,J,
10218,10274,1    ,02   ,Kartäuserwall 40,Humboldt-Gymnasium,50676 Köln,J,
10219,10275,1    ,02   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
10220,10275,1    ,02   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
10221,10275,1    ,02   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
10222,10275,1    ,02   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
10223,10276,1    ,03   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
10224,10276,1    ,03   ,Pfälzer Str. 30,GGS Pfälzer Str.,50677 Köln,J,
