Stimmbezirk;WahlgebÃ¤ude;Straße;Nr;NrZusatz;Eingang;PLZ;Ort;Stadtteil;Rollstuhlgerecht
10101, 10120;"Friedrich-Wilhelm
Gymnasium";Severinstr.;241;;;50676;Köln;221-91628;Altstadt-Süd;j
10102, 10103;Berufskolleg Perlengraben;Perlengraben;101;;Eingang Waisenhausgasse;50676;Köln;221-91955;Altstadt-Süd;j
10104, 10105, 10106;"KGS
Trierer Str.";Trierer Str.;8;;Am Pantaleonsberg;50676;Köln;312493;Altstadt-Süd;j
10107;Berufskolleg Ulrepforte ;Ulrichgasse;1;;;50678;Köln;"221-91935 
221-91655";Altstadt-Süd;j
10109;Bürgerhaus Stollwerck;Dreikönigenstr. ;23;;;50678;Köln;0221-9911080;"Altstadt-
Süd";j
10108, 10110;"GGS
Zwirnerstr.";Zwirnerstr.;15;;;50678;Köln;99 06 76-0;Altstadt-Süd;j
10111, 10112, 10113;"AWO Arnold-
Overzier-Haus";Severinswall ;43;;;50678;Köln;3301-166;Altstadt-Süd;j
10114, 10115, 10116, 10117;Konrad-Adenauer-Realschule;Frankstr.;26;;;50676;Köln;35 58 31-0;Altstadt-Süd;j
10118, 10119;KHS Großer Griechenmarkt;Großer Griechenmarkt;76;;;50676;Köln;9215830;Altstadt-Süd;j
10201, 10202, 10203, 10204, 10205, 10206, 10207, 10208;KGS Mainzer Str.;Mainzer Str.;30-34;;;50678;Köln;35 66 636-0;Neustadt-Süd;j
10209, 10210;Berufskolleg Südstadt;Zugweg;48;;;50677;Köln;34 02 63 27;Neustadt-Süd;j
10211, 10212, 10213, 10214, 10215, 10216;GGS Loreleystr.;Loreleystr.;3;;;50677;Köln;0;Neustadt-Süd;n
10217, 10218;Humboldt-Gymnasium;Kartäuserwall;40;;;50676;Köln;221-9 19 14;Neustadt-Süd;j
10219, 10220, 10221, 10222, 10223, 10224;GGS Pfälzer Str.;Pfälzer Str.;30;;;50677;Köln;35500770;Neustadt-Süd;j
10225, 10226, 10227, 10228, 10229, 10230;"Stephan-Lochner-
Grundschule";Lochnerstr.;13-15;;;50674;Köln;3553368-15;Neustadt-Süd;n
