zip;;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50674;;Aachener Glacis;1;1a;;;Neustadt/Nord;10405;18;;
50674;;Aachener Str.;1;71;2;130;Neustadt/SÃ¼d	;10235;13;;
50931;;Aachener Str.;75;327;188;250;Lindenthal;30326;14;;
50933;;Aachener Str.;;;302;378;Braunsfeld;30408;14;;
50933;;Aachener Str.;329;413;;;Lindenthal;30326;14;;
50933;;Aachener Str.;;;392;458;Braunsfeld;30405;14;;
50933;;Aachener Str.;415;497;;;Braunsfeld;30409;14;;
50933;;Aachener Str.;503;571;;;Braunsfeld;30405;14;;
50933;;Aachener Str.;605;689;504;698a;Braunsfeld;30404;14;;
50933;;Aachener Str.;701;703;704;812;MÃ¼ngersdorf;30505;14;;
50933;;Aachener Str.;;;952;972;MÃ¼ngersdorf;30504;14;;
50858;;Aachener Str.;1001;1019a;;;Junkersdorf;30604;14;;
50858;;Aachener Str.;1021;1051;1002;1052;Junkersdorf;30603;14;;
50858;;Aachener Str.;1057;1063;1054;1068a;Junkersdorf;30601;14;;
50858;;Aachener Str.;1087;1141;;;Weiden;30704;14;;
50933;;Aachener Str.;;;1100;;Weiden;30704;14;;
50858;;Aachener Str.;;;1102;1102a;Weiden;30704;14;;
50933;;Aachener Str.;;;1104;;Weiden;30704;14;;
50858;;Aachener Str.;;;1106;1122;Weiden;30704;14;;
50858;;Aachener Str.;;;1128;1186;Weiden;30705;14;;
50933;;Aachener Str.;1145;;;;Weiden;30705;14;;
50858;;Aachener Str.;1147;1215;;;Weiden;30705;14;;
50858;;Aachener Str.;;;1208;1210;Weiden;30706;14;;
50859;;Aachener Str.;;;1212;1296;Weiden;30706;14;;
50858;;Aachener Str.;1253;;;;Weiden;30706;14;;
50859;;Aachener Str.;1259;1327;;;Weiden;30706;14;;
50859;;Aachener Str.;;;1312;1420;Weiden;30707;14;;
50859;;Aachener Str.;1331;1347;;;Weiden;30708;14;;
50933;;Aachener Str.;1349;;;;Weiden;30708;14;;
50859;;Aachener Str.;1351;1413g;;;Weiden;30708;14;;
51145;;Aachener Str.(Porz);3;39;2;26;Porz;70601;17;;
50769;;Abendrothstr.;5;13;8;24;Seeberg;60304;16;;
51109;;Abshofstr.;1;75;4;84;Merheim;80602;17;;
50935;;Abt-Herwegen-Str.;5;17;4;12;Lindenthal;30318;14;;
51143;;Abtsweg;1;19;2;48;ZÃ¼ndorf;71401;17;;
50678;;Achterstr.;1;29;2;42;Altstadt/SÃ¼d;10110;13;;
50678;;Achterstr.;45;59;44;54;Altstadt/SÃ¼d;10109;13;;
50678;;Achterstr.;71;83a;62;68;Altstadt/SÃ¼d;10108;13;;
50999;;Ackerhummelweg;3;33;4;34;Rodenkirchen;20814;13;;
51065;;Ackerstr.;;;6;44;Buchheim;90305;19;;
51065;;Ackerstr.;;;46;118;Buchheim;90304;19;;
51065;;Ackerstr.;;;144;146;Buchheim;90303;19;;
50858;;Ackerwinde;1;31a;2;28;Junkersdorf;30602;14;;
51067;;Adalbert-Stifter-Str.;5;13;2;20;Holweide;90407;19;;
50996;;Adalbert-Stifter-Weg;1;5;2;4;Rodenkirchen;20806;13;;
51103;;Adalbertstr.;1;17;2;24;HÃ¶henberg;80406;18;;
51145;;Adam-Linden-Str.;1;41;2;16;Eil;70504;17;;
51063;;Adamsstr.;1;83;16;80;MÃ¼lheim;90114;19;;
51063;;Adam-Stegerwald-Str.;1;31;16;36;MÃ¼lheim;90101;19;;
50996;;Adamstr.;5;27;2;40a;Rodenkirchen;20804;13;;
50733;;Adam-Wrede-Str.;;;2;12;Nippes;50123;15;;
51143;;Adelmutstr.;1;13;2;14;ZÃ¼ndorf;71405;17;;
50997;;Adlerstr.;1;29;4;12;Rondorf;20607;13;;
50997;;Adlerstr.;;;14;144;Rondorf;20608;13;;
50829;;Adlerweg;1;19;2;30;Vogelsang;40404;15;;
50670;;Adolf-Fischer-Str.;;;2;10;Altstadt/Nord;10311;18;;
51147;;Adolf-Kalsbach-Str.;;;2;54a;Libur;71301;17;;
51061;;Adolf-Kober-Str.;1;21;2;62;Stammheim;90801;19;;
50999;;Adolf-Menzel-Str.;3;21;;;Rodenkirchen;20812;13;;
50999;;Adolf-Menzel-Str.;;;6;20;Rodenkirchen;20813;13;;
51147;;Adolph-Kolping-Str.;1;35;2;32;Wahn;71101;17;;
51147;;Adolph-Kolping-Str.;37;51;40;76;Wahn;71102;17;;
50679;;Adolphstr.;1;35;2;46;Deutz;10503;18;;
51149;;Adrian-Kiels-Str.;1;7;4;8;Westhoven;70203;17;;
50859;;Adrian-Meller-Str.;3;11;2;10;Widdersdorf;30903;14;;
50668;;Aduchtstr.;1;11;2;12;Neustadt/Nord;10425;18;;
50939;;Aegidienberger Str.;1;27;2;32;SÃ¼lz;30201;14;;
50937;;Ã„gidiusstr.;1;57;2;64;SÃ¼lz;30223;14;;
50937;;Ã„gidiusstr.;67;73;66;74;SÃ¼lz;30224;14;;
50933;;Ã„hrenweg;1;27;2;24;MÃ¼ngersdorf;30507;14;;
51069;;Aeltgen-DÃ¼nwald-Str.;1;89;2;40;DÃ¼nnwald;90702;19;;
51109;;Ã„nne-Schulte-Str.;1;9;4;36;Merheim;80605;17;;
