zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50226;Aachener Straße;549;721;532;744;Frechen;23;;;91
50226;Aachener Straße;507;509;570A;570A;Frechen;4;;;91
50226;Adam-Schall-Straße;1;59;16;106;Frechen;5;;;91
50226;Adam-Schall-Straße;61;117;;;Frechen;6;;;91
50226;Adam-Stegerwald-Straße;1;17;2;14;Frechen;18;;;91
50226;Adolf-Vogt-Straße;1;7;2;24;Frechen;21;;;91
50226;Adolph-Kolping-Straße;1;21;4;20;Frechen;10;;;91
50226;Aegidiusstraße;15;79;2;74;Frechen;6;;;91
50226;Ahornweg;23;23;30;56;Frechen;7;;;91
50226;Ahornweg;1;15;6;24;Frechen;9;;;91
50226;Ahrendgäßchen;3;19;4;18;Frechen;12;;;91
50226;Akazienweg;3;9;2;8;Frechen;9;;;91
50226;Albert-Einstein-Straße;;;2;12;Frechen;8;;;91
50226;Albert-Schweitzer-Straße;1;35;6;38;Frechen;10;;;91
50226;Alfred-Nobel-Straße;1;51;28;52;Frechen;17;;;91
50226;Allee zum Sportpark;21;33;2;54;Frechen;10;;;91
50226;Alte Aachener Straße;1;5;2;6;Frechen;23;;;91
50226;Alte Bachstraße;1;27;4;30;Frechen;18;;;91
50226;Alte Landstraße;1;35;2;24;Frechen;12;;;91
50226;Alte Straße;225;251;224;248;Frechen;10;;;91
50226;Alte Straße;1;221;34;212;Frechen;11;;;91
50226;Am Apostelhof;1;73;8;68;Frechen;5;;;91
50226;Am Bitzenkamp;1;67;2;34;Frechen;19;;;91
50226;Am Buschacker;3;15;4;16;Frechen;23;;;91
50226;Am Dachsbau;1;29;2;22;Frechen;20;;;91
50226;Am Hang;3;45;2;34;Frechen;12;;;91
50226;Am Haus Broich;1;9;;;Frechen;19;;;91
50226;Am Judenbroich;1;19;2;20;Frechen;15;;;91
50226;Am Kaninsberg;1;21;2;56;Frechen;3;;;91
50226;Am Kapellchen;3;17;6;14;Frechen;1;;;91
50226;Am Lindchen;1;53;2;32;Frechen;8;;;91
50226;Am Rinnenfeld;;;2;56;Frechen;12;;;91
50226;Am Rittersberg;;;2;72;Frechen;12;;;91
50226;Am Römerbrunnen;1;9;2;32;Frechen;3;;;91
50226;Am Sartoriushof;9;39;2;26;Frechen;5;;;91
50226;Am Sportplatz;;;4;4;Frechen;2;;;91
50226;Am Stollenweg;1;27;2;28;Frechen;15;;;91
50226;Am Wasserturm;1;59;10;30;Frechen;13;;;91
50226;Am Weiher;1;29;2;92;Frechen;3;;;91
50226;Am Weingartsberg;1;25;2;10;Frechen;5;;;91
50226;Am Weyerhof;5;17;2;28;Frechen;17;;;91
50226;Am Windmühlenfeld;1;25;2;20;Frechen;4;;;91
50226;Am Zehnthof;5;27;14;36;Frechen;5;;;91
50226;Am Ziegelfeld;1;17;4;20;Frechen;23;;;91
50226;Ammerstraße;1;31;2;2;Frechen;21;;;91
50226;Amphorenhof;1;3;6;16;Frechen;3;;;91
50226;Amselstraße;1;5;2;10;Frechen;21;;;91
50226;An St. Severin;1;25;;;Frechen;12;;;91
50226;An St.Maria Königin;13;27;2;24;Frechen;7;;;91
50226;An der Fischmaar;13;51;12;38;Frechen;8;;;91
50226;An der Fließ;21;21;8;8;Frechen;18;;;91
50226;An der Fließ;1;9;;;Frechen;19;;;91
50226;An der Holzhecke;1;19;2;22;Frechen;19;;;91
50226;An der Kemp;;;16;24;Frechen;6;;;91
50226;An der Mergelskaul;1;79;2;38;Frechen;8;;;91
50226;An der Ronne;1;31;2;18;Frechen;3;;;91
50226;An der Synagoge;3;3;;;Frechen;14;;;91
50226;An der Vogtei;3;35;2;62;Frechen;5;;;91
50226;An der Waidmaar;1;49;2;82;Frechen;8;;;91
50226;An der Ziegelei;1;3;2;12;Frechen;17;;;91
50226;Angerweg;1;37;2;18;Frechen;4;;;91
50226;Antoniterstraße;;;2;18;Frechen;14;;;91
50226;Antoniusstraße;3;53;2;28;Frechen;22;;;91
50226;Arnikastraße;3;21;2;12;Frechen;7;;;91
50226;Arno-Klose-Straße;1;7;4;14;Frechen;18;;;91
50226;Auenweg;1;1;2;16;Frechen;7;;;91
50226;Auf dem Kreuzacker;1;21;2;12;Frechen;17;;;91
50226;Auf dem Rotental;1;51;2;64;Frechen;4;;;91
50226;Auf der Breide;1;9;2;16;Frechen;10;;;91
50226;Augustinusstraße;11;33;10;54;Frechen;23;;;91
50226;B.-A.-Zimmermann-Straße;1;37;2;44;Frechen;4;;;91
50226;Bachemer Straße;;;4;10;Frechen;18;;;91
50226;Badstraße;3;15;2;14;Frechen;22;;;91
50226;Bahnstraße;9;21;6;22;Frechen;14;;;91
50226;Barbarastraße;1;63;2;60;Frechen;15;;;91
50226;Bartmannstraße;61;99;42;94;Frechen;9;;;91
50226;Bartmannstraße;23;43;6;38;Frechen;11;;;91
50226;Baumannstraße;1;19;6;14;Frechen;6;;;91
50226;Baumschulenstraße;7;35;8;54;Frechen;3;;;91
50226;Beethovenstraße;1;23;2;12;Frechen;21;;;91
50226;Benzelrather Straße;1;35;2;12;Frechen;21;;;91
50226;Bergstraße;5;73;2;16;Frechen;4;;;91
50226;Bernhard-Letterhaus-Str;1;27;2;50;Frechen;20;;;91
50226;Bertha-von-Suttner-Straße;1;19;2;6;Frechen;10;;;91
50226;Beyerhahnstraße;1;19;2;20;Frechen;23;;;91
50226;Birkenweg;1;17;2;12;Frechen;8;;;91
50226;Blindgasse;47;53;6;46;Frechen;10;;;91
50226;Blumenstraße;1;25;2;20;Frechen;21;;;91
50226;Bongenbergstraße;1;11;2;12;Frechen;21;;;91
50226;Bonnstraße;3;9;;;Frechen;17;;;91
50226;Brahmsstraße;1;17;2;8;Frechen;21;;;91
50226;Brauweilerstraße;1;31;;;Frechen;3;;;91
50226;Breite Straße;1;81;2;104;Frechen;17;;;91
50226;Breslauer Straße;1;11;2;8;Frechen;22;;;91
50226;Broichgasse;1;37;2;32;Frechen;12;;;91
50226;Brucknerstraße;1;15;2;16;Frechen;21;;;91
50226;Brunnenallee;1;145;2;106;Frechen;3;;;91
50226;Brückenstraße;1;29;;;Frechen;5;;;91
50226;Buchenweg;1;15;2;58;Frechen;9;;;91
50226;Bungertweg;1;11;2;12;Frechen;8;;;91
50226;Burggraben;17;25;4;16;Frechen;19;;;91
50226;Burghofstraße;9;61;0;80;Frechen;5;;;91
50226;Burgstraße;1;33;2;26;Frechen;14;;;91
50226;Burgstraße;39;65;30;64;Frechen;15;;;91
50226;Bükersberg;1;9;2;18;Frechen;22;;;91
50226;Camphausenstraße;1;27;;;Frechen;4;;;91
50226;Carl-Benz-Straße;1;7;;;Frechen;8;;;91
50226;Carl-Goerdeler-Straße;17;43;20;90;Frechen;20;;;91
50226;Carl-Goerdeler-Straße;1;11;4;16;Frechen;18;;;91
50226;Carl-Sutor-Straße;;;12;82;Frechen;13;;;91
50226;Carl-v.-Linne-Straße;1;79;2;98;Frechen;3;;;91
50226;Christian-Beu-Straße;3;17;2;12;Frechen;5;;;91
50226;Christian-Mörs-Straße;1;1;2;6;Frechen;11;;;91
50226;Christine-Plück-Str.;3;7;2;16;Frechen;17;;;91
50226;Clarenbergweg;3;81;2;32;Frechen;18;;;91
50226;Danziger Straße;1;53;2;16;Frechen;13;;;91
50226;Dechant-Hansen-Allee;5;39;6;16;Frechen;2;;;91
50226;Dohlenweg;1;9;2;8;Frechen;2;;;91
50226;Dolomitstraße;1;41;2;62;Frechen;4;;;91
50226;Dornhaustraße;1;3;2;16;Frechen;21;;;91
50226;Dr.-Gottfr.-Cremer-Allee;31;31;;;Frechen;17;;;91
50226;Dr.-Schultz-Straße;1;33;2;32;Frechen;15;;;91
50226;Dr.-Schultz-Straße;37;53;;;Frechen;16;;;91
50226;Dr.-Toll-Straße;1;53;12;36;Frechen;16;;;91
50226;Dr.-Tusch-Straße;1;3;2;10;Frechen;14;;;91
50226;Dr.-Tusch-Straße;5;33;28;38;Frechen;11;;;91
50226;Dr.-Vetter-Straße;1;13;2;28;Frechen;21;;;91
50226;Drosselstraße;1;11;2;12;Frechen;21;;;91
50226;Dürener Straße;7;101;6;52;Frechen;12;;;91
50226;Dürerstraße;1;81;6;78;Frechen;3;;;91
50226;Dürling;5;17;2;20;Frechen;5;;;91
50226;Efeuweg;1;3;2;24;Frechen;4;;;91
50226;Eichelhäherweg;1;17;4;4;Frechen;2;;;91
50226;Eisenhutweg;3;19;;;Frechen;7;;;91
50226;Elchweg;1;1;2;18;Frechen;1;;;91
50226;Elisabethstraße;55;163;32;80;Frechen;8;;;91
50226;Elisabethstraße;9;49;4;30;Frechen;17;;;91
50226;Elisenhof;1;23;2;16;Frechen;22;;;91
50226;Ellernbende;;;2;46;Frechen;19;;;91
50226;Elsa-Brändström-Straße;3;29;4;38;Frechen;10;;;91
50226;Elsternstraße;1;43;14;38;Frechen;1;;;91
50226;Enzianweg;1;15;2;8;Frechen;7;;;91
50226;Ermlandstraße;1;11;2;16;Frechen;13;;;91
50226;Ernst-Heinr.-Geist-Straße;;;12;28;Frechen;17;;;91
50226;Europaallee;1;115;38;54;Frechen;17;;;91
50226;F.-v.-Bodelschwingh-Weg;1;15;4;28;Frechen;10;;;91
50226;Farnweg;1;7;4;8;Frechen;4;;;91
50226;Fasanenweg;1;17;2;8;Frechen;2;;;91
50226;Feldhof;1;5;4;6;Frechen;19;;;91
50226;Feltenstraße;1;1;;;Frechen;18;;;91
50226;Fingerhutweg;1;19;6;36;Frechen;7;;;91
50226;Finkenstraße;1;7;2;8;Frechen;21;;;91
50226;Fliederweg;1;7;2;16;Frechen;7;;;91
50226;Forststraße;3;7;4;10;Frechen;23;;;91
50226;Franz-Hennes-Straße;1;59;2;34;Frechen;14;;;91
50226;Franz-Lenders-Straße;1;61;2;88;Frechen;1;;;91
50226;Franzstraße;1;89;2;98;Frechen;14;;;91
50226;Frechener Straße;13;115;6;8;Frechen;21;;;91
50226;Freiheitsring;;;116;142;Frechen;10;;;91
50226;Freiheitsring;1;85;6;110;Frechen;9;;;91
50226;Freiligrathstraße;1;21;2;30;Frechen;2;;;91
