street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Aachener Glacis,1,1a,,,104,Neustadt/Nord,50674,10405,04,18,93
Aachener Str.,1,71,2,134,102,Neustadt/Süd,50674,10235,03,13,94
Aachener Str.,75,327,186,250,303,Lindenthal,50931,30326,19,14,94
Aachener Str.,,,300,390,304,Braunsfeld,50933,30408,19,14,94
Aachener Str.,329,413,,,303,Lindenthal,50933,30326,19,14,94
Aachener Str.,415,501,,,304,Braunsfeld,50933,30409,19,14,94
Aachener Str.,503,571,392,460,304,Braunsfeld,50933,30405,19,14,94
Aachener Str.,605,689,500,698a,304,Braunsfeld,50933,30404,19,14,94
Aachener Str.,701,999,704,812a,305,Müngersdorf,50933,30505,20,14,94
Aachener Str.,,,952,972,305,Müngersdorf,50933,30504,20,14,94
Aachener Str.,1001,1019a,,,306,Junkersdorf,50858,30604,20,14,94
Aachener Str.,1021,1055,1002,1052,306,Junkersdorf,50858,30603,20,14,94
Aachener Str.,1057,1065,1054,1068a,306,Junkersdorf,50858,30601,20,14,94
Aachener Str.,1087,1141,1100,1122,307,Weiden,50858,30704,20,14,94
Aachener Str.,1145,1215,1128,1190,307,Weiden,50858,30705,20,14,94
Aachener Str.,,,1208,1208,307,Weiden,50858,30706,21,14,94
Aachener Str.,1253,1327,1210,1296,307,Weiden,50859,30706,21,14,94
Aachener Str.,,,1312,1420,307,Weiden,50859,30707,21,14,94
Aachener Str.,1331,1413,,,307,Weiden,50859,30708,21,14,94
Aachener Str. (Porz),3,39,2,26,706,Porz,51145,70601,08,17,93
Aarestr.,,,,,908,Stammheim,51061,90801,37,19,101
Abendrothstr.,5,13,2,24,603,Seeberg,50769,60304,26,16,95
Abshofstr.,1,75,4,84,806,Merheim,51109,80602,44,17,93
Abt-Herwegen-Str.,5,17,4,12,303,Lindenthal,50935,30318,18,14,94
Abtsweg,1,19,2,48,714,Zündorf,51143,71401,11,17,93
Achtergäßchen,,,2,2,101,Altstadt/Süd,50678,10110,01,13,94
Achterstr.,1,29,2,42,101,Altstadt/Süd,50678,10110,01,13,94
Achterstr.,43,59,44,54,101,Altstadt/Süd,50678,10109,01,13,94
Achterstr.,71,83a,60,68,101,Altstadt/Süd,50678,10108,01,13,94
Ackerhummelweg,,,,,208,Rodenkirchen,50999,20814,14,13,94
Ackerstr.,,,6,44,903,Buchheim,51065,90305,35,19,101
Ackerstr.,,,46,118,903,Buchheim,51065,90304,35,19,101
Ackerstr.,,,144,148,903,Buchheim,51065,90303,35,19,101
Ackerwinde,1,31a,2,28,306,Junkersdorf,50858,30602,20,14,94
Adalbert-Stifter-Str.,9,13,2,20,904,Holweide,51067,90407,40,19,101
Adalbert-Stifter-Weg,1,5,2,4,208,Rodenkirchen,50996,20806,14,13,94
Adalbertstr.,1,17,2,26,804,Höhenberg,51103,80406,44,18,93
Adam-Linden-Str.,1,41,2,16,705,Eil,51145,70504,08,17,93
Adamsstr.,1,83,12,80,901,Mülheim,51063,90114,36,19,101
Adam-Stegerwald-Str.,1,31,16,36,901,Mülheim,51063,90101,35,19,101
Adamstr.,1,27,2,28,208,Rodenkirchen,50996,20804,12,13,94
Adam-Wrede-Str.,,,2,12,501,Nippes,50733,50123,33,15,95
Adelmutstr.,1,13,2,14,714,Zündorf,51143,71405,11,17,93
Adlerstr.,1,29,4,12,206,Rondorf,50997,20607,15,13,94
Adlerstr.,,,14,144,206,Rondorf,50997,20608,15,13,94
Adlerweg,1,19,2,30,404,Vogelsang,50829,40404,25,15,95
Adolf-Fischer-Str.,3,3,2,16,103,Altstadt/Nord,50670,10311,05,18,93
Adolf-Grimme-Allee,1,3,2,4,406,Ossendorf,50829,40603,24,15,95
Adolf-Kalsbach-Str.,,,2,54a,713,Libur,51147,71301,10,17,93
Adolf-Kober-Str.,1,21,2,62,908,Stammheim,51061,90801,37,19,101
Adolf-Menzel-Str.,3,21,,,208,Rodenkirchen,50999,20812,14,13,94
Adolf-Menzel-Str.,,,6,20,208,Rodenkirchen,50999,20813,14,13,94
Adolph-Kolping-Str.,1,35a,2,32,711,Wahn,51147,71101,10,17,93
Adolph-Kolping-Str.,37,51,40,76,711,Wahn,51147,71102,10,17,93
Adolphstr.,1,35,2,46,105,Deutz,50679,10503,06,18,93
Adrian-Kiels-Str.,1,7,4,8,702,Westhoven,51149,70203,07,17,93
Adrian-Meller-Str.,3,11,2,10,309,Widdersdorf,50859,30903,21,14,94
Aduchtstr.,1,11,2,12,104,Neustadt/Nord,50668,10425,05,18,93
Aegidienberger Str.,1,27,2,32,302,Sülz,50939,30201,16,14,94
Aeltgen-Dünwald-Str.,1,89,2,40,907,Dünnwald,51069,90702,38,19,101
Aggerstr.,5,23,2,28,801,Humboldt/Gremberg,51105,80106,43,18,93
Aggerstr. (Lövenich),1,35,,,308,Lövenich,50859,30805,21,14,94
Aggerstr. (Lövenich),,,2,30,308,Lövenich,50859,30806,21,14,94
Aggerweg,1,17,,,703,Ensen,51149,70302,07,17,93
Aggerweg,,,2,16,703,Ensen,51149,70303,07,17,93
Ägidiusstr.,1,57,2,64,302,Sülz,50937,30223,17,14,94
Ägidiusstr.,63,73,66,74,302,Sülz,50937,30224,17,14,94
Agilolfstr.,1,5,2,6,102,Neustadt/Süd,50678,10205,02,13,94
Agrippastr.,1,17,6,18,101,Altstadt/Süd,50676,10120,06,13,94
Agrippastr.,37,93,98,98,101,Altstadt/Süd,50676,10119,01,13,94
Agrippinaufer,,,2,10,102,Neustadt/Süd,50678,10202,02,13,94
Agrippinawerft,,,4,30,102,Neustadt/Süd,50678,10202,02,13,94
Ahornstr.,1,55,2,30,607,Esch/Auweiler,50765,60701,28,16,95
Ahornweg,1,29,4,10,403,Bickendorf,50827,40310,24,15,95
Ahornweg (Grengel),1,63,2,74,709,Grengel,51147,70902,09,17,93
Ahornweg (Sürth),7,15,2,20,210,Sürth,50999,21007,14,13,94
Ahornweg (Widdersdorf),1,13,4,14,309,Widdersdorf,50859,30905,21,14,94
Ährenweg,1,27,2,24,305,Müngersdorf,50933,30507,20,14,94
Ahrstr. (Lövenich),1,21,,,308,Lövenich,50859,30806,21,14,94
Ahrstr. (Lövenich),23,37,2,56a,308,Lövenich,50859,30805,21,14,94
Ahrstr. (Rodenkirchen),1,13,,,208,Rodenkirchen,50996,20810,14,13,94
Ahrweg,1,19,2,12,906,Höhenhaus,51061,90602,38,19,101
Ahrweilerstr.,1,3,2,12,202,Marienburg,50968,20204,12,13,94
Akazienstr.,1,73,2a,60,607,Esch/Auweiler,50765,60701,28,16,95
Akazienweg,1,91,2,30,403,Bickendorf,50827,40305,24,15,95
Akazienweg,,,56a,56b,403,Bickendorf,50827,40303,24,15,95
Akazienweg,,,58,82,403,Bickendorf,50827,40304,24,15,95
Akazienweg,93,157,32,54b,403,Bickendorf,50827,40303,24,15,95
Akazienweg,159,161,56,56,403,Bickendorf,50827,40304,24,15,95
Akazienweg,165,201,,,404,Vogelsang,50829,40404,25,15,95
Akazienweg (Grengel),1,15a,2,30,709,Grengel,51147,70902,09,17,93
Akazienweg (Grengel),17,31,38,56,709,Grengel,51147,70903,09,17,93
Akazienweg (Grengel),33,71,58,82,709,Grengel,51147,70901,09,17,93
Akazienweg (Sürth),1,23,2,22,210,Sürth,50999,21007,14,13,94
Akazienweg (Widdersdorf),5,5,2,20,309,Widdersdorf,50859,30905,21,14,94
Akeleiweg,1,3,2,2,603,Seeberg,50769,60302,26,16,95
Akeleiweg (Junkersdorf),3,21,2,22,306,Junkersdorf,50858,30604,20,14,94
Aladinstr.,,,2,18,206,Rondorf,50997,20607,15,13,94
Alarichstr.,1,89,4,56,105,Deutz,50679,10505,06,18,93
Alban-Berg-Weg,1,19,,,405,Bocklemünd/Mengenich,50829,40504,25,15,95
Alberichhof,1,5,2,6,502,Mauenheim,50739,50201,31,16,95
