Straßenschlüssel;Straßenname;Stadtteilnummer;Stadtteilname;Postleitzahl;Stimmbezirk;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlbezirk;ungerade Hausnummer von;ungerade Hausnummer bis;gerade Hausnummer von;gerade Hausnummer bis
1;Aachener Glacis;104;Neustadt/Nord;50674;10405;93;18;4;1;1a;;
2;Aachener Str.;102;Neustadt/Süd;50674;10235;94;13;3;1;71;2;134
2;Aachener Str.;303;Lindenthal;50931;30326;94;14;19;75;327;186;250
2;Aachener Str.;304;Braunsfeld;50933;30408;94;14;19;;;300;390
2;Aachener Str.;303;Lindenthal;50933;30326;94;14;19;329;413;;
2;Aachener Str.;304;Braunsfeld;50933;30409;94;14;19;415;501;;
2;Aachener Str.;304;Braunsfeld;50933;30405;94;14;19;503;571;392;460
2;Aachener Str.;304;Braunsfeld;50933;30404;94;14;19;605;689;500;698a
2;Aachener Str.;305;Müngersdorf;50933;30505;94;14;20;701;999;704;800
2;Aachener Str.;305;Müngersdorf;50933;30504;94;14;20;;;952;972
2;Aachener Str.;306;Junkersdorf;50858;30604;94;14;20;1001;1019a;;
2;Aachener Str.;306;Junkersdorf;50858;30603;94;14;20;1021;1055;1002;1052
2;Aachener Str.;306;Junkersdorf;50858;30601;94;14;20;1057;1065;1054;1068a
2;Aachener Str.;307;Weiden;50858;30704;94;14;20;1087;1141;1100;1122
2;Aachener Str.;307;Weiden;50858;30705;94;14;20;1145;1215;1128;1190
2;Aachener Str.;307;Weiden;50858;30706;94;14;21;;;1208;1208
2;Aachener Str.;307;Weiden;50859;30706;94;14;21;1253;1327;1210;1296
2;Aachener Str.;307;Weiden;50859;30707;94;14;21;;;1312;1420
2;Aachener Str.;307;Weiden;50859;30708;94;14;21;1331;1413g;;
4000;Aachener Str. (Porz);706;Porz;51145;70601;93;17;8;3;39;2;26
3;Aarestr.;908;Stammheim;51061;90801;101;19;37;;;;
4;Abendrothstr.;603;Seeberg;50769;60304;95;16;26;5;13;8;24
5;Abshofstr.;806;Merheim;51109;80602;93;17;44;1;75;4;84
6;Abt-Herwegen-Str.;303;Lindenthal;50935;30318;94;14;18;5;17;4;12
5979;Abtsweg;714;Zündorf;51143;71401;93;17;11;1;19;2;48
7;Achtergäßchen;101;Altstadt/Süd;50678;10110;94;13;1;;;2;2
8;Achterstr.;101;Altstadt/Süd;50678;10110;94;13;1;1;29;2;42
8;Achterstr.;101;Altstadt/Süd;50678;10109;94;13;1;43;59;44;54
8;Achterstr.;101;Altstadt/Süd;50678;10108;94;13;1;71;83a;60;68
6054;Ackerhummelweg;208;Rodenkirchen;50999;20814;94;13;14;3;33;4;34
9;Ackerstr.;903;Buchheim;51065;90305;101;19;35;;;6;44
9;Ackerstr.;903;Buchheim;51065;90304;101;19;35;;;46;118
9;Ackerstr.;903;Buchheim;51065;90303;101;19;35;;;144;148
