Wahlbezirk;Wahlgebäude;Straße;Nr;NrZusatz;PLZ;Ort;Behindertengerecht
10101, 10120;"Friedrich-WilhelmGymnasium";Severinstr.;241;;50676;Köln;j
10102, 10103;Berufskolleg Perlengraben;Perlengraben;101;;50676;Köln;j
10104, 10105, 10106;"KGSTrierer Str.";Trierer Str.;8;;50676;Köln;j
10107;Berufskolleg Ulrepforte ;Ulrichgasse;1;;50678;Köln;j
10108, 10110;"GGSZwirnerstr.";Zwirnerstr.;15;;50678;Köln;j
10114, 10115, 10116, 10117;IGIS Frankstr.;Frankstr.;26;;50676;Köln;j
10118, 10119;KHS Großer Griechenmarkt;Großer Griechenmarkt;76;;50676;Köln;j
10201, 10202, 10203, 10204, 10205, 10206, 10207, 10208;KGS Mainzer Str.;Mainzer Str.;30-34;;50678;Köln;j
10209, 10210, 10211, 10212, 10213, 10214, 10215, 10216;Berufskolleg;Zugweg;48;;50677;Köln;j
10217, 10218;Humboldt-Gymnasium;Kartäuserwall;40;;50676;Köln;j
10219, 10220, 10221, 10222, 10223, 10224;GGS Pfälzer Str.;Pfälzer Str.;30;;50677;Köln;j
10225, 10226, 10227, 10228, 10229, 10230;Stephan-Lochner-Grundschule;Lochnerstr.;13-15;;50674;Köln;n
10231, 10232;Berufskolleg an der Lindenstraße;Lindenstr.;78;;50674;Köln;j
10233, 10234, 10235;Berufskolleg 3;Richard-Wagner-Str.;47;;50674;Köln;j
10301,10302,10303;Königin-Luise-Schule;Alte Wallgasse;10;;50672;Köln;j
10310, 10312";Abendgymnasium;Gereonsmühlengasse;4;;50670;Köln;j
10308, 10309;Realschule am Rhein;Dagobertstr.;79;;50668;Köln;n
10401, 10402, 10403, 10404, 10405, 10406, 10407, 10408;GGS Antwerpener Str.;Antwerpener Str.;19;;50672;Köln;n
10409, 10410;Montessori-Grundschule;Gilbachstr.;20;;50672;Köln;n
10412, 10413, 10414, 10415;KGS Bernhard-Letterhaus-Str.;Bernhard-Letterhaus-Str.;17;;50670;Köln;j
10420, 10421, 10422, 10423;GGS Balthasarstr.;Balthasarstr.;87;;50670;Köln;n
