Straße	HnrVon	AlphateilVon	ZusatzVon	HnrBis	AlphateilBis	ZusatzBis	alle/ger/ung	Wahlbezirk - Nr	Wahlbezirk - Name	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei
Am alten Dorf	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Heineberg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Phloxgarten	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Am Raubfang	19			25			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amselwinkel	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amundsenstr	1			1	F		U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Amundsenstr	5			13			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
An der Vogelwiese	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Breiter Weg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Florastr	38			50			G	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Florastr	53			75			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Am Paretzer Kanal	21						alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Kanalbrücke	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
GA Zum Dreieck	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Gillis-Grafström-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Grüner Weg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Gutsstr	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Heckenstr	1			9	A		alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Hermann-Struve-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Hügelweg	1			73			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Lerchensteig	29			55			U	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Lerchensteig	44						alle	1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Marquardter Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Max-Eyth-Allee	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Peter-Altmann-Str	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
Ritterspornweg	alle							1101	Bornim - Max-Eyth-Allee/Lerchensteig	Leibniz-Institut für Agrartechnik	Gästehaus des ATB	Max-Eyth-Allee 53,	ja
