WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
5206	Babelsberg Nord - Alt Nowawes West			Grundschule Bruno H. B¸rgel (16)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5203	Babelsberg Nord - Fontanestr.			Schule am Griebnitzsee (33)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5208	Babelsberg Nord - Goetheplatz			Katholische Kirche St. Antonius		Plantagenstr. 23	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5202	Babelsberg Nord - Karl-Marx-Str/Donarstr			Schule am Griebnitzsee (33)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5201	Babelsberg Nord - Klein Glienicke			Ministerium f¸r Bildung, Jugend u. Sport		Karl-Marx-Str. 33/34	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5204	Babelsberg Nord - Plantagenplatz			Evangelische Kindertagesst‰tte			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5207	Babelsberg Nord - Rathaus/Humboldtbr¸cke			Oberlinhaus - Mutterhaus			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5205	Babelsberg Nord - Weberplatz/Alt Nowawes			Grundschule Bruno H. B¸rgel (16)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5307	Babelsberg S¸d - An den Windm¸hlen			Institut f¸r Weiterbildung			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5303	Babelsberg S¸d - Benzstr./Pestalozzistr.			Goethe-Schule (31)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
