vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
01;ehem. KGS-Marienschul-Gebäude;Schwanenstraße;10;;;52457;Aldenhoven;;J
02;ehem. KGS-Marienschul-Gebäude;Schwanenstraße;10;;;52457;Aldenhoven;;J
03;ehem. KGS-Marienschul-Gebäude;Schwanenstraße;10;;;52457;Aldenhoven;;J
04;Alte Schule Dürboslar;Germaniaplatz;9;;;52457;Aldenhoven;;N
05;Alte Schule Engelsdorf;Am Weidberg;1;;;52457;Aldenhoven;;N
06;Feuerwehrgerätehaus Freialdenhoven;Pastoratsstraße;1;;;52457;Aldenhoven;;J
08;Feuerwehrgerätehaus Niedermerz;Johannesstraße;9;;;52457;Aldenhoven;;J
09;Kindergarten Haus für Kinder;Schützenstraße;19;;;52457;Aldenhoven;;J
07;Haus Pattern;Patterner Ring;;;;52457;Aldenhoven;;J
10;Johannesschule Siersdorf;Mühlenstraße;17;;;52457;Aldenhoven;;J
11;Johannesschule Siersdorf;Mühlenstraße;17;;;52457;Aldenhoven;;J
