zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57439;Agathastraße;3;3;4;16;Dünschede;18.1;;;149
57439;Albert-Kemmerich-Straße;1;1;;;Attendorn;08.1;;;149
57439;Alfred-Schnüttgen-Straße;17;29;14;22;Biekhofen;05.1;;;149
57439;Alte Dorfstraße;1;73;2;78;Lichtringhausen;15.1;;;149
57439;Alte Handelsstraße;1;19;2;18;Neu-Listernohl;12.1;;;149
57439;Alte Handelsstraße;25;51;24;58;Petersburg;13.1;;;149
57439;Alter Markt;3;3;2;6;Attendorn;02.1;;;149
57439;Alter Schulplatz;1;5;2;6;Petersburg;13.1;;;149
57439;Alter Weg;1;5;4;10;Albringhausen;13.1;;;149
57439;Am Ahorn;1;19;2;18;Neu-Listernohl;12.1;;;149
57439;Am Baukhan;1;39;14;30;Neuenhof;15.1;;;149
57439;Am Berndebach;5;69;2;68;Neuenhof;15.1;;;149
57439;Am Daßte;3;29;2;26;Lichtringhausen;15.1;;;149
57439;Am Dümpel;;;4;6;Windhausen;14.1;;;149
57439;Am Dünneckenberg;1;1;2;14;Attendorn;02.1;;;149
57439;Am Eckenbach;27;35;;;Attendorn;01.1;;;149
57439;Am Friedhof;1;7;;;Attendorn;03.1;;;149
57439;Am Gerbergraben;19;19;2;12;Attendorn;02.1;;;149
57439;Am Glockenberg;1;25;2;12;Attendorn;08.1;;;149
57439;Am Gäßchen;7;9;2;6;Helden;19.1;;;149
57439;Am Hahnbeul;1;33;2;14;Attendorn;06.1;;;149
57439;Am Hasel;1;7;2;10;Holzweg;16.1;;;149
57439;Am Hellepädchen;1;121;8;80;Attendorn;06.1;;;149
57439;Am Hettmecker Teich;1;15;2;18;Attendorn;05.1;;;149
57439;Am Himmelsberg;1;57;2;58;Attendorn;08.1;;;149
57439;Am Hollenloch;5;69;6;78;Attendorn;07.1;;;149
57439;Am Kirchplatz;1;9;2;10;Attendorn;01.1;;;149
