vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
01.1;Rivius-Gymnasium 01.1;Westwall;48;;;57439;Attendorn;;J
03.1;Rivius-Gymnasium 03.1;Westwall;48;;;57439;Attendorn;;J
06.1;Rivius-Gymnasium 06.1;Westwall;48;;;57439;Attendorn;;J
07.1;Hanseschule Attendorn 07.1;Wiesbadener Straße;2;;;57439;Attendorn;;J
08.1;Gem.-Grundschule Attandarra (ehem. St.-Engelbert-Schule);Am Stürzenberg;2;;;57439;Attendorn;;J
09.1;Hanseschule Attendorn 09.1;Wiesbadener Straße;2;;;57439;Attendorn;;J
13.1;Cafe Gräfe Papiermühle;Ihnestraße;79;;;57439;Attendorn;;J
14.1;Jugendraum Windhausen;Höhenstraße;1;;;57439;Attendorn;;J
16.1;Kath. Grundschule Ennest 16.1;Hülschotter Straße;8;;;57439;Attendorn;;J
17.1;Kath. Grundschule Ennest 17.1;Hülschotter Straße;8;;;57439;Attendorn;;J
18.1;Alte Schule Dünschede;Kirchstraße;11;;;57439;Attendorn;;N
10.1;Kindergarten Im Zauberwald Röllecken;Silbecker Straße;17;;;57439;Attendorn-Röllecken;;N
05.1;Vereinsheim Biekhofen;Hubertusstraße;11;;;57439;Attendorn;;J
19.1;Kath. Grundschule Helden 19.1;Schulstraße;6;;;57439;Attendorn;;J
11.1;Hanseschule Attendorn 11.1;Wiesbadener Straße;2;;;57439;Attendorn;;J
02.1;Rivius-Gymnasium 02.1;Westwall;48;;;57439;Attendorn;;J
04.1;Kath. Grundschule Helden 04.1;Schulstraße;6;;;57439;Attendorn;;J
15.1;Kath. Pfarrheim Lichtringhausen;Plettenberger Straße;121;;;57439;Attendorn;;J
12.1;Kath. Grundschule Sonnenschule Gemeinschaftsteilstandort Neu-Listernohl;Fuchsring;21;;;57439;Attendorn;;N
