zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57319;Adelsbachweg;1;9;2;8;Aue;024.1;;;148
57319;Adolf-Böhl-Straße;;;2;2;Berghausen;023.1;;;148
57319;Ahornstraße;1;17;2;12;Berghausen;023.1;;;148
57319;Ahornweg;3;11;2;12;Bad Berleburg;001.1;;;148
57319;Alexander-Mack-Straße;3;19;2;18;Schwarzenau;013.1;;;148
57319;Alte Dorfstraße;1;9;2;14;Aue;024.1;;;148
57319;Alte Feld;1;3;2;4;Arfeld;014.1;;;148
57319;Alte Landstraße;1;43;2;48;Wingeshausen;025.1;;;148
57319;Alte Schulstraße;1;9;2;14;Sassenhausen;017.1;;;148
57319;Alte Warte;1;41;2;54;Bad Berleburg;002.1;;;148
57319;Altenberg;1;1;;;Hemschlar;020.1;;;148
57319;Altengraben;1;1;2;2;Bad Berleburg;003.1;;;148
57319;Altmühlbachtal;1;3;2;20;Berghausen;023.1;;;148
57319;Am Afflerbach;1;1;;;Wemlighausen;006.1;;;148
57319;Am Baldenberg;1;1;2;2;Rinthe;021.1;;;148
57319;Am Baumrain;3;31;6;24;Bad Berleburg;001.1;;;148
57319;Am Bergelchen;1;5;4;10;Girkhausen;007.1;;;148
57319;Am Bergesweg;1;17;2;14;Schüllar;006.1;;;148
57319;Am Biel;1;9;2;28;Berghausen;023.1;;;148
57319;Am Bilzacker;1;5;2;8;Wingeshausen;025.1;;;148
57319;Am Bockshorn;1;79;4;76;Wemlighausen;006.1;;;148
57319;Am Breitenbach;1;11;;;Bad Berleburg;003.1;;;148
57319;Am Bruch;1;21;2;22;Girkhausen;007.1;;;148
57319;Am Brückenacker;5;13;;;Weidenhausen;019.1;;;148
57319;Am Buchholz;1;1;;;Rinthe;021.1;;;148
57319;Am Burgfeld;1;27;2;22;Bad Berleburg;002.1;;;148
57319;Am Böhl;1;7;2;10;Raumland;018.1;;;148
57319;Am Damm;1;3;2;4;Schwarzenau;013.1;;;148
57319;Am Dreieck;3;3;;;Weidenhausen;019.1;;;148
57319;Am Eisenstein;1;1;;;Dotzlar;016.1;;;148
57319;Am Erlen;1;1;;;Hemschlar;020.1;;;148
57319;Am Gefälle;1;1;;;Wunderthausen;008.1;;;148
57319;Am Gehre;3;13;4;14;Bad Berleburg;003.1;;;148
57319;Am Grünen;1;37;2;12;Raumland;018.1;;;148
57319;Am Hahlacker;1;3;2;8;Beddelhausen;012.1;;;148
57319;Am Hain;1;19;4;6;Elsoff;011.1;;;148
57319;Am Heiligenstock;1;3;4;10;Girkhausen;007.1;;;148
57319;Am Heller;1;1;;;Arfeld;014.1;;;148
57319;Am Herrenacker;1;13;2;20;Bad Berleburg;002.1;;;148
57319;Am Heßlar;1;15;2;20;Raumland;018.1;;;148
57319;Am Hilgenacker;1;25;4;44;Bad Berleburg;005.1;;;148
57319;Am Hillerbach;1;21;2;22;Wemlighausen;006.1;;;148
57319;Am Hinterrain;3;9;;;Bad Berleburg;002.1;;;148
57319;Am Homberg;5;17;2;16;Wingeshausen;025.1;;;148
57319;Am Höfchen;1;5;2;18;Diedenshausen;009.1;;;148
57319;Am Jägerhof;1;7;6;8;Aue;024.1;;;148
57319;Am Kapplerstein;1;81;2;110;Aue;024.1;;;148
