vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
008.1;Ehemaliges Schulgebäude Wunderthausen;Schulweg;11;;;57319;Bad Berleburg-Wunderthsn.;;N
023.1;Schulgebäude Berghausen;Zum Kinderzentrum;2;;;57319;Bad Berleburg;;J
010.1;Dorfgemeinschaftshaus Alertshausen;Dorfstraße;2;;;57319;Bad Berleburg;;J
013.1;Mehrzweckgebäude Schwarzenau;Zum Sportplatz;7;;;57319;Bad Berleburg;;J
001.1;Bürgerhaus - Jugendcafe Bad Berleburg I;Marktplatz;1;;;57319;Bad Berleburg;;J
003.1;Berufskolleg Wittgenstein Bad Berleburg III;Am Breitenbach;1;;;57319;Bad Berleburg;;N
004.1;Johannes-Althusius-Gymnasium Bad Berleburg IV;Im Herrengarten;11;;;57319;Bad Berleburg;;J
005.1;AWO Familienzentrum Bad Berleburg V;Berliner Straße;50;;;57319;Bad Berleburg;;J
006.1;Schulgebäude Schüllar / Wemlighausen;Schüllarhammer;7;;;57319;Bad Berleburg;;N
009.1;Dorfgemeinschaftsraum Diedenshausen;Zum Eichbach;3;;;57319;Bad Berleburg;;N
011.1;Schulgebäude Elsoff;Unterm Heiligenberg;1;;;57319;Bad Berleburg;;J
012.1;Dorfgemeinschaftshaus Beddelhausen;Bachweg;7;;;57319;Bad Berleburg;;J
014.1;Ehemaliges Schulgebäude Arfeld;Kreuzstraße;6;;;57319;Bad Berleburg;;N
015.1;Ehemaliges Schulgebäude Richstein;Richsteiner Straße;24;;;57319;Bad Berleburg;;N
016.1;Schulgebäude Dotzlar;Eichenstraße;2;;;57319;Bad Berleburg;;J
019.1;Dorfgemeinschaftshaus Weidenhausen;Weidenhäuser Straße;12;;;57319;Bad Berleburg;;N
020.1;Dorfgemeinschaftshaus Hemschlar;Am Rundweg;15;;;57319;Bad Berleburg;;N
021.1;Dorfgemeinschaftshaus Rinthe;Im Dorf;1;;;57319;Bad Berleburg;;J
024.1;Bürgerhaus Aue / Wingeshausen II;Sehlbergweg;9;;;57319;Bad Berleburg;;J
025.1;Evangelisches Gemeindehaus Wingeshausen I;Kirchplatz;2 A;;;57319;Bad Berleburg;;J
022.1;Dienstzimmer der Ortsvorsteherin Stünzel;Am Windhof;1;;;57319;Bad Berleburg;;J
018.1;Rumilingene-Haus Raumland;Raumländer Straße;2;;;57319;Bad Berleburg;;J
007.1;Evangelisches Gemeindehaus Girkhausen;Osterweg;2;;;57319;Bad Berleburg;;N
002.1;Schulgebäude Am Burgfeld Bad Berleburg II;Eichenweg;12;;;57319;Bad Berleburg;;J
017.1;Feuerwehrgerätehaus Sassenhausen;Kapellenstraße;2;;;57319;Bad Berleburg;;N
