zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57334;Alte Eisenstraße;1;25;4;44;Fischelbach;009-1;;;148
57334;Alte Fischelbacher Straße;1;17;4;6;Fischelbach;009-1;;;148
57334;Alte Landstraße;7;7;;;Niederlaasphe;002-1;;;148
57334;Alter Markt;3;3;4;4;Banfe;007-1;;;148
57334;Am Aberg;5;7;2;6;Oberndorf;017-1;;;148
57334;Am Bilsedorn;5;9;2;4;Feudingen;012-1;;;148
57334;Am Birkenstrauch;1;35;2;42;Bad Laasphe;003-1;;;148
57334;Am Bohnstein;;;2;2;Fischelbach;009-1;;;148
57334;Am Brandweiher;3;3;2;4;Fischelbach;009-1;;;148
57334;Am Dillstein;3;29;2;22;Bad Laasphe;005-1;;;148
57334;Am Eichelkamp;3;29;4;20;Bad Laasphe;004-1;;;148
57334;Am Entenberg;1;1;2;2;Niederlaasphe;002-1;;;148
57334;Am Feldberg;1;57;2;64;Bad Laasphe;003-1;;;148
57334;Am Galgenberg;7;25;4;28;Bad Laasphe;003-1;;;148
57334;Am Gottelsberg;1;3;;;Bermershausen;011-1;;;148
57334;Am Halberg;1;1;2;2;Hesselbach;008-1;;;148
57334;Am Hang;1;7;4;4;Feudingen;013-1;;;148
57334;Am Hesselberg;;;4;14;Rüppershausen;018-1;;;148
57334;Am Hohlen Weg;9;9;;;Feudingen;013-1;;;148
57334;Am Hornberg;1;9;2;26;Feudingen;012-1;;;148
57334;Am Jägershain;21;21;;;Großenbach;014-1;;;148
57334;Am Kalmerich;7;13;2;2;Steinbach;018-1;;;148
57334;Am Kratzenberg;3;15;;;Bermershausen;011-1;;;148
57334;Am Köpfchen;1;7;2;8;Feudingen;013-1;;;148
57334;Am Langen Land;1;23;2;22;Feudingen;013-1;;;148
57334;Am Lindenrain;1;1;2;8;Feudingen;013-1;;;148
57334;Am Lärchenwäldchen;1;5;2;10;Bad Laasphe;005-1;;;148
57334;Am Meisekippel;1;1;2;4;Fischelbach;009-1;;;148
57334;Am Mühlhof;1;1;2;2;Herbertshausen;006-1;;;148
57334;Am Naßacker;5;11;2;10;Puderbach;001-1;;;148
57334;Am Perchacker;1;39;2;28;Hesselbach;008-1;;;148
57334;Am Pfaffenhof;3;31;2;26;Puderbach;001-1;;;148
57334;Am Sand;1;25;6;18;Banfe;007-1;;;148
57334;Am Sasselberg;1;17;2;14;Feudingen;013-1;;;148
57334;Am Schwimmel;3;3;4;8;Puderbach;001-1;;;148
57334;Am Sonnenhang;1;1;6;24;Feudingen;012-1;;;148
57334;Am Stollborn;1;3;2;6;Hesselbach;008-1;;;148
57334;Am Vogelsang;3;35;4;22;Feudingen;012-1;;;148
57334;Am Waldrand;1;5;4;8;Bad Laasphe;004-1;;;148
57334;Am alten Rain;1;3;2;2;Oberndorf;017-1;;;148
57334;Amselweg;1;9;2;18;Feudingen;012-1;;;148
57334;Amtshäuser Straße;7;13;2;24;Amtshausen;018-1;;;148
57334;An der Eichert;1;13;4;10;Fischelbach;009-1;;;148
57334;An der Hager;1;11;2;14;Fischelbach;009-1;;;148
57334;An der Hahler;7;9;2;20;Bad Laasphe;004-1;;;148
57334;An der Kirche;1;1;2;10;Feudingen;013-1;;;148
57334;An der Schmiede;1;1;2;12;Fischelbach;009-1;;;148
57334;An der Winterseite;;;2;6;Volkholz;014-1;;;148
57334;Auf dem Breitenacker;3;11;8;12;Feudingen;013-1;;;148
57334;Auf dem Hainberg;1;11;4;14;Feudingen;012-1;;;148
57334;Auf dem Steidchen;1;7;2;4;Niederlaasphe;002-1;;;148
57334;Auf dem Stein;3;7;4;8;Feudingen;013-1;;;148
57334;Auf den Weiherhöfen;1;37;2;10;Feudingen;013-1;;;148
57334;Auf der Heber;1;11;2;18;Banfe;007-1;;;148
57334;Auf der Heide;1;1;;;Feudingen;013-1;;;148
57334;Auf der Höh;;;12;30;Großenbach;014-1;;;148
57334;Auf der Ilgenbrach;1;23;8;32;Feudingen;013-1;;;148
57334;Auf der Kohr;1;23;2;16;Feudingen;013-1;;;148
57334;Auf der Ley;7;9;4;8;Feudingen;012-1;;;148
57334;Auf der Pfingstweide;1;15;10;26;Bad Laasphe;003-1;;;148
57334;Auf der Schlenke;;;4;18;Feudingen;013-1;;;148
57334;Auf der Stehde;1;21;2;24;Feudingen;013-1;;;148
57334;Augustenhofweg;1;3;2;2;Volkholz;014-1;;;148
57334;Auweg;1;1;;;Niederlaasphe;002-1;;;148
57334;Bachweg;;;4;4;Niederlaasphe;002-1;;;148
57334;Backhausweg;;;2;4;Niederlaasphe;002-1;;;148
57334;Bahnhofstraße;1;57;2;68;Bad Laasphe;004-1;;;148
57334;Bahnhofstraße;59;81;;;Bad Laasphe;003-1;;;148
57334;Banfetalstraße;51;137;30;104;Banfe;007-1;;;148
57334;Banfetalstraße;1;5;;;Herbertshausen;006-1;;;148
57334;Battenbachweg;;;2;6;Bernshausen;008-1;;;148
57334;Bergseite;1;1;2;10;Herbertshausen;006-1;;;148
57334;Bergstraße;1;55;2;42;Bad Laasphe;004-1;;;148
57334;Berliner Straße;1;25;4;26;Puderbach;001-1;;;148
57334;Bermershäuser Straße;;;2;18;Bermershausen;011-1;;;148
57334;Bernshäuser Straße;1;19;8;12;Bernshausen;008-1;;;148
57334;Birkenstraße;;;2;2;Niederlaasphe;002-1;;;148
57334;Blumenweg;1;1;6;14;Feudingen;013-1;;;148
57334;Bornstraße;5;17;2;18;Niederlaasphe;002-1;;;148
57334;Bornweg;1;5;4;18;Feudingen;012-1;;;148
57334;Brandenburger Weg;3;3;2;12;Bad Laasphe;003-1;;;148
57334;Breidenbachweg;27;27;2;14;Herbertshausen;006-1;;;148
57334;Breslauer Straße;1;15;2;28;Feudingen;013-1;;;148
57334;Brunnenstraße;;;4;4;Bad Laasphe;004-1;;;148
57334;Brunnenweg;3;5;4;10;Feudingen;012-1;;;148
57334;Brückenacker;5;11;2;2;Bad Laasphe;006-1;;;148
57334;Brückenplatz;5;5;2;6;Niederlaasphe;002-1;;;148
57334;Brückenstraße;11;23;4;12;Bad Laasphe;005-1;;;148
57334;Buchwiesenstraße;9;27;6;40;Bad Laasphe;005-1;;;148
57334;Burgfeld;1;17;2;4;Saßmannshausen;010-1;;;148
57334;Butzebach;3;3;2;2;Bad Laasphe;004-1;;;148
57334;Bäderborn;1;43;2;58;Bad Laasphe;003-1;;;148
57334;Bärwingweg;;;2;4;Amtshausen;018-1;;;148
57334;Dammstraße;3;35;;;Bad Laasphe;005-1;;;148
57334;Ditzroder Weg;1;41;2;44;Bad Laasphe;005-1;;;148
57334;Dorbach;3;3;4;6;Herbertshausen;006-1;;;148
57334;Dornhof;1;15;6;10;Saßmannshausen;010-1;;;148
57334;Eichwaldstraße;1;35;2;76;Rückershausen;016-1;;;148
57334;Eichwaldstraße;35A;35A;;;Weide;015-1;;;148
57334;Eichwaldstraße;37;49;;;Weide;015-1;;;148
57334;Eichwaldstraße;57;71;;;Rückershausen;016-1;;;148
57334;Enderbach;1;13;2;18;Saßmannshausen;010-1;;;148
57334;Entenbergstraße;1;1;2;2;Niederlaasphe;002-1;;;148
57334;Erbergweg;3;11;4;12;Amtshausen;018-1;;;148
57334;Erlenweg;;;2;2;Hesselbach;008-1;;;148
57334;Erlenwiese;;;2;2;Hesselbach;008-1;;;148
57334;Erndtebrücker Straße;1;23;4;22;Oberndorf;017-1;;;148
57334;Eschenstraße;;;4;12;Puderbach;001-1;;;148
57334;Falkenweg;3;7;2;4;Niederlaasphe;002-1;;;148
57334;Feldstraße;1;15;8;22;Bad Laasphe;004-1;;;148
57334;Felsenweg;1;3;2;6;Niederlaasphe;002-1;;;148
57334;Finkenweg;1;1;;;Niederlaasphe;002-1;;;148
57334;Fischelbacher Straße;1;53;2;24;Fischelbach;009-1;;;148
57334;Forsthaus Ditzrod;1;1;;;Hesselbach;008-1;;;148
57334;Forsthaus Hirtsgrund;;;2;2;Bad Laasphe;003-1;;;148
57334;Forsthaus Litzelbach;1;1;;;Bad Laasphe;003-1;;;148
57334;Friedenfelder Weg;9;27;2;18;Banfe;007-1;;;148
57334;Friedhofstraße;3;5;2;10;Niederlaasphe;002-1;;;148
57334;Friedhofsweg;1;41;34;36;Feudingen;013-1;;;148
57334;Friedrich-Kiel-Straße;1;7;2;4;Puderbach;001-1;;;148
57334;Friedrichshammer;5;5;;;Kunst-Wittgenstein;005-1;;;148
57334;Friedrichshütte;;;2;16;Kunst-Wittgenstein;005-1;;;148
57334;Friedrichshütte;13;31;20;20;Bad Laasphe;005-1;;;148
57334;Friedrichstraße;3;11;2;18;Bad Laasphe;004-1;;;148
57334;Gartenstraße;1;21;6;32;Bad Laasphe;005-1;;;148
57334;Gennernbach;5;43;8;50;Bad Laasphe;005-1;;;148
57334;Glashütter Straße;5;61;2;62;Volkholz;014-1;;;148
57334;Goldkaute;1;19;2;14;Saßmannshausen;010-1;;;148
57334;Grenzweg;9;13;2;4;Niederlaasphe;002-1;;;148
57334;Großenbacher Straße;11;11;2;32;Großenbach;014-1;;;148
57334;Großer Hof;1;11;2;2;Niederlaasphe;002-1;;;148
57334;Grubenstraße;1;13;6;6;Fischelbach;009-1;;;148
57334;Haardtstraße;1;11;8;16;Niederlaasphe;002-1;;;148
57334;Hahlerweg;1;3;2;6;Bad Laasphe;004-1;;;148
57334;Hainstraße;1;17;4;22;Banfe;007-1;;;148
57334;Hainweg;1;3;2;4;Niederlaasphe;002-1;;;148
57334;Hasselbergstraße;1;15;2;6;Niederlaasphe;002-1;;;148
57334;Hauptstraße;1;9;4;16;Niederlaasphe;002-1;;;148
57334;Heckenweg;3;7;2;10;Volkholz;014-1;;;148
57334;Heidebergstraße;1;23;2;30;Niederlaasphe;002-1;;;148
57334;Heiligenborn;1;3;2;2;Heiligenborn;007-1;;;148
57334;Herbertshäuser Straße;7;21;12;18;Herbertshausen;006-1;;;148
57334;Hesselbacher Straße;1;57;2;52;Hesselbach;008-1;;;148
57334;Heuweg;1;3;;;Feudingen;013-1;;;148
57334;Hinter der Heber;1;7;;;Banfe;007-1;;;148
57334;Hinterfang;1;31;2;38;Bad Laasphe;004-1;;;148
57334;Hinterfeldweg;1;3;;;Bernshausen;008-1;;;148
57334;Hinterm Eisenstein;7;11;2;10;Hesselbach;008-1;;;148
57334;Hinterm Hainberg;5;35;10;48;Rückershausen;016-1;;;148
57334;Hinterm Holler;1;15;2;22;Banfe;007-1;;;148
57334;Hinterm Tannenwald;;;2;4;Feudingen;013-1;;;148
57334;Hirtenweg;1;3;2;4;Feudingen;012-1;;;148
