vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
007-1;Banfetalschule, Städt.Grundschule, Z. 5;Schulstraße;12;;;57334;Bad Laasphe-Banfe;;J
003-1;Ev. Jugendheim, Zimmer 1;In der Grube;5;;;57334;Bad Laasphe;;N
001-1;Dorfgem.-Haus Puderbach;Am Naßacker;5;;;57334;Bad Laasphe-Puderbach;;J
002-1;Grundschule Niederlaasphe;Rainstraße;14;;;57334;Bad Laasphe;;N
004-1;Grundschule Bad Laa.Zi.24;Bahnhofstraße;35;;;57334;Bad Laasphe;;N
006-1;Ehem. Schule Herbertsh.;Seifenackerstraße;10;;;57334;Bad Laasphe;;N
008-1;Ehem. Schule Hesselbach;Hesselbacher Straße;23A;;;57334;Bad Laasphe;;N
009-1;Ehem. Gaststätte Weiß;Sohler Weg;2;;;57334;Bad Laasphe;;N
010-1;Ehem.Feuerwehrh.Saßmannsh.;Enderbach;6;;;57334;Bad Laasphe;;N
011-1;Ehemalige Gastwirtschaft Autschbach;Bermershäuser Straße;2;;;57334;Bad Laasphe;;N
012-1;Ehem.Schule Feuding.Zi. 1;Schulweg;6;;;57334;Bad Laasphe;;N
013-1;Ehem.Schule Feuding.Zi. 2;Schulweg;6;;;57334;Bad Laasphe;;N
014-1;Turnhalle Volkholz;Volkholzer Straße;37A;;;57334;Bad Laasphe;;N
015-1 und 016-1;Dorfgem.-Haus Rückersh.;Eichwaldstraße;10;;;57334;Bad Laasphe-Rückershausen;;N
017-1;Altenheim Elim;Oberndorfer Straße;46;;;57334;Bad Laasphe;;J
018-1;Feuerwehrhaus Rüppersh.;Rüppershäuser Straße;21;;;57334;Bad Laasphe;;N
005-1;Lachsbachschule  Pausenhalle;Gennernbach;13;;;57334;Bad Laasphe;;N
