zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53902;Aalstraße;1;13;4;14;Hohn;05.2;;;92
53902;Achenweg;1;1;;;Eicherscheid;10.1;;;92
53902;Ahrstraße;7;13;2;26;Schönau;11.1;;;92
53902;Ahrweilerstraße;3;41;2;54;Eicherscheid;10.1;;;92
53902;Alte Gasse;5;23;2;44;Bad Münstereifel;07.1;;;92
53902;Alte Landstraße;1;29;2;48;Iversheim;03.1;;;92
53902;Alte Schulgasse;7;11;2;8;Hohn;05.2;;;92
53902;Am Bloch;1;39;2;16;Iversheim;03.1;;;92
53902;Am Breiten Weg;;;4;4;Wald;15.2;;;92
53902;Am Breithardt;9;9;8;8;Hummerzheim;14.2;;;92
53902;Am Burggraben;1;5;2;8;Lethert;15.1;;;92
53902;Am Drinkpütz;1;1;2;28;Rupperath;14.1;;;92
53902;Am Drompütz;;;2;10;Effelsberg;15.1;;;92
53902;Am Fichtenhain;;;4;6;Bad Münstereifel;08.1;;;92
53902;Am Füssig;;;2;4;Wald;15.2;;;92
53902;Am Geißbusch;3;11;2;12;Holzem;15.1;;;92
53902;Am Gieren;3;3;6;6;Houverath;16.1;;;92
53902;Am Graben;1;9;2;12;Houverath;16.1;;;92
53902;Am Hang;1;25;4;12;Lethert;15.1;;;92
53902;Am Heidberg;;;32;38;Lanzerath;16.1;;;92
53902;Am Heiden Weyher;;;2;12;Lethert;15.1;;;92
53902;Am Heiligenhäuschen;;;14;14;Nöthen;05.1;;;92
53902;Am Herrenbusch;1;7;2;14;Bad Münstereifel;08.1;;;92
53902;Am Hofpesch;;;8;8;Schönau;11.1;;;92
53902;Am Kehrenkreuz;1;19;4;14;Rupperath;14.1;;;92
53902;Am Konzberg;1;5;4;4;Nöthen;05.1;;;92
53902;Am Lammerstal;1;7;2;4;Mutscheid;13.1;;;92
53902;Am Lindchen;7;9;;;Mahlberg;12.1;;;92
53902;Am Mariengarten;1;11;2;18;Rupperath;14.1;;;92
53902;Am Quecken;5;5;;;Bad Münstereifel;06.2;;;92
53902;Am Rothsiefen;1;11;2;14;Nöthen;05.1;;;92
53902;Am Schlothberg;1;29;6;22;Schönau;11.1;;;92
53902;Am Schoppesch;5;9;2;10;Wald;15.2;;;92
53902;Am Siefen;3;7;2;6;Nöthen;05.1;;;92
53902;Am Stockert;9;9;16;16;Nöthen;05.1;;;92
53902;Am Weyersberg;1;13;2;10;Eichen;16.1;;;92
53902;Amselweg;;;6;20;Iversheim;03.1;;;92
53902;An der Haag;1;5;;;Reckerscheid;12.1;;;92
53902;An der Hasenhecke;1;13;4;18;Mahlberg;12.1;;;92
53902;An der Hüh;1;9;2;10;Mahlberg;12.1;;;92
53902;An der Kruchenbach;;;4;8;Eicherscheid;10.1;;;92
53902;An der Ley;;;2;42;Iversheim;03.1;;;92
53902;An der Schoßpforte;1;21;2;2;Bad Münstereifel;06.2;;;92
53902;Antoniusstraße;3;47;6;52;Wald;15.2;;;92
53902;Antweiler Weg;1;9;2;8;Kalkar;01.2;;;92
53902;Apolloniaweg;1;7;8;8;Reckerscheid;12.1;;;92
53902;Arandstraße;15;43;4;38;Mutscheid;13.1;;;92
