zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50181;Adenauerstraße;1;15;2;22;Bedburg;100;;;91
50181;Adolf-Silverberg-Straße;1;45;2;50;Bedburg;081;;;91
50181;Adolf-Silverberg-Straße;53;59;;;Bedburg;040;;;91
50181;Agathastraße;1;39;2;40;Bedburg;072;;;91
50181;Ahornweg;1;7;2;6;Bedburg;130;;;91
50181;Akazienweg;1;11;2;12;Bedburg;040;;;91
50181;Albert-Einstein-Straße;1;17;2;18;Bedburg;081;;;91
50181;Albert-Schlangen-Straße;1;27;2;42;Bedburg;110;;;91
50181;Albert-Schweitzer-Straße;5;29;2;42;Bedburg;100;;;91
50181;Allhovener Straße;1;5;;;Bedburg;140;;;91
50181;Am Anger;1;31;14;40;Bedburg;180;;;91
50181;Am Bach;1;51;2;48;Bedburg;020;;;91
50181;Am Bahndamm;;;2;12;Bedburg;160;;;91
50181;Am Bergacker;1;19;2;22;Bedburg;180;;;91
50181;Am Berghof;1;27;;;Bedburg;050;;;91
50181;Am Bildstock;1;33;2;34;Bedburg;180;;;91
50181;Am Finkelbach;1;9;2;10;Bedburg;040;;;91
50181;Am Fließ;1;23;2;24;Bedburg;160;;;91
50181;Am Gehölz;1;7;2;2;Bedburg;180;;;91
50181;Am Glockenpütz;1;23;2;8;Bedburg;120;;;91
50181;Am Glockensprung;3;11;2;22;Bedburg;020;;;91
50181;Am Gringel;5;5;2;6;Bedburg;170;;;91
50181;Am Harffer Kreuz;1;5;2;2;Bedburg;170;;;91
50181;Am Kleefeldchen;3;23;2;44;Bedburg;020;;;91
50181;Am Kriegersweg;1;3;2;4;Bedburg;020;;;91
50181;Am Kölner Pfädchen;1;21;;;Bedburg;160;;;91
50181;Am Majershof;1;9;2;8;Bedburg;050;;;91
50181;Am Mühlenkreuz;1;75;2;64;Bedburg;140;;;91
50181;Am Pfarrgarten;;;4;4;Bedburg;170;;;91
50181;Am Pielshof;1;9;2;8;Bedburg;110;;;91
50181;Am Priorshof;3;7;4;12;Bedburg;050;;;91
50181;Am Pützbach;1;19;2;18;Bedburg;090;;;91
50181;Am Rathaus;3;7;2;30;Bedburg;100;;;91
50181;Am Ringofen;1;27;2;38;Bedburg;090;;;91
50181;Am Rosenstock;1;19;2;72;Bedburg;160;;;91
50181;Am Sandberg;3;23;6;22;Bedburg;071;;;91
50181;Am Scheideweg;;;2;2;Bedburg;170;;;91
50181;Am Schirkerhof;1;21;2;18;Bedburg;072;;;91
50181;Am Schwarzen Kreuz;1;11;;;Bedburg;050;;;91
50181;Am Sportplatz;1;13;2;10;Bedburg;160;;;91
50181;Am Sprung;5;5;2;8;Bedburg;100;;;91
50181;Am Tiergarten;1;5;2;32;Bedburg;100;;;91
50181;Am Tripskreuz;1;5;2;2;Bedburg;060;;;91
50181;Am Ulmenhof;1;43;2;34;Bedburg;160;;;91
50181;Am Vogsberg;1;13;2;14;Bedburg;180;;;91
50181;Am Wiedenhof;;;2;8;Bedburg;110;;;91
50181;Am Zelenberg;1;61;2;50;Bedburg;110;;;91
50181;Amelner Weg;1;25;2;26;Bedburg;020;;;91
50181;Amselweg;1;7;2;6;Bedburg;071;;;91
50181;An den Benden;1;13;2;14;Bedburg;071;;;91
50181;An den Gärten;1;15;2;20;Bedburg;160;;;91
50181;An den Linden;5;17;2;32;Bedburg;180;;;91
50181;An der Biverschnell;1;15;2;50;Bedburg;072;;;91
50181;An der Mühle;;;0;0;Bedburg;180;;;91
50181;An der Schießbahn;1;7;2;14;Bedburg;130;;;91
50181;An der Spring;1;5;2;42;Bedburg;180;;;91
50181;An der Wildhecke;1;19;2;22;Bedburg;180;;;91
50181;Annastraße;1;27;2;14;Bedburg;072;;;91
50181;Anton-Heinen-Straße;1;67;2;86;Bedburg;020;;;91
50181;Antoniusstraße;1;7;2;4;Bedburg;072;;;91
50181;Arnold-Freund-Straße;1;51;18;58;Bedburg;060;;;91
50181;Auf dem Mertesberg;3;15;2;4;Bedburg;152;;;91
50181;Auf dem Wall;1;15;4;4;Bedburg;100;;;91
50181;August-Macke-Straße;3;47;2;90;Bedburg;130;;;91
50181;Augustinerallee;;;2;22;Bedburg;071;;;91
50181;Augustinerallee;7;29;24;64;Bedburg;072;;;91
50181;Bahnstraße;1;31;2;32;Bedburg;081;;;91
50181;Barbarastraße;1;13;;;Bedburg;120;;;91
50181;Beatrixstraße;1;9;4;24;Bedburg;100;;;91
50181;Bedburger Schweiz;1;19;;;Bedburg;050;;;91
50181;Beethovenstraße;1;17;2;20;Bedburg;030;;;91
50181;Belmener Höfe;1;3;2;2;Bedburg;180;;;91
50181;Bergheimer Straße;1;29;2;38;Bedburg;060;;;91
50181;Birkenweg;9;9;;;Bedburg;010;;;91
50181;Birkenweg;9;9;;;Bedburg;010;;;91
50181;Brahmsstraße;1;9;2;12;Bedburg;030;;;91
50181;Brandenburger Straße;1;11;2;10;Bedburg;100;;;91
50181;Brauereistraße;1;21;2;36;Bedburg;170;;;91
50181;Breite Straße;1;43;2;26;Bedburg;170;;;91
50181;Breslauer Straße;3;5;2;8;Bedburg;130;;;91
50181;Bruchstraße;3;7;2;8;Bedburg;040;;;91
50181;Brucknerstraße;1;13;2;12;Bedburg;030;;;91
