vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
010;Feuerwehrschule Rath;Friedensstr.;2;;;50181;Bedburg;;J
020;Grundschule Kirdorf;Theodor-Heuss-Straße;15A;;;50181;Bedburg;;J
050;Realschule Bedburg;Goethestraße;1;;;50181;Bedburg;;J
081;Realschule Bedburg;Goethestraße;1;;;50181;Bedburg;;J
082;Realschule Bedburg;Goethestraße;1;;;50181;Bedburg;;J
060;Grundschule Bedburg;Kölner Straße;35;;;50181;Bedburg;;J
071;Grundschule Bedburg;Kölner Straße;35;;;50181;Bedburg;;J
072;Grundschule Bedburg;Kölner Straße;35;;;50181;Bedburg;;J
100;Grundschule Kaster;Harffer Schloßallee;1;;;50181;Bedburg;;J
110;Grundschule Kaster;Harffer Schloßallee;1;;;50181;Bedburg;;J
120;Grundschule Kaster;Harffer Schloßallee;1;;;50181;Bedburg;;J
130;Grundschule Kaster;Harffer Schloßallee;1;;;50181;Bedburg;;J
140;Bürgerhalle Königshoven;Josef-Schnitzler-Straße;30;;;50181;Bedburg;;J
151;Bürgerhalle Königshoven;Josef-Schnitzler-Straße;30;;;50181;Bedburg;;J
152;Frühere Schule Pütz;Kasterer Straße;6;;;50181;Bedburg;;J
030;Kindergarten Feldmäuse;Feldstraße;43;;;50181;Bedburg;;J
040;Kindergarten Feldmäuse;Feldstraße;43;;;50181;Bedburg;;J
090;Kindertagesst. Pusteblume;Am Pützbach;2A;;;50181;Bedburg;;J
180;Begegnungsst. Kirchtroisdorf;Heinsberger Straße;5;;;50181;Bedburg;;J
160;Mehrzweckhalle Kirchherten;Zaunstraße;5;;;50181;Bedburg;;J
170;Mehrzweckhalle Kirchherten;Zaunstraße;5;;;50181;Bedburg;;J
