zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50126;Aachener Straße;3;61;4;46;Zieverich;04.1;;;91
50129;Abts-Acker-Straße;3;67;10;54;Oberaußem;11.2;;;91
50126;Adam-Giesen-Ring;1;37;2;50;Kenten;07.2;;;91
50126;Adlerweg;1;7;2;6;Kenten;06.1;;;91
50129;Adolf-Kolping-Straße;1;21;2;18;Büsdorf;16.1;;;91
50127;Agavenweg;1;23;2;6;Quadrath-Ichendorf;23.2;;;91
50126;Agnes-Miegel-Straße;1;33;2;32;Zieverich;04.1;;;91
50127;Ahestraße;1;19;4;26;Quadrath-Ichendorf;21.1;;;91
50126;Ahornweg;1;13;4;20;Bergheim;09.2;;;91
50126;Akazienweg;1;9;2;14;Bergheim;09.2;;;91
50127;Albert-Schweitzer-Straße;5;25;2;20;Quadrath-Ichendorf;21.1;;;91
50126;Albrecht-Dürer-Allee;11;11;4;6;Kenten;05.2;;;91
50127;Alpenkönigweg;1;11;2;18;Quadrath-Ichendorf;23.1;;;91
50129;Alpenstraße;1;1;4;10;Oberaußem;11.2;;;91
50129;Alte Landstraße;5;145;4;166;Niederaußem;13.1;;;91
50129;Alte Windmühle;1;1;2;4;Glessen;17.2;;;91
50127;Alter Sportplatz;5;5;;;Quadrath-Ichendorf;19.2;;;91
50129;Am Abtshof;1;15;4;12;Glessen;17.2;;;91
50129;Am Alten Bahnhof;1;15;2;22;Rheidt-Hüchelhoven;15.2;;;91
50129;Am Alten Fließ;1;81;2;66;Fliesteden;16.2;;;91
50129;Am Alten Hof;9;9;2;14;Oberaußem;11.1;;;91
50129;Am Alten Maar;1;21;;;Oberaußem;11.1;;;91
50126;Am Bahndamm;;;4;4;Bergheim;09.1;;;91
50129;Am Berg;1;27;2;34;Oberaußem;11.2;;;91
50129;Am Bommerichshof;1;3;2;4;Büsdorf;16.1;;;91
50129;Am Breuersberg;1;25;2;12;Oberaußem;12.1;;;91
50129;Am Breuershof;1;37;2;30;Glessen;17.2;;;91
50126;Am Burgberg;1;27;2;24;Kenten;07.1;;;91
50129;Am Buschfeld;1;23;2;54;Fliesteden;16.2;;;91
50129;Am Ehrenfeldchen;1;27;2;24;Fliesteden;16.2;;;91
50129;Am Ehrenmal;1;1;2;2;Büsdorf;16.1;;;91
50126;Am Erftverband;;;10;10;Bergheim;09.1;;;91
50129;Am Feldahorn;;;4;24;Rheidt-Hüchelhoven;15.1;;;91
50129;Am Fischerhof;5;19;2;14;Niederaußem;13.1;;;91
50129;Am Frankenfeld;3;11;4;44;Glessen;17.2;;;91
50129;Am Fronhofpfad;3;5;4;4;Büsdorf;16.1;;;91
50129;Am Fuchsberg;;;2;20;Glessen;18.1;;;91
50127;Am Gastes;1;11;6;12;Quadrath-Ichendorf;20.1;;;91
50129;Am Gillbach;1;35;2;32;Rheidt-Hüchelhoven;15.2;;;91
50126;Am Glescher Hof;;;2;14;Glesch;03.1;;;91
50129;Am Grüneck;1;33;6;32;Oberaußem;12.2;;;91
50129;Am Haselbusch;1;19;2;16;Oberaußem;12.2;;;91
50126;Am Heerwege;1;9;2;4;Kenten;08.1;;;91
50129;Am Hengert;11;11;2;10;Rheidt-Hüchelhoven;15.2;;;91
50129;Am Hofheckerweg;1;73;;;Glessen;17.1;;;91
50129;Am Hüttenhof;1;3;2;12;Büsdorf;16.1;;;91
50126;Am Jobberath;15;29;;;Bergheim;09.1;;;91
50127;Am Kapellenkreuz;1;25;2;50;Ahe;01.1;;;91
50129;Am Keuschenbroich;3;31;2;26;Glessen;17.2;;;91
50129;Am Kirchgarten;11;25;2;44;Glessen;17.1;;;91
50126;Am Knüchelsdamm;;;6;6;Bergheim;09.1;;;91
50129;Am Langen Garten;1;33;4;24;Glessen;18.1;;;91
50129;Am Langgraben;;;2;8;Auenheim;15.3;;;91
50129;Am Lapprath;1;15;2;42;Oberaußem;12.1;;;91
50129;Am Lindenberg;;;6;8;Fliesteden;16.2;;;91
50129;Am Meulshof;;;2;18;Niederaußem;13.1;;;91
50129;Am Mohlenberg;1;5;8;10;Büsdorf;16.1;;;91
50129;Am Mühlenberg;;;2;10;Fliesteden;16.2;;;91
50129;Am Mühlenteich;1;37;2;52;Glessen;18.1;;;91
