zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50321;Adolf-Damaschke-Straße;1;7;2;8;Brühl;14.0;;;92
50321;Agathastraße;3;7;2;16;Brühl;15.0;;;92
50321;Ahornweg;1;15;2;16;Brühl;04.1;;;92
50321;Akazienweg;7;19;2;16;Brühl;04.1;;;92
50321;Alte Bohle;3;71;4;88;Brühl;07.0;;;92
50321;Alte Bonnstraße;15;223;2;148;Brühl;22.0;;;92
50321;Alte Bonnstraße;1;13;;;Brühl;21.0;;;92
50321;Am Birkhof;1;1;;;Brühl;04.1;;;92
50321;Am Daberger Hof;;;4;10;Brühl;09.0;;;92
50321;Am Eichenbusch;1;23;2;32;Brühl;08.0;;;92
50321;Am Falter;11;23;6;22;Brühl;03.0;;;92
50321;Am Hennebach;1;39;2;28;Brühl;04.0;;;92
50321;Am Hohlweg;1;13;2;14;Brühl;03.0;;;92
50321;Am Hülderberg;1;17;2;20;Brühl;06.0;;;92
50321;Am Inselweiher;3;33;2;24;Brühl;02.0;;;92
50321;Am Kirchberg;1;17;4;6;Brühl;12.0;;;92
50321;Am Krausen Baum;1;43;2;42;Brühl;08.0;;;92
50321;Am Kreuz;7;29;4;40;Brühl;14.0;;;92
50321;Am Kuttenbusch;1;49;2;52;Brühl;05.0;;;92
50321;Am Michelshof;1;27;4;106;Brühl;22.0;;;92
50321;Am Mühlenhof;1;11;10;10;Brühl;11.0;;;92
50321;Am Pappelbusch;1;19;2;24;Brühl;09.1;;;92
50321;Am Pastorsgarten;29;29;6;32;Brühl;05.1;;;92
50321;Am Petershof;13;25;12;46;Brühl;22.0;;;92
50321;Am Rankewerk;3;9;;;Brühl;02.0;;;92
50321;Am Rheindorfer Bach;1;25;4;18;Brühl;03.0;;;92
50321;Am Ringofen;1;49;2;62;Brühl;07.0;;;92
50321;Am Rolfsacker;1;5;2;16;Brühl;08.0;;;92
50321;Am Rott;5;23;6;14;Brühl;05.0;;;92
50321;Am Römerkanal;1;1;2;26;Brühl;07.0;;;92
50321;Am Siegesbach;1;35;2;52;Brühl;10.0;;;92
50321;Am Strauchshof;;;4;4;Brühl;03.0;;;92
50321;Am Volkspark;3;19;;;Brühl;17.0;;;92
50321;An Haus Vendel;1;25;2;20;Brühl;07.0;;;92
50321;An Hornsgarten;;;2;16;Brühl;22.0;;;92
50321;An Maria Glück;3;13;4;30;Brühl;07.0;;;92
50321;An Schloss Falkenlust;;;0;0;Brühl;02.0;;;92
50321;An der Alten Zuckerfabrik;1;1;2;24;Brühl;02.0;;;92
50321;An der Bleiche;;;2;4;Brühl;19.0;;;92
50321;An der Brücke;7;11;2;8;Brühl;11.0;;;92
50321;An der Hohlen Gasse;5;9;4;4;Brühl;03.0;;;92
50321;An der Kapelle;;;2;2;Brühl;05.1;;;92
50321;An der Linde;1;21;2;16;Brühl;15.0;;;92
50321;An der Schallenburg;1;51;4;18;Brühl;03.0;;;92
50321;An der Synagoge;;;4;8;Brühl;19.0;;;92
