vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
01.0;Jugendkulturhaus PASSWORT CULTRA;Schildgesstraße;112;;;50321;Brühl;;J
03.0;Kindertagesstätte Rasselbande;Hermann-Faßbender-Straße;2A;;;50321;Brühl;;J
06.0;Kath. Grundschule Pingsdorf;Hüllenweg;5;;;50321;Brühl;;J
05.0;Gemeinsch.-Grundschule Badorf;Badorfer Straße;93;;;50321;Brühl;;J
09.0;Max-Ernst-Gymnasium;Rodderweg;66;;;50321;Brühl;;J
09.1;Astrid-Lindgren-Schule;Rodderweg;93;;;50321;Brühl;;J
11.0;Barbara-Schule;Mühlenbach;65;;;50321;Brühl;;J
12.0;Melanchthon-Schule;Kaiserstraße;158;;;50321;Brühl;;J
13.0;Kath. Grundschule Vochem a;St. Albert-Straße;2;;;50321;Brühl;;J
17.0;Pestalozzi-Schule;Kölnstraße;85;;;50321;Brühl;;J
17.1;Senioren-Wohnheim Wetterstein;Kölnstraße;74;;;50321;Brühl;;J
19.0;Rathausgalerie;Uhlstraße;2;;;50321;Brühl;;J
20.0;Martin-Luther-Schule;Bonnstraße;52;;;50321;Brühl;;J
21.0;Clemens-August-Schule Mensa Gebäude Ganztagsschule;Clemens-August-Straße;33;;;50321;Brühl;;J
14.0;Kath. Grundschule Vochem b;St. Albert-Straße;2;;;50321;Brühl;;J
15.0;Kath. Grundschule Vochem c;St. Albert-Straße;2;;;50321;Brühl;;J
04.0;"KITA ""An der Eckdorfer Mühle""";Eckdorfer Straße;37;;;50321;Brühl;;J
05.1;"KITA ""An der Eckdorfer Mühle""";Eckdorfer Straße;37;;;50321;Brühl;;J
02.0;"KITA ""An der alten Zuckerfabrik""";Sophie-Scholl-Straße;2;;;50321;Brühl;;J
07.0;Johannesstift Altenzentrum;An der Ziegelei;1-5;;;50321;Brühl;;J
22.0;"Kindertagesstätte ""Auf der Pehle""";Auf der Pehle;27;;;50321;Brühl;;J
08.0;Max-Ernst-Gymnasium - Mensa;Rodderweg;66;;;50321;Brühl;;J
10.0;Pfarrheim Brühl-Heide;Bergstraße;35;;;50321;Brühl;;J
04.1;Turnhalle Badorf;Auf dem Gallberg;30;;;50321;Brühl;;J
16.0;Integrationszentrum KOMM-MIT;Auguste-Viktoria-Str.;1-19;;;50321;Brühl;;J
18.0;Clemens-August-Schule Caféteria Gebäude Ganztagsschule;Clemens-August-Straße;33;;;50321;Brühl;;J
