zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57299;Ahornstraße;1;41;4;16;Niederdresselndorf;011.1;;;148
57299;Albert-Schweitzer-Straße;5;15;4;4;Gilsbach;006.1;;;148
57299;Alfred-Nobel-Straße;1;23;2;40;Würgendorf;015.1;;;148
57299;Alte Burbach;1;21;4;8;Burbach;004.1;;;148
57299;Alte Siedlung;1;11;6;38;Holzhausen;008.1;;;148
57299;Alter Garten;1;5;2;6;Burbach;002.1;;;148
57299;Alter Weiher;1;11;4;12;Holzhausen;008.1;;;148
57299;Am Denkmal;1;17;4;22;Holzhausen;008.1;;;148
57299;Am Eichhölzchen;3;5;2;8;Niederdresselndorf;011.1;;;148
57299;Am Einschnitt;1;3;2;8;Würgendorf;016.1;;;148
57299;Am Feldborn;1;23;2;26;Lützeln;009.1;;;148
57299;Am Flüßchen;3;5;2;14;Burbach;004.1;;;148
57299;Am Kanal;1;1;;;Lippe;002.2;;;148
57299;Am Kirchplatz;1;9;2;12;Niederdresselndorf;011.1;;;148
57299;Am Kirchtor;7;7;;;Holzhausen;008.1;;;148
57299;Am Layplatz;;;2;10;Niederdresselndorf;011.1;;;148
57299;Am Mühlengraben;1;5;2;6;Oberdresselndorf;012.1;;;148
57299;Am Rosenbach;1;3;;;Gilsbach;006.1;;;148
57299;Am Scheidforst;1;1;4;4;Holzhausen;008.1;;;148
57299;Am Vogelsang;1;31;2;26;Burbach;001.1;;;148
57299;Am Zäunchen;1;19;2;10;Holzhausen;008.1;;;148
57299;Amselweg;1;5;2;2;Niederdresselndorf;010.1;;;148
57299;An der Bahn;1;13;;;Wahlbach;014.1;;;148
57299;An der Burg;1;49;2;42;Burbach;001.1;;;148
57299;Asslers Mühle;1;1;2;2;Holzhausen;008.1;;;148
57299;Auf dem Stück;1;1;4;6;Burbach;003.1;;;148
57299;Auf den Höfen;;;2;2;Wahlbach;013.1;;;148
