zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53949;Abtei Maria Frieden;;;40;40;Dahlem;03.0;;;92
53949;Ahornweg;;;2;8;Dahlem;03.0;;;92
53949;Alenweg;1;7;2;10;Berk;02.0;;;92
53949;Alteburger Straße;1;29;2;32;Schmidtheim;06.0;;;92
53949;Am Bungert;3;21;;;Dahlem;03.0;;;92
53949;Am Fichtenberg;;;4;4;Berk;02.0;;;92
53949;Am Hassel;3;3;;;Berk;02.0;;;92
53949;Am Herrenberg;7;15;2;20;Dahlem;03.0;;;92
53949;Am Höchsten;1;9;10;12;Kronenburg;05.0;;;92
53949;Am Kalkofen;31;31;30;30;Baasem;01.0;;;92
53949;Am Kalkofen;;;32;32;Kronenburg;05.0;;;92
53949;Am Schleidener Weg;1;1;;;Berk;02.0;;;92
53949;Am Sportplatz;3;5;;;Dahlem;03.0;;;92
53949;Am Sönsberg;5;5;2;8;Dahlem;03.0;;;92
53949;Am Weiler;5;17;4;10;Dahlem;03.0;;;92
53949;An Mospelt;7;7;8;8;Berk;02.0;;;92
53949;Auf Eisen;1;27;2;34;Dahlem;03.0;;;92
53949;Auf Etscherath;9;9;;;Berk;02.0;;;92
53949;Auf Horst;9;29;4;36;Dahlem;03.0;;;92
53949;Auf Katzelter;17;23;14;14;Schmidtheim;06.0;;;92
53949;Auf Schoppfeld;1;23;6;16;Kronenburg;05.0;;;92
53949;Auf dem Joch;5;29;4;32;Dahlem;03.0;;;92
53949;Auf dem Kramer;1;19;2;18;Berk;02.0;;;92
53949;Auf dem Lohrpfad;5;21;2;16;Baasem;01.0;;;92
53949;Auf dem Plan;1;5;;;Kronenburg;05.0;;;92
53949;Auf der Hardt;;;40;40;Baasem;01.0;;;92
53949;Auf der Held;3;29;2;26;Baasem;01.0;;;92
53949;Auf der Menn;3;17;2;12;Dahlem;03.0;;;92
53949;Auf der Sandkaul;1;21;2;14;Dahlem;03.0;;;92
53949;Bahnhofstraße;11;97;2;98;Schmidtheim;06.0;;;92
53949;Bahnsiedlung;3;3;;;Dahlem;03.0;;;92
53949;Bahnstraße;1;43;4;44;Dahlem;03.0;;;92
53949;Bergstraße;3;3;4;12;Dahlem;03.0;;;92
53949;Berker Weg;3;11;;;Frauenkron;04.0;;;92
53949;Binzertweg;1;1;4;4;Kronenburg;05.0;;;92
53949;Birkenweg;1;7;6;10;Schmidtheim;06.0;;;92
53949;Birtweg;1;9;4;6;Frauenkron;04.0;;;92
53949;Blankenheimer Straße;3;49;46;48;Schmidtheim;06.0;;;92
53949;Bleichstraße;3;3;14;16;Baasem;01.0;;;92
53949;Brantengasse;5;17;2;12;Dahlem;03.0;;;92
53949;Brunnenstraße;3;9;2;18;Schmidtheim;06.0;;;92
53949;Buchenhof;91;91;;;Baasem;01.0;;;92
53949;Buchenweg;7;23;2;22;Dahlem;03.0;;;92
53949;Buchfinkenweg;15;15;;;Dahlem;03.0;;;92
53949;Burgbering;3;27;10;50;Kronenburg;05.0;;;92
53949;Burgstraße;15;23;12;18;Kronenburg;05.0;;;92
53949;Dahlemer Binz;51;51;50;50;Dahlem;03.0;;;92
