zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57489;Agathaweg;1;5;2;4;Frenkhausen;12.1;;;149
57489;Ahornweg;5;5;2;6;Halbhusten;07.1;;;149
57489;Aloisiusweg;;;4;4;Wegeringhausen;11.2;;;149
57489;Alperscheid;1;7;4;8;Alperscheid;12.1;;;149
57489;Alperscheider Weg;1;5;2;10;Frenkhausen;12.1;;;149
57489;Alte Dorfstraße;1;13;2;36;Germinghausen;11.1;;;149
57489;Alte Dorfstraße;15;25;38;44;Junkernhöh;11.1;;;149
57489;Alte Landstraße;3;33;6;24;Drolshagen;01.1;;;149
57489;Am Apfelhof;;;4;4;Feldmannshof;08.1;;;149
57489;Am Bahnhof;;;2;2;Eichen;06.1;;;149
57489;Am Bauckhahn;5;17;2;2;Wegeringhausen;11.2;;;149
57489;Am Bogen;;;2;2;Iseringhausen;07.1;;;149
57489;Am Bremerhof;1;7;2;4;Berlinghausen;06.1;;;149
57489;Am Bubengarten;;;2;10;Schlade;10.1;;;149
57489;Am Buscheid;3;63;2;34;Drolshagen;02.1;;;149
57489;Am Dorfe;1;7;2;16;Iseringhausen;07.1;;;149
57489;Am Eckerberg;3;3;;;Husten;07.1;;;149
57489;Am Eichenbaum;1;7;2;10;Drolshagen;04.1;;;149
57489;Am Eickenhahn;3;23;10;18;Schreibershof;13.1;;;149
57489;Am Flachsberg;1;21;4;4;Bleche;10.1;;;149
57489;Am Frohnen Wenden;;;2;6;Junkernhöh;11.1;;;149
57489;Am Garten;1;5;2;8;Lüdespert;10.1;;;149
57489;Am Gielenstein;3;3;2;6;Drolshagen;04.1;;;149
57489;Am Hain;;;4;6;Heimicke;13.1;;;149
57489;Am Hang;1;15;4;4;Benolpe;08.1;;;149
57489;Am Hebberg;3;3;2;8;Frenkhausen;12.1;;;149
57489;Am Heile;3;15;;;Herpel;13.1;;;149
57489;Am Heliken;1;9;2;8;Öhringhausen;12.1;;;149
57489;Am Hepper;5;9;2;4;Husten;07.1;;;149
57489;Am Herpelbach;;;2;2;Herpel;13.1;;;149
57489;Am Hofgarten;1;9;2;6;Benolpe;08.1;;;149
57489;Am Hovestadt;1;25;2;30;Wegeringhausen;11.2;;;149
57489;Am Höhwege;3;11;2;16;Hützemert;09.1;;;149
57489;Am Hüsterberg;;;2;16;Drolshagen;01.1;;;149
57489;Am Hütteberg;7;9;2;10;Berlinghausen;06.1;;;149
57489;Am Kleefeld;1;9;8;8;Lüdespert;10.1;;;149
57489;Am Kreuzberg;;;2;6;Iseringhausen;07.1;;;149
57489;Am Köpfchen;5;5;;;Husten;07.1;;;149
57489;Am Langen Stück;5;5;4;4;Scheda;10.1;;;149
57489;Am Lindenberg;5;7;2;2;Herpel;13.1;;;149
57489;Am Lingemert;1;1;2;2;Feldmannshof;08.1;;;149
57489;Am Lußnacken;3;13;4;26;Benolpe;08.1;;;149
57489;Am Markhagen;;;4;8;Frenkhausen;12.1;;;149
57489;Am Mühlenteich;1;3;;;Drolshagen;01.1;;;149
57489;Am Nocken;1;7;2;16;Iseringhausen;07.1;;;149
57489;Am Papenberg;1;15;2;6;Drolshagen;02.1;;;149
57489;Am Pädchen;1;3;;;Schreibershof;13.1;;;149
57489;Am Rummelsberg;1;1;2;4;Berlinghausen;06.1;;;149
57489;Am Schlotstück;1;3;;;Germinghausen;11.1;;;149
57489;Am Schmand;1;1;;;Wenkhausen;02.1;;;149
57489;Am Sessenhahn;1;7;2;8;Wegeringhausen;11.2;;;149
57489;Am Sonnenhang;1;15;4;16;Berlinghausen;06.1;;;149
57489;Am Sportplatz;1;3;2;4;Hützemert;09.1;;;149
57489;Am Spritzenhaus;1;11;2;18;Iseringhausen;07.1;;;149
57489;Am Steinfeld;7;7;2;16;Schreibershof;13.1;;;149
57489;Am Wall;1;17;2;12;Drolshagen;02.1;;;149
57489;Am Weinberg;1;11;2;8;Drolshagen;08.2;;;149
57489;Am Windhagen;3;7;4;4;Benolpe;08.1;;;149
57489;Amselweg;1;7;2;10;Drolshagen;05.1;;;149
57489;An der Eie;3;9;6;6;Schlade;10.1;;;149
57489;An der Ekert;1;1;2;2;Dumicke;12.2;;;149
57489;An der Heidnocke;3;5;2;4;Herpel;13.1;;;149
57489;An der Heilde;3;3;2;2;Halbhusten;07.1;;;149
