vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
04.1;Herrnscheid-Schule Drolshagen;Herrnscheider Weg;33;;;57489;Drolshagen;;J
05.1;Herrnscheid-Schule Drolshagen;Herrnscheider Weg;33;;;57489;Drolshagen;;J
08.2;Kindergarten 'Herrnscheider Kindernest';Humboldtstraße;31;;;57489;Drolshagen;;J
03.1;Altes Kloster (Gewölbekeller);Klosterhof;2;;;57489;Drolshagen;;N
06.1;Dorfgemeinschaftshalle Berlinghausen;Napoleonstraße;13;;;57489;Drolshagen;;J
07.1;Kath. Jugendheim Iseringhausen;Brachtpetalstraße;11;;;57489;Drolshagen;;N
10.1;Kath. Jugendheim Bleche;Kirchweg;1;;;57489;Drolshagen;;J
11.1;St.-Engelbert-Heim Germinghausen;Alte Dorfstraße;36;;;57489;Drolshagen;;N
12.1;Dorfgemeinschaftshalle Frenkhausen;Auf der Heide;9;;;57489;Drolshagen;;J
13.1;Grundschule Schreibershof;Listerstraße;17;;;57489;Drolshagen;;J
12.2;Ehem. Schule Dumicke;An der Schlade;1;;;57489;Drolshagen;;J
11.2;Ehem. Schule Wegeringhausen;Unter der Schule;1;;;57489;Drolshagen;;J
09.1;Grundschule Hützemert;Schulweg;6;;;57489;Drolshagen;;N
02.1;Gräfin-Sayn-Schule Drolshagen;Am Buscheid;2;;;57489;Drolshagen;;J
08.1;Dorfgemeinschaftshaus Benolpe;Am Hofgarten;31;;;57489;Drolshagen;;N
01.1;Mehrgenerationenhaus Drolshagen;Gerberstraße;37;;;57489;Drolshagen;;J
