zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50374;Abt-Horchem-Straße;1;35;2;60;Erftstadt;17.0;;;92
50374;Ackerstraße;3;79;2;146;Erftstadt;15.1;;;92
50374;Adlerweg;1;31;2;6;Erftstadt;19.0;;;92
50374;Agathastraße;1;7;2;8;Erftstadt;19.0;;;92
50374;Ahornweg;1;11;2;14;Erftstadt;09.0;;;92
50374;Ahremer Lichweg;3;47;30;30;Erftstadt;20.1;;;92
50374;Akazienweg;1;7;2;8;Erftstadt;24.0;;;92
50374;Albert-Einstein-Ring;;;6;10;Erftstadt;24.0;;;92
50374;Alfred-Delp-Straße;1;27;2;18;Erftstadt;23.0;;;92
50374;Alfred-Kubin-Weg;1;23;2;40;Erftstadt;05.0;;;92
50374;Allensteiner Weg;1;21;2;22;Erftstadt;10.0;;;92
50374;Alter Burgweg;;;4;14;Erftstadt;02.0;;;92
50374;Am Anger;1;25;2;32;Erftstadt;12.0;;;92
50374;Am Beißel;1;51;2;18;Erftstadt;21.0;;;92
50374;Am Burgfeld;;;146;186;Erftstadt;19.0;;;92
50374;Am Burgfeld;1;129;2;144;Erftstadt;18.0;;;92
50374;Am Böttchen;1;39;2;22;Erftstadt;21.0;;;92
50374;Am Büschel;1;55;4;24;Erftstadt;01.0;;;92
50374;Am Büschel;1;55;;24;Erftstadt;01.0;;;92
50374;Am Flutgraben;3;39;2;28;Erftstadt;01.0;;;92
50374;Am Fußfall;1;27;2;36;Erftstadt;02.0;;;92
50374;Am Giezenbach;1;31;2;26;Erftstadt;05.0;;;92
50374;Am Haagenpfädchen;;;2;16;Erftstadt;23.0;;;92
50374;Am Hahnacker;3;13;4;40;Erftstadt;07.0;;;92
50374;Am Hasenpfad;1;1;;;Erftstadt;17.0;;;92
50374;Am Heidehang;1;17;2;30;Erftstadt;13.0;;;92
50374;Am Heisterfeld;1;5;;;Erftstadt;21.0;;;92
50374;Am Hermeshof;1;3;2;24;Erftstadt;22.0;;;92
50374;Am Hommerich;1;15;2;16;Erftstadt;22.0;;;92
50374;Am Kapellenbusch;1;41;2;34;Erftstadt;08.0;;;92
50374;Am Kellergraben;1;9;2;12;Erftstadt;20.1;;;92
50374;Am Kirchpfad;1;13;2;10;Erftstadt;14.0;;;92
50374;Am Kolbesmaar;1;21;2;14;Erftstadt;21.0;;;92
50374;Am Konradsheimer Weg;1;1;0;0;Erftstadt;24.0;;;92
50374;Am Kreuz;1;3;2;4;Erftstadt;14.0;;;92
50374;Am Kämpchen;;;6;20;Erftstadt;25.0;;;92
50374;Am Lindenfeld;1;13;2;16;Erftstadt;21.0;;;92
50374;Am Lindengarten;1;15;4;50;Erftstadt;17.0;;;92
50374;Am Ludwigsacker;1;21;2;10;Erftstadt;07.0;;;92
50374;Am Marienkreuz;1;35;8;40;Erftstadt;20.2;;;92
50374;Am Maximinenkreuz;3;41;2;28;Erftstadt;22.0;;;92
50374;Am Mittelpfad;3;17;8;18;Erftstadt;15.3;;;92
50374;Am Mühlenbach;1;7;2;16;Erftstadt;09.0;;;92
50374;Am Plexer;1;11;2;10;Erftstadt;01.0;;;92
50374;Am Qualenberg;1;41;2;28;Erftstadt;21.0;;;92
50374;Am Rottfeld;1;11;2;42;Erftstadt;18.0;;;92
50374;Am Rulenzflies;1;5;2;8;Erftstadt;15.3;;;92
50374;Am Schießberg;1;17;2;36;Erftstadt;25.0;;;92
50374;Am Schießendahl;1;91;6;82;Erftstadt;10.0;;;92
50374;Am Siefenpfad;1;13;2;12;Erftstadt;17.0;;;92
50374;Am Spielberg;1;1;2;4;Erftstadt;17.0;;;92
50374;Am Spürkerkreuz;1;1;2;4;Erftstadt;09.0;;;92
50374;Am Steinfeld;1;7;2;8;Erftstadt;21.0;;;92
50374;Am Tunnel;1;5;2;2;Erftstadt;10.0;;;92
50374;Am Vogelsang;1;55;6;64;Erftstadt;08.0;;;92
50374;Am Wachberg;1;39;2;80;Erftstadt;13.0;;;92
50374;Am Weilerweg;1;1;;;Erftstadt;16.0;;;92
50374;Am Welschbach;3;9;2;4;Erftstadt;20.1;;;92
50374;Am Ziegelacker;1;37;2;36;Erftstadt;09.0;;;92
50374;Ammerstraße;1;9;2;10;Erftstadt;17.0;;;92
50374;Amselweg;1;41;4;24;Erftstadt;19.0;;;92
50374;An St.Servatius;1;9;2;12;Erftstadt;21.0;;;92
50374;An den Eichen;1;17;8;12;Erftstadt;09.0;;;92
50374;An der Baumschule;1;31;2;32;Erftstadt;24.0;;;92
50374;An der Johannisbrücke;;;2;10;Erftstadt;02.0;;;92
50374;An der Mirgelskaul;1;25;2;48;Erftstadt;12.0;;;92
50374;An der Patria;11;55;2;22;Erftstadt;24.0;;;92
50374;An der Schleifmühle;3;13;2;26;Erftstadt;21.0;;;92
50374;An der Schwarzau;5;11;150;150;Erftstadt;06.0;;;92
50374;An der Vogelrute;1;17;2;12;Erftstadt;18.0;;;92
50374;An der Waschmaar;1;3;;;Erftstadt;15.3;;;92
50374;Anemonenweg;1;25;2;10;Erftstadt;07.0;;;92
50374;Annastraße;1;17;2;20;Erftstadt;04.0;;;92
50374;Anne-Frank-Straße;;;2;2;Erftstadt;12.0;;;92
50374;Antonsgasse;1;1;4;4;Erftstadt;07.0;;;92
50374;Ardennenstraße;3;9;2;18;Erftstadt;01.0;;;92
50374;Asternsteg;1;1;;;Erftstadt;07.0;;;92
50374;Auerweg;1;7;2;4;Erftstadt;15.2;;;92
50374;Auf dem Acker;1;1;;;Erftstadt;14.0;;;92
50374;Auf dem Deuschen;1;9;2;14;Erftstadt;03.0;;;92
50374;Auf dem Graben;;;8;22;Erftstadt;20.1;;;92
50374;Auf dem Hamm;1;17;2;2;Erftstadt;14.0;;;92
50374;Auf dem Hostert;3;11;2;18;Erftstadt;01.0;;;92
50374;Auf dem Kreuzberg;1;17;2;32;Erftstadt;15.1;;;92
50374;Auf dem Rodt;1;21;2;24;Erftstadt;14.0;;;92
50374;Auf der Höhe;1;7;2;12;Erftstadt;13.0;;;92
50374;Auf der Steinhaage;3;5;;;Erftstadt;06.0;;;92
50374;August-Macke-Straße;1;45;2;30;Erftstadt;05.0;;;92
50374;Augustinusweg;1;21;2;8;Erftstadt;03.0;;;92
50374;Ausleger;1;49;2;30;Erftstadt;02.0;;;92
50374;Bachstraße;1;31;2;26;Erftstadt;22.0;;;92
50374;Badorfer Weg;1;37;2;20;Erftstadt;13.0;;;92
50374;Bahnhofstraße;25;57;20;90;Erftstadt;08.0;;;92
50374;Bahnhofstraße;1;23;4;6;Erftstadt;07.0;;;92
50374;Bahnhofstraße;59;83;92;108;Erftstadt;10.0;;;92
50374;Balkhausener Straße;1;37;2;2;Erftstadt;02.0;;;92
50374;Barbarastraße;1;21;2;18;Erftstadt;10.0;;;92
50374;Baumstraße;1;45;2;34;Erftstadt;25.0;;;92
50374;Beethovenstraße;1;13;2;14;Erftstadt;03.0;;;92
50374;Behrensstraße;5;35;4;22;Erftstadt;07.0;;;92
50374;Bendenweg;1;17;2;16;Erftstadt;15.3;;;92
50374;Bergstraße;1;3;2;18;Erftstadt;10.0;;;92
50374;Berliner Straße;1;35;2;34;Erftstadt;11.0;;;92
50374;Bernd-Alois-Zimmermann-;1;3;2;4;Erftstadt;13.0;;;92
50374;Bernhard-Letterhaus-Str.;1;7;2;52;Erftstadt;23.0;;;92
50374;Berrenrather Straße;1;5;2;50;Erftstadt;03.0;;;92
50374;Bertha-von-Suttner-Weg;1;29;2;10;Erftstadt;12.0;;;92
50374;Bertolt-Brecht-Straße;1;107;2;200;Erftstadt;11.0;;;92
50374;Birkenstraße;1;69;2;30;Erftstadt;16.0;;;92
50374;Blankenheimer Weg;1;33;2;26;Erftstadt;09.0;;;92
50374;Bleistraße;1;45;2;56;Erftstadt;15.2;;;92
50374;Blessemer Lichweg;;;4;4;Erftstadt;21.0;;;92
50374;Blessemer Straße;43;51;2;108;Erftstadt;18.0;;;92
50374;Blessemer Straße;1;31;;;Erftstadt;19.0;;;92
50374;Bliesgasse;1;9;2;8;Erftstadt;14.0;;;92
50374;Bliesheimer Straße;3;27;14;32;Erftstadt;09.0;;;92
50374;Blumenstraße;1;7;4;8;Erftstadt;25.0;;;92
50374;Bolzengasse;3;21;2;26;Erftstadt;16.0;;;92
50374;Bonifatiusweg;1;11;2;10;Erftstadt;21.0;;;92
50374;Bonner Ring;17;55;2;80;Erftstadt;24.0;;;92
50374;Bonner Ring;59;151;88;130;Erftstadt;23.0;;;92
50374;Bonner Straße;1;101;6;92;Erftstadt;24.0;;;92
50374;Borrer Straße;1;39;2;42;Erftstadt;15.1;;;92
50374;Breslauer Straße;1;27;2;52;Erftstadt;12.0;;;92
50374;Broichweg;1;37;2;40;Erftstadt;03.0;;;92
50374;Bruder-Edelfried-Straße;3;31;2;28;Erftstadt;16.0;;;92
50374;Brückenstraße;3;75;2;84;Erftstadt;25.0;;;92
50374;Brüggener Straße;1;111;4;144;Erftstadt;01.0;;;92
50374;Brühler Straße;1;19;2;42;Erftstadt;07.0;;;92
50374;Buchenweg;1;27;2;20;Erftstadt;10.0;;;92
50374;Buschfelder Mühle;1;3;;;Erftstadt;13.0;;;92
50374;Buschfelder Weg;1;1;2;10;Erftstadt;06.0;;;92
50374;Bussardweg;1;17;2;22;Erftstadt;18.0;;;92
50374;Büchelstraße;1;25;4;36;Erftstadt;15.2;;;92
50374;Bühler Graben;1;19;2;18;Erftstadt;17.0;;;92
50374;Carl-Schurz-Straße;1;167;2;160;Erftstadt;07.0;;;92
50374;Carl-Schurz-Straße;169;203;;;Erftstadt;06.0;;;92
50374;Chorweg;1;11;2;10;Erftstadt;25.0;;;92
50374;Christian-Dahmen-Straße;3;5;2;4;Erftstadt;15.1;;;92
50374;Concordiastraße;1;47;2;60;Erftstadt;03.0;;;92
50374;Cäcilienweg;1;9;2;26;Erftstadt;25.0;;;92
