zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57339;Alleeweg;1;17;2;14;Röspe;09.1;;;148
57339;Altenschlager Weg;1;17;2;38;Erndtebrück;04.1;;;148
57339;Am Beel;1;1;;;Balde;11.1;;;148
57339;Am Fuchsrain;1;1;2;2;Erndtebrück;08.2;;;148
57339;Am Gickelsberg;1;5;2;2;Erndtebrück;08.2;;;148
57339;Am Hainchen;1;1;2;2;Birkelbach;09.2;;;148
57339;Am Heidorn;1;21;2;20;Birkelbach;09.2;;;148
57339;Am Hohlbusch;1;1;4;4;Zinse;06.2;;;148
57339;Am Köpfchen;1;9;2;10;Erndtebrück;01.1;;;148
57339;Am Rücken;1;15;2;2;Birkelbach;07.2;;;148
57339;Am Schneidersberg;1;1;2;6;Balde;11.1;;;148
57339;Am Sportplatz;;;2;4;Birkelbach;07.2;;;148
57339;An der Hirste;1;1;2;2;Balde;11.1;;;148
57339;An der Lai;1;7;4;18;Schameder;10.1;;;148
57339;Auerhahnbalz;3;5;2;2;Zinse;06.2;;;148
57339;Auf dem Hof;;;2;8;Birkelbach;07.2;;;148
57339;Auf dem Rain;;;2;4;Erndtebrück;02.1;;;148
57339;Auf der Höhe;1;11;6;16;Balde;11.1;;;148
57339;Auf der Katzenbach;3;17;2;28;Erndtebrück;08.2;;;148
57339;Auf der Leimstruth;1;11;2;12;Balde;11.1;;;148
57339;Auf der Roll;3;13;2;12;Erndtebrück;03.1;;;148
57339;Backes Ecke;1;1;4;14;Erndtebrück;03.1;;;148
57339;Backofenstraße;1;33;4;14;Erndtebrück;03.1;;;148
57339;Bahnhofstraße;1;7;4;12;Erndtebrück;06.1;;;148
57339;Baierbach;1;5;8;12;Schameder;10.1;;;148
57339;Balder Straße;1;27;8;24;Balde;11.1;;;148
57339;Bergstraße;3;35;4;40;Erndtebrück;03.1;;;148
57339;Bergstraße;37;79;42;58;Erndtebrück;08.2;;;148
57339;Berliner Straße;1;47;;;Erndtebrück;06.1;;;148
57339;Birkefehler Straße;1;13;2;12;Birkefehl;11.2;;;148
57339;Birkelbacher Straße;1;7;2;14;Womelsdorf;07.1;;;148
57339;Birkenweg;1;45;2;56;Erndtebrück;02.1;;;148
57339;Blumenstraße;1;11;;;Birkelbach;09.2;;;148
57339;Bornlochweg;1;7;2;6;Womelsdorf;07.1;;;148
57339;Breidenbachstraße;1;35;2;36;Erndtebrück;02.1;;;148
57339;Breslauer Straße;1;5;2;48;Erndtebrück;05.1;;;148
57339;Brunnenstraße;1;5;;;Birkefehl;11.2;;;148
57339;Brüder-Busch-Weg;1;13;2;10;Erndtebrück;04.1;;;148
57339;Buchenstraße;1;23;2;32;Birkelbach;09.2;;;148
57339;Dammstraße;1;5;2;10;Birkefehl;11.2;;;148
57339;Danziger Straße;1;25;2;36;Erndtebrück;05.1;;;148
57339;Dillstraße;1;1;;;Erndtebrück;01.1;;;148
57339;Dorfstraße;1;97;2;60;Benfe;08.1;;;148
57339;Dornröschenweg;1;5;2;8;Schameder;10.1;;;148
57339;Dr. Meißner-Weg;1;9;2;10;Erndtebrück;01.1;;;148
57339;Ederfeldstraße;3;31;2;50;Erndtebrück;04.1;;;148
57339;Ederstraße;3;11;2;34;Erndtebrück;04.1;;;148
57339;Eichenweg;1;3;;;Birkelbach;09.2;;;148
57339;Eisenstraße;1;13;2;14;Birkefehl;11.2;;;148
57339;Elberndorf;1;1;2;6;Erndtebrück;06.1;;;148
57339;Elsa-Brandström-Weg;;;2;8;Erndtebrück;01.1;;;148
57339;Em Dech;1;1;;;Erndtebrück;02.1;;;148
57339;Erlenweg;1;13;4;20;Womelsdorf;07.1;;;148
57339;Erndtebrücker Straße;1;3;;;Womelsdorf;07.1;;;148
57339;Erwin-Klotz-Weg;3;13;4;8;Erndtebrück;04.1;;;148
57339;Freiherr-vom-Stein-Straße;1;13;2;4;Erndtebrück;01.1;;;148
