vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
03.1;Grundschule Erndtebrück;Schulstraße;2;;;57339;Erndtebrück;;N
04.1;Realschule Erndtebrück;Ederfeldstraße;4;;;57339;Erndtebrück;;N
05.1;Ehem. Rothaarsteig-Schule;Hachenbergstraße;19;;;57339;Erndtebrück;;N
06.1;"Ev. Kindergarten ""Sonnenau""";Ederfeldstraße;1;;;57339;Erndtebrück;;J
07.1;Ehem. Schule Womelsdorf;Birkelbacher Str.;6;;;57339;Erndtebrück;;N
01.1;"Ev. Kindergarten ""Kinderhaus""";Martin-Luther-Straße;5;;;57339;Erndtebrück;;N
09.1;Dorfgemeinschaftshaus Röspe;Waldstraße;9;;;57339;Erndtebrück;;N
06.2;Ehem. Schule Zinse;Große Mittel;15;;;57339;Erndtebrück;;N
10.1;Ehemalige Schule Schameder;Hauptstraße;3;;;57339;Erndtebrück;;N
11.1;Ehemalige Schule Balde;Balder Straße;7;;;57339;Erndtebrück;;N
11.2;Dorfgemeinschaftsh. Birkefehl;Unterdorfstr.;4;;;57339;Erndtebrück;;J
08.1;Ev. Gemeindehaus Benfe;Zum Vogelsang;2;;;57339;Erndtebrück;;J
08.2;Grundschule Erndtebrück;Schulstraße;2;;;57339;Erndtebrück;;N
02.1;AWO Seniorenzentrum Erndtebrück;Struthstraße;4;;;57339;Erndtebrück;;J
07.2;Feuerwehrgerätehaus Birkelbach Raum im Dachgeschoss;Am Rücken;4;;;57339;Erndtebrück;;N
09.2;Mehrzweckhalle Birkelbach Proberaum Gem. Chor;Am Sportplatz;5;;;57339;Erndtebrück;;J
