vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
002.1;Hotel Im Stillen Winkel Rönkhausen;Kapellenstr.;11;;;57413;Finnentrop;;J
004.1;Festhalle Eingang Rondell;Kirchstr.;50;;;57413;Finnentrop;;J
007.1;Grundschule (Bereich I) Bamenohl;Alter Weg;39;;;57413;Finnentrop;;J
008.2;Gasthof Lubeley Weringhausen;Weringhauser Str.;71;;;57413;Finnentrop;;J
010.1;Gasthof Steinhoff Schönholthausen;Zur Schlerre;3;;;57413;Finnentrop;;J
013.2;Bürgerhaus Schöndelt;Auf der Bieke;2;;;57413;Finnentrop;;N
014.1;Gasthof Schmitt-Degenhardt Serkenrode;Fretterstr.;29;;;57413;Finnentrop;;N
014.2;Jugendheim Schliprüthen;St.-Georg-Weg;1;;;57413;Finnentrop;;J
015.2;Gasthof Schriener Heggen;Finnentroper Str.;8;;;57413;Finnentrop;;J
017.1;Kath. Kindergarten Heggen;Wiesenstr.;39;;;57413;Finnentrop;;J
001.1;Pfarrheim Rönkhausen;Lenscheider Str.;21;;;57413;Finnentrop;;N
003.1;Feuerwehrgerätehaus Lenhausen;Fretterbachstraße;9;;;57413;Finnentrop;;J
016.1;Feuerwehrgerätehaus Heggen Eingang Musikraum (rechte Hausseite);Hülschotter Straße;6;;;57413;Finnentrop;;J
011.1;Feuerwehrgerätehaus Ostentrop;Im Falker;9;;;57413;Finnentrop;;J
013.1;Gasthof Zur Post (Bereich II) Fretter;Esloher Straße;210;;;57413;Finnentrop;;J
015.1;Schützenhalle Hülschotten;Am Sonnenhang;13;;;57413;Finnentrop;;J
006.1;Festhalle Kleiner Saal;Kirchstr.;50;;;57413;Finnentrop;;J
009.1;Feuerwehrgerätehaus Bamenohl;Bamenohler Str.;77;;;57413;Finnentrop;;N
012.1;Gasthof Zur Post (Bereich I) Fretter;Esloher Straße;210;;;57413;Finnentrop;;N
005.1;Gaststätte Ratsschänke;Am Markt;3;;;57413;Finnentrop;;J
008.1;Grundschule (Bereich II) Bamenohl;Alter Weg;39;;;57413;Finnentrop;;J
