vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
1;Johannesschule Königsdorf 1;Friedrich-Ebert-Str.;63;;;50226;Frechen;;J
2;Johannesschule Königsdorf 2;Friedrich-Ebert-Str.;63;;;50226;Frechen;;J
16;Hauptschule Herbertskaul, Mensa;Kapfenberger Str.;50;;;50226;Frechen;;J
17;Pfarrzentrum St. Audomar;Othmarstr.;3;;;50226;Frechen;;J
19;Mauritiusschule Bachem;Fürstenbergstr.;118;;;50226;Frechen;;J
22;Nell-Breuning-Berufskolleg;Antoniusstraße;15;;;50226;Frechen;;J
13;Haus am Bahndamm;Rosmarstraße;113;;;50226;Frechen;;J
15;Burgschule Frechen;Im Klarenpesch 12-14;;;;50226;Frechen;;J
5;Edith-Stein-Schule Buschbell 5;Im Kirchenkamp 7-9;;;;50226;Frechen;;J
6;Edith-Stein-Schule Buschbell 6;Im Kirchenkamp 7-9;;;;50226;Frechen;;J
7;Gymnasium Frechen;Rotdornweg 43-45;;;;50226;Frechen;;J
11;Musikschule -AWO-;Dr.-Tusch-Straße 7-9;;;;50226;Frechen;;J
3;KITA Sandflöhe;Dürerstraße;57;;;50226;Frechen;;J
21;Grundschule Grefrath;Beethovenstraße;1;;;50226;Frechen;;J
23;Altenzentrum St. Augustinus;Augustinusstraße;10;;;50226;Frechen;;J
18;CJD Christopherusschule ehem. Ev. Gemeindezentrum;An der Fließ;8;;;50226;Frechen;;J
9;Ringschule;Freiheitsring;3;;;50226;Frechen;;J
10;Realschule Frechen;Eingang Freiheitsring;;;;50226;Frechen;;J
14;Rathaus Frechen - Bücherei;Johann-Schmitz-Platz 1-3;;;;50226;Frechen;;J
8002;Briefwahlbezirk II;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
8003;Briefwahlbezirk III;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
8004;Briefwahlbezirk IV;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
8005;Briefwahlbezirk V;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
8006;Briefwahlbezirk VI;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
20;Haus Burggraben Bachem;Hubert-Prott-Str.;;;;50226;Frechen;;J
8;Heinrich-Böll-Schule;An der Mergelskaul;22;;;50226;Frechen;;J
8007;Briefwahlbezirk VII;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
8008;Briefwahlbezirk VIII;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
4;KITA St. Katharina;Steinzeugstraße;2;;;50226;Frechen;;J
8001;Briefwahlbezirk I;Johann-Schmitz-Platz;1-3;;;50226;Frechen;;J
12;KITA Severinchen;Gisbertstr.;4;;;50226;Frechen;;J
