zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57258;Achenbachweg;3;3;;;Oberholzklau;003.2;;;148
57258;Ad.-Diesterw.-Str.;3;15;2;24;Niederndorf;008.1;;;148
57258;Alte Heide;1;9;2;30;Freudenberg;010.2;;;148
57258;Alte Kölner Straße;1;5;2;4;Büschergrund;016.1;;;148
57258;Alte Poststraße;;;2;4;Freudenberg;014.1;;;148
57258;Alte Poststraße;5;59;26;66;Büschergrund;016.1;;;148
57258;Alte Straße;3;35;8;40;Oberholzklau;003.2;;;148
57258;Alter Garten;3;5;6;10;Dirlenbach;009.2;;;148
57258;Alter Heisbergweg;;;12;14;Heisberg;006.2;;;148
57258;Alter Schanzenweg;1;17;18;18;Hohenhain;010.3;;;148
57258;Am Alcher Berg;3;7;2;24;Alchen;001.1;;;148
57258;Am Asdorfer Weiher;3;23;;;Freudenberg;011.1;;;148
57258;Am Aspenwald;3;19;6;20;Freudenberg;013.1;;;148
57258;Am Bach;1;13;4;8;Oberfischbach;006.1;;;148
57258;Am Berggarten;5;25;4;24;Plittershagen;010.1;;;148
57258;Am Bockseifer Wald;1;21;4;18;Büschergrund;017.1;;;148
57258;Am Bottenberger Wald;15;23;2;16;Bottenberg;005.1;;;148
57258;Am Büscher Berg;1;1;2;2;Büschergrund;017.1;;;148
57258;Am Eicher Hang;3;43;10;54;Büschergrund;015.1;;;148
57258;Am Elger;1;17;2;12;Niederndorf;009.1;;;148
57258;Am Gambachsweiher;1;43;2;44;Freudenberg;014.1;;;148
57258;Am Hainchen;3;13;2;14;Mausbach;010.2;;;148
57258;Am Hammerrain;1;7;2;2;Niederndorf;009.1;;;148
57258;Am Hang;5;13;10;18;Büschergrund;015.1;;;148
57258;Am Hang;;;2;8;Freudenberg;014.1;;;148
57258;Am Hausplatz;3;15;16;16;Freudenberg;011.1;;;148
57258;Am Herlinger Wald;1;23;2;20;Freudenberg;011.1;;;148
57258;Am Heusling;1;3;;;Oberfischbach;006.1;;;148
57258;Am Hofacker;3;29;2;26;Plittershagen;010.1;;;148
57258;Am Hohenhainsgarten;7;7;4;4;Freudenberg;013.1;;;148
57258;Am Höhwald;35;53;;;Lindenberg;004.1;;;148
57258;Am Höppel;1;7;2;8;Niederndorf;008.1;;;148
57258;Am Hüls;3;7;6;6;Dirlenbach;009.2;;;148
57258;Am Kaltland;3;5;;;Oberfischbach;007.1;;;148
57258;Am Katzenberg;3;3;2;4;Oberfischbach;007.1;;;148
57258;Am Kirberg;1;5;2;8;Niederndorf;009.1;;;148
57258;Am Kochsfeld;1;13;6;14;Freudenberg;011.1;;;148
57258;Am Landenberg;5;11;2;12;Niederheuslingen;006.3;;;148
57258;Am Lederbach;7;37;6;38;Lindenberg;004.1;;;148
57258;Am Ludwigshof;;;2;4;Niederndorf;009.1;;;148
57258;Am Löh;1;39;6;38;Oberholzklau;003.2;;;148
57258;Am Marktplatz;3;13;4;4;Freudenberg;014.1;;;148
57258;Am Mühlenberg;5;17;4;22;Büschergrund;016.1;;;148
57258;Am Nöchel;1;9;2;8;Alchen;002.1;;;148
57258;Am Ortsberg;1;27;6;30;Niederndorf;008.1;;;148
57258;Am Plittersh. Berg;19;19;4;34;Freudenberg;011.1;;;148
57258;Am Rain;5;23;8;18;Büschergrund;017.1;;;148
57258;Am Rimberg;3;27;4;16;Oberheuslingen;005.2;;;148
57258;Am Roten Hain;23;23;;;Oberholzklau;003.2;;;148
57258;Am Schieferacker;1;27;4;28;Freudenberg;014.1;;;148
57258;Am Schlagsberg;3;27;4;30;Freudenberg;013.1;;;148
57258;Am Schlüchter;1;11;2;6;Mausbach;010.2;;;148
57258;Am Schulwald;1;7;2;2;Alchen;002.1;;;148
57258;Am Silberhang;1;11;2;4;Oberfischbach;007.1;;;148
57258;Am Silberstern;5;27;4;24;Freudenberg;011.1;;;148
57258;Am Sturzfeld;7;7;2;12;Freudenberg;013.1;;;148
57258;Am Stättchen;1;9;2;10;Büschergrund;016.1;;;148
57258;Am Süsselberg;1;7;2;4;Niederndorf;009.1;;;148
