vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
001.1;Grundschule Alchen;Bühler Straße;11;;;57258;Freudenberg;;J
002.1;Grundschule Alchen;Bühler Straße;11;;;57258;Freudenberg;;J
003.3;Dorfgemeinschaftshaus Niederholzklau;Niederholzklauer Straße;198;;;57258;Freudenberg;;N
005.1;Vereinshaus Bottenberg;Bottenberger Straße;20A;;;57258;Freudenberg;;N
006.1;Turnhalle Oberfischbach;Walpertalstraße;4;;;57258;Freudenberg;;N
007.1;Turnhalle Oberfischbach;Walpertalstraße;4;;;57258;Freudenberg;;N
006.2;Vereinshaus Heisberg;Vorm Wiesentor;15;;;57258;Freudenberg;;J
005.2;Sängerhalle Oberheuslingen;Im Grund;7;;;57258;Freudenberg;;J
006.3;Sängerhalle Oberheuslingen;Im Grund;7;;;57258;Freudenberg;;J
008.1;Ev. Gemeindehaus Niederndorf;Im Hähnchen;4;;;57258;Freudenberg;;N
009.1;Ev. Gemeindehaus Niederndorf;Im Hähnchen;4;;;57258;Freudenberg;;N
009.2;Dorfgemeinschaftshaus Dirlenbach;Stockfeldstraße;7;;;57258;Freudenberg;;N
010.1;Dorfgemeinschaftshaus Plittershagen;An der Hallstatt;5A;;;57258;Freudenberg;;N
010.3;Bürgerhaus Hohenhain;Zum Bohnengarten;7;;;57258;Freudenberg;;J
014.1;Rathaus Raum  101;Mórer Platz;1;;;57258;Freudenberg;;J
015.1;Hauptschule Freudenberg;Hermann-Vomhof-Straße;5;;;57258;Freudenberg;;J
016.1;Hauptschule Freudenberg;Hermann-Vomhof-Straße;5;;;57258;Freudenberg;;J
004.1;Bürgerhaus Lindenberg;Backesweg;10;;;57258;Freudenberg;;J
010.2;Feuerwehrgerätehaus Mausbach;Kirschenbachweg;10;;;57258;Freudenberg;;J
003.2;Dorfgemeinschaftshaus Oberholzklau;Am Löh;12;;;57258;Freudenberg;;N
017.1;Pestalozzi-/Osterberg-Schule;Büscher Straße;6;;;57258;Freudenberg;;J
003.1;Schutzhütte Bühl;Am Sportplatz;;;;57258;Freudenberg;;J
011.1;Grundschule Am Alten Flecken;Schulstraße;7;;;57258;Freudenberg;;J
012.1;Grundschule Am Alten Flecken;Schulstraße;7;;;57258;Freudenberg;;J
013.1;Grundschule Am Alten Flecken;Schulstraße;7;;;57258;Freudenberg;;J
