zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52396;Aachener Weg;15;15;;;Hasenfeld;02.0;;;90
52396;Abtei Mariawald;;;0;0;Heimbach;04.0;;;90
52396;Ahornweg;3;9;2;8;Hasenfeld;02.0;;;90
52396;Akazienweg;3;9;2;4;Hasenfeld;02.0;;;90
52396;Alte Burgstraße;3;3;2;16;Vlatten;06.0;;;90
52396;Am Altenberg;1;7;6;10;Heimbach;04.0;;;90
52396;Am Bergob;3;7;2;12;Hasenfeld;02.0;;;90
52396;Am Burgpark;1;11;2;22;Vlatten;06.0;;;90
52396;Am Eichelberg;3;71;2;72;Heimbach;04.0;;;90
52396;Am Giebel;1;15;2;6;Heimbach;04.0;;;90
52396;Am Meuchelberg;19;19;6;18;Hasenfeld;02.0;;;90
52396;Am Müllenberg;;;4;24;Hausen;03.0;;;90
52396;Am Rechtob;3;23;8;24;Hasenfeld;02.0;;;90
52396;Am Schmalscheidt;;;4;4;Heimbach;04.0;;;90
52396;Am Sonnenhang;1;21;2;28;Hasenfeld;02.0;;;90
52396;An der Laag;;;4;4;Heimbach;04.0;;;90
52396;Auf Mühlenfeld;1;19;2;12;Heimbach;04.0;;;90
52396;Auf Waatscheidt;1;3;2;20;Heimbach;04.0;;;90
52396;Auf Wissen Woog;1;1;8;56;Heimbach;04.0;;;90
52396;Auf dem Broich;5;9;4;10;Hasenfeld;02.0;;;90
52396;Auf dem Stein;;;0;0;Vlatten;06.0;;;90
52396;Auf der Heide;11;11;2;10;Hergarten;05.0;;;90
52396;Auf der Hostert;;;2;16;Vlatten;06.0;;;90
52396;Auf der Kante;3;17;2;40;Vlatten;06.0;;;90
52396;Bachstraße;1;53;2;2;Vlatten;06.0;;;90
52396;Bergstraße;1;9;4;12;Heimbach;04.0;;;90
52396;Birkenweg;3;3;2;8;Hasenfeld;02.0;;;90
52396;Blenser Platz;1;3;2;4;Blens;01.0;;;90
52396;Brementhaler Straße;1;43;8;44;Hasenfeld;02.0;;;90
52396;Bruchstraße;1;1;;;Hergarten;05.0;;;90
52396;Buchenweg;5;13;2;14;Hasenfeld;02.0;;;90
52396;Burgweg;1;23;8;8;Vlatten;06.0;;;90
52396;Buschfelder Hof;;;0;0;Blens;01.0;;;90
52396;Dr.-Heinen-Straße;5;15;6;20;Hasenfeld;02.0;;;90
52396;Düttlinger Straße;3;23;2;26;Düttling;05.0;;;90
52396;Eichenweg;9;9;2;8;Hasenfeld;02.0;;;90
52396;Fischbachtal;;;12;14;Heimbach;04.0;;;90
52396;Gartenstraße;3;19;8;16;Blens;01.0;;;90
52396;Greenstraße;3;19;2;22;Blens;01.0;;;90
52396;Gut Habersauel;1;5;;;Heimbach;04.0;;;90
52396;Gut Weimert;;;0;0;Heimbach;04.0;;;90
52396;Hasenfelder Straße;11;37;2;26;Heimbach;04.0;;;90
52396;Hausener Straße;1;101;0;84;Hausen;03.0;;;90
52396;Hengebachstraße;3;149;4;108;Heimbach;04.0;;;90
52396;Herbstbachtal;7;11;4;4;Heimbach;04.0;;;90
52396;Heresbenden;1;7;4;26;Hergarten;05.0;;;90
52396;Hergartener Straße;5;11;2;12;Hergarten;05.0;;;90
52396;Im Bruch;1;11;2;36;Vlatten;06.0;;;90
52396;Im Heimbachtal;1;55;2;90;Heimbach;04.0;;;90
52396;Im Kälchen;1;1;;;Vlatten;06.0;;;90
52396;Im Lützpütz;;;0;0;Vlatten;06.0;;;90
52396;Im Sangert;3;23;;;Hasenfeld;02.0;;;90
52396;In Feldersgarden;1;29;2;22;Vlatten;06.0;;;90
52396;In den Wingerten;1;17;6;22;Hasenfeld;02.0;;;90
52396;In der Baade;1;1;;;Hausen;03.0;;;90
52396;In der Bühl;3;17;4;18;Hasenfeld;02.0;;;90
52396;In der Goldkuhl;3;27;6;34;Hasenfeld;02.0;;;90
52396;In der Hilbach;1;51;2;70;Heimbach;04.0;;;90
52396;In der Pratel;;;0;0;Vlatten;06.0;;;90
52396;Kapellenstraße;1;9;2;10;Hergarten;05.0;;;90
52396;Karl-H.-Krischer-Platz;1;1;;;Heimbach;04.0;;;90
52396;Kastanienweg;1;5;4;14;Hasenfeld;02.0;;;90
52396;Keltenweg;1;15;2;22;Vlatten;06.0;;;90
52396;Kermeterstraße;5;109;2;112;Hergarten;05.0;;;90
52396;Kiefernweg;;;2;4;Hasenfeld;02.0;;;90
52396;Kirchenbenden;1;11;2;26;Hasenfeld;02.0;;;90
52396;Kleestraße;1;71;2;60;Hasenfeld;02.0;;;90
52396;Klosterweg;1;15;2;10;Vlatten;06.0;;;90
52396;Kollepötz;1;13;4;16;Vlatten;06.0;;;90
52396;Kornblumenweg;1;25;2;40;Hasenfeld;02.0;;;90
52396;Kupfergasse;1;15;6;12;Vlatten;06.0;;;90
52396;Langerscheidt;5;31;;;Heimbach;04.0;;;90
52396;Lindenweg;5;21;2;12;Hasenfeld;02.0;;;90
52396;Mariawalder Straße;7;7;2;2;Heimbach;04.0;;;90
52396;Martinusstraße;;;4;6;Hergarten;05.0;;;90
52396;Merodestraße;1;25;2;24;Vlatten;06.0;;;90
52396;Meuchelberg;;;4;4;Heimbach;04.0;;;90
52396;Mönicher Heck;1;19;2;16;Vlatten;06.0;;;90
52396;Mühlengasse;3;19;6;10;Vlatten;06.0;;;90
52396;Neuenhof;1;1;;;Blens;01.0;;;90
52396;Nideggener Weg;1;13;;;Vlatten;06.0;;;90
52396;Obere Bergstraße;1;23;;;Heimbach;04.0;;;90
52396;Odenbachstraße;7;51;2;40;Blens;01.0;;;90
52396;Pützfeldstraße;5;25;2;42;Blens;01.0;;;90
52396;Quellenstraße;1;17;2;14;Vlatten;06.0;;;90
52396;Raiffeisenplatz;;;2;2;Hausen;03.0;;;90
52396;Ringweg;3;11;4;12;Vlatten;06.0;;;90
52396;Rurstraße;1;21;;;Blens;01.0;;;90
52396;Römerstraße;1;1;2;12;Düttling;05.0;;;90
52396;Schulstraße;1;47;2;28;Hergarten;05.0;;;90
52396;Schwammenauel;7;7;2;2;Hasenfeld;02.0;;;90
52396;SchwammenauelRurtalsperre;;;0;0;Hasenfeld;02.0;;;90
52396;Schwammenaueler Straße;3;95;2;84;Hasenfeld;02.0;;;90
52396;Schäfersgarten;;;2;2;Hergarten;05.0;;;90
52396;Schönblick;3;19;8;10;Heimbach;04.0;;;90
52396;Seerandweg;13;17;;;Heimbach;04.0;;;90
52396;St.-Georg-Straße;3;101;2;18;Blens;01.0;;;90
52396;St.-Michael-Straße;7;37;10;48;Vlatten;06.0;;;90
52396;St.-Nikolaus-Straße;3;27;2;36;Hausen;03.0;;;90
52396;Steinbachtal;;;2;4;Heimbach;04.0;;;90
52396;Steinmühlen;1;23;2;18;Hasenfeld;02.0;;;90
52396;Steinweg;3;41;2;24;Hasenfeld;02.0;;;90
52396;Tannenweg;3;5;2;10;Hasenfeld;02.0;;;90
52396;Teichstraße;5;23;2;24;Heimbach;04.0;;;90
52396;Trierer Straße;1;29;2;6;Düttling;05.0;;;90
52396;Triftstraße;1;21;2;18;Vlatten;06.0;;;90
52396;Waldweg;1;41;2;24;Hergarten;05.0;;;90
52396;Weberstraße;3;45;2;30;Vlatten;06.0;;;90
52396;Weide;1;5;2;2;Heimbach;04.0;;;90
52396;Wittscheidt;1;1;;;Heimbach;04.0;;;90
52396;Zum Bleiberg;9;9;2;8;Hergarten;05.0;;;90
52396;Zum Hohen Schirm;;;2;34;Hergarten;05.0;;;90
52396;Zum Homersch;3;3;2;8;Hausen;03.0;;;90
52396;Zum Rodenbusch;3;17;4;28;Hausen;03.0;;;90
52396;Zum Wachberg;1;13;4;14;Hergarten;05.0;;;90
52396;Über Rur;;;0;0;Heimbach;04.0;;;90
