zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53940;Aachener Straße;7;27;2;24;Hellenthal;02;;;92
53940;Ackergasse;3;5;4;6;Hellenthal;01;;;92
53940;Alte Kirchstraße;3;55;4;20;Hellenthal;01;;;92
53940;Alte Kuhstraße;13;15;2;22;Hellenthal;01;;;92
53940;Alte Schulstraße;3;15;2;18;Hellenthal;03;;;92
53940;Altenbergstraße;1;53;8;68;Hellenthal;05;;;92
53940;Am Altenberg;5;31;24;44;Hellenthal;06;;;92
53940;Am Bilderstock;1;13;2;16;Hellenthal;03;;;92
53940;Am Goldenbach;1;9;2;10;Hellenthal;10;;;92
53940;Am Hahnenberg;1;9;2;8;Hellenthal;03;;;92
53940;Am Hasselsiefen;3;23;8;36;Hellenthal;01;;;92
53940;Am Heinengarten;1;3;2;2;Hellenthal;01;;;92
53940;Am Kirchenberg;5;5;2;4;Hellenthal;03;;;92
53940;Am Mühlenhang;1;5;2;6;Hellenthal;09;;;92
53940;Am Pastorsgarten;1;13;2;14;Hellenthal;01;;;92
53940;Am Pfarrheim;3;5;2;2;Hellenthal;08;;;92
53940;Am Weißer Stein;5;27;2;26;Hellenthal;09;;;92
53940;Am Zengselsberg;1;5;2;4;Hellenthal;03;;;92
53940;An der Gerberei;1;7;2;4;Hellenthal;01;;;92
53940;An der Ley;1;3;2;4;Hellenthal;04;;;92
53940;An der Lichtenhardt;3;21;2;28;Hellenthal;01;;;92
53940;Auf dem Acker;5;25;2;26;Hellenthal;04;;;92
53940;Auf dem Büchel;3;43;6;38;Hellenthal;03;;;92
53940;Auf dem Vender;3;3;;;Hellenthal;10;;;92
53940;Auf dem Zollhof;5;19;8;18;Hellenthal;09;;;92
53940;Auf der Hardt;9;13;2;12;Hellenthal;08;;;92
53940;Auf der Schanz;1;47;2;54;Hellenthal;02;;;92
53940;Auf'm Klompertshof;1;3;;;Hellenthal;09;;;92
53940;Aufbereitung I;1;1;;;Hellenthal;06;;;92
53940;Aussiedlerhof Heimbüchel;;;0;0;Hellenthal;08;;;92
53940;Aussiedlerhof Hoffmann;;;0;0;Hellenthal;10;;;92
53940;Bahnhofstraße;1;11;2;8;Hellenthal;03;;;92
53940;Bauesfeld;1;19;2;26;Hellenthal;01;;;92
53940;Beim Professor;3;3;;;Hellenthal;06;;;92
53940;Bendgen;1;1;;;Hellenthal;06;;;92
53940;Bergstraße;1;3;;;Hellenthal;09;;;92
53940;Blumenthaler Straße;7;9;2;8;Hellenthal;04;;;92
53940;Brachfeld;3;25;2;32;Hellenthal;01;;;92
53940;Bruch;1;5;4;4;Hellenthal;03;;;92
53940;Brunnenweg;;;6;6;Hellenthal;06;;;92
