vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
03;Kindergarten Blumenthal;Auf dem Büchel;31;;;53940;Hellenthal;;J
01;Gemeindeverwaltung Hellenthal;Rathausstraße;2;;;53940;Hellenthal;;J
02;Gemeindeverwaltung Hellenthal;Rathausstraße;2;;;53940;Hellenthal;;J
05;ehem. Schule Kreuzberg, FWGH;Kreuzberg;12;;;53940;Hellenthal;;N
10;Feuerwehrgerätehaus Losheim;Auf dem Vender;2;;;53940;Hellenthal;;J
04;Sportjugendheim Reifferscheid;Kupferhardtweg;5;;;53940;Hellenthal;;N
09;ehem. Grundschule Udenbreth;Udenbreth;81;;;53940;Hellenthal;;N
06;Bürger- u. Vereinshaus Wolfert;Wolferter Weg;53;;;53940;Hellenthal;;N
08;DJK Vereinshaus Hollerath;Schulstraße;20;;;53940;Hellenthal;;N
07;Bauhof der Gemeinde Hellenthal;Rescheid;25 - 27;;;53940;Hellenthal;;J
