zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57271;Ahornweg;3;13;2;12;Lützel;19.1;;;148
57271;Albert-Menn-Weg;1;17;4;18;Hilchenbach;14.1;;;148
57271;Almenweg;1;31;22;28;Müsen;01.1;;;148
57271;Alte Landstraße;1;61;4;78;Allenbach;10.1;;;148
57271;Am Backes;1;7;2;18;Hilchenbach;13.1;;;148
57271;Am Bocherich;1;15;16;16;Müsen;03.1;;;148
57271;Am Bühl;1;29;2;30;Allenbach;09.1;;;148
57271;Am Bühlberg;1;35;2;18;Vormwald;16.2;;;148
57271;Am Egelsbruch;1;23;2;32;Müsen;01.1;;;148
57271;Am Elme;1;3;2;2;Ruckersfeld;19.2;;;148
57271;Am Galgenberg;3;7;2;12;Hilchenbach;15.1;;;148
57271;Am Herrnberg;1;5;;;Hilchenbach;16.1;;;148
57271;Am Hofacker;3;9;4;12;Oechelhausen;19.2;;;148
57271;Am Höchsten;1;11;10;12;Dahlbruch;07.1;;;148
57271;Am Kampen;1;31;2;12;Dahlbruch;06.1;;;148
57271;Am Langenstück;3;17;2;22;Allenbach;09.1;;;148
57271;Am Lohberg;1;13;2;14;Müsen;02.1;;;148
57271;Am Loher Wald;1;15;2;14;Dahlbruch;04.1;;;148
57271;Am Lützelbach;1;23;2;8;Lützel;19.1;;;148
57271;Am Mückenberg;1;9;2;4;Allenbach;09.1;;;148
57271;Am Neuen Schacht;41;63;40;56;Müsen;01.1;;;148
57271;Am Oberrain;1;11;2;8;Ruckersfeld;19.2;;;148
57271;Am Pfaffenhain;;;2;10;Lützel;19.1;;;148
57271;Am Preist;3;9;2;12;Hilchenbach;13.1;;;148
57271;Am Preisterbach;11;13;14;14;Hilchenbach;13.1;;;148
57271;Am Rauhen Berg;1;29;2;28;Helberhausen;18.2;;;148
57271;Am Rosenhof;1;3;;;Allenbach;10.1;;;148
57271;Am Rösberg;1;7;2;12;Müsen;01.1;;;148
57271;Am Schüttelberg;5;43;2;16;Hilchenbach;15.1;;;148
57271;Am Sonnenhang;1;25;2;22;Dahlbruch;06.1;;;148
57271;Am Steimel;1;23;2;24;Vormwald;15.1;;;148
57271;Am Steinbruch;1;5;2;8;Hilchenbach;15.1;;;148
57271;Am Wieserweg;;;2;4;Hilchenbach;15.1;;;148
57271;Am Witschenberg;1;9;2;14;Dahlbruch;04.1;;;148
57271;Am Wäschebach;1;31;6;10;Müsen;01.1;;;148
57271;Am Zollposten;1;3;;;Grund;17.1;;;148
57271;Am alten Stahlbergschacht;;;2;14;Müsen;01.1;;;148
57271;Amselweg;1;3;2;4;Allenbach;11.1;;;148
57271;An den Weißen Steinen;1;3;;;Lützel;19.1;;;148
57271;An der Erzwäsche;1;7;2;10;Müsen;01.1;;;148
57271;An der Ferndorf;1;13;2;26;Allenbach;10.1;;;148
57271;An der Höh;1;9;2;4;Müsen;03.1;;;148
57271;An der Lohmühle;3;13;;;Hilchenbach;16.1;;;148
57271;An der Sang;15;77;4;72;Hilchenbach;12.1;;;148
57271;An der Steinkuhl;1;7;2;10;Müsen;01.1;;;148
57271;An der Stern;1;3;2;6;Lützel;19.1;;;148
57271;An der Wilhelmsburg;1;11;2;10;Hilchenbach;15.1;;;148
57271;Arendseer Straße;5;17;2;20;Hadem;18.1;;;148
57271;Auf dem Einstuhl;1;33;2;38;Hilchenbach;11.1;;;148
57271;Auf dem Falschet;1;1;2;26;Hadem;18.1;;;148
57271;Auf dem Stulk;3;7;6;6;Hadem;18.1;;;148
57271;Auf der Burg;1;31;2;32;Grund;17.1;;;148
57271;Auf der Heide;1;3;2;6;Müsen;04.1;;;148
57271;Auf der Hütte;3;45;10;18;Dahlbruch;03.1;;;148
57271;Auf der Platte;1;11;2;16;Müsen;01.1;;;148
57271;Auf der Stollenhalde;1;17;2;14;Müsen;02.1;;;148
57271;Bahnhofstraße;1;15;4;20;Dahlbruch;05.1;;;148
57271;Baume Ecke;1;7;2;6;Müsen;02.1;;;148
57271;Beethovenstraße;1;23;2;16;Dahlbruch;07.1;;;148
57271;Berglichterweg;1;15;2;16;Müsen;01.1;;;148
57271;Bergstraße;1;35;2;60;Dahlbruch;04.1;;;148
57271;Berliner Straße;3;29;4;44;Hilchenbach;14.1;;;148
57271;Bernhard-Weiß-Platz;;;2;2;Dahlbruch;06.1;;;148
57271;Birkenweg;3;9;2;12;Dahlbruch;04.1;;;148
57271;Brachthäuser Straße;1;9;2;18;Hilchenbach;14.1;;;148
57271;Breitenbacher Straße;5;5;2;4;Allenbach;09.1;;;148
57271;Breslauer Weg;1;1;2;12;Hilchenbach;14.1;;;148
57271;Bruchstraße;3;51;2;54;Hilchenbach;11.1;;;148
57271;Brunnenstraße;1;23;6;22;Allenbach;10.1;;;148
57271;Brücherwiese;1;5;;;Allenbach;10.1;;;148
57271;Brückenstraße;1;5;4;6;Helberhausen;18.2;;;148
57271;Buchenhain;1;9;2;38;Allenbach;09.1;;;148
57271;Buchenweg;7;21;2;20;Lützel;19.1;;;148
57271;Carl-Kraemer-Weg;5;17;;;Hilchenbach;13.1;;;148
57271;Carl-Kraus-Straße;1;9;4;4;Dahlbruch;04.1;;;148
57271;Dammstraße;1;17;2;14;Hilchenbach;16.1;;;148
