vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
02.1;Stahlberg-Grundschule;Kindelsbergstraße;8;;;57271;Hilchenbach;;J
02.1;Stahlberg-Grundschule;Kindelsbergstraße;8;;;57271;Hilchenbach;;J
03.1;Stahlberg-Grundschule;Kindelsbergstraße;8;;;57271;Hilchenbach;;J
08.1;Augustinusheim;Talsperrenstraße;1 A;;;57271;Hilchenbach;;N
15.1;Stadtsparkasse Hilchenbach;Markt;10-12;;;57271;Hilchenbach;;N
16.2;Dorfgemeinschaftshaus;Vormwalder Straße;45;;;57271;Hilchenbach;;N
17.2;Dorfgemeinschaftshaus;Vormwalder Straße;45;;;57271;Hilchenbach;;N
18.1;Firma Rockenfeller Büroraum;Ferndorfstraße;80;;;57271;Hilchenbach;;J
19.1;Dorfgemeinschaftshaus;Kronprinzenstraße;12;;;57271;Hilchenbach;;J
19.2;Jugendfreizeitheim;Dreisbachstraße;57;;;57271;Hilchenbach;;N
09.1;b school Allenbach;Stift-Keppel-Weg;16;;;57271;Hilchenbach;;J
10.1;b school Allenbach;Stift-Keppel-Weg;16;;;57271;Hilchenbach;;J
04.1;Feuerwehrgerätehaus Dahlbruch;Wittgensteiner Straße;175;;;57271;Hilchenbach;;N
16.1;Feuerwehrgerätehaus Hilchenbach;In der Herrenwiese;12;;;57271;Hilchenbach;;N
18.2;Alte Schule Helberhausen z.H. Frau Roth;Ferndorfstraße;172;;;57271;Hilchenbach;;J
13.1;Alloheim Seniorenresidenz;Kürschnerweg;1;;;57271;Hilchenbach;;J
11.1;Gemeindezentrum St. Vitus;In der Herrenwiese;3;;;57271;Hilchenbach;;N
12.1;DRK Sozialzentrum;Ruinener Weg;2;;;57271;Hilchenbach;;J
14.1;Richard-Martin-Haus Tagungs- und Gästehaus;Siedlung;94;;;57271;Hilchenbach;;N
17.1;Dorfgemeinschaftshaus;Jung-Stilling-Straße;11;;;57271;Hilchenbach;;J
05.1;Jugendzentrum Dahlbruch;Bernhard-Weiß-Platz;6;;;57271;Hilchenbach;;N
06.1;Hallenbad Dahlbruch;Bernhard-Weiß-Platz;6;;;57271;Hilchenbach;;N
07.1;Hallenbad Dahlbruch;Bernhard-Weiß-Platz;6;;;57271;Hilchenbach;;N
