zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52393;Aachener Weg;1;3;2;6;Hürtgenwald;02.0;;;90
52393;Am Dehlbach;1;17;2;18;Hürtgenwald;03.0;;;90
52393;Am Dorfplatz;1;1;4;18;Hürtgenwald;02.0;;;90
52393;Am Peterberg;1;3;2;6;Hürtgenwald;10.0;;;90
52393;Am Schafberg;5;23;6;10;Hürtgenwald;08.0;;;90
52393;Am Spitzberg;3;7;2;10;Hürtgenwald;07.0;;;90
52393;Am Sportplatz;1;11;2;2;Hürtgenwald;03.0;;;90
52393;Am Wehweg;1;25;4;22;Hürtgenwald;09.0;;;90
52393;Amselweg;1;9;4;4;Hürtgenwald;06.0;;;90
52393;An den vier Morgen;1;13;4;10;Hürtgenwald;02.0;;;90
52393;An der Binnesburg;;;10;16;Hürtgenwald;08.0;;;90
52393;An der Maar;1;15;2;14;Hürtgenwald;01.0;;;90
52393;An der Mühle;3;23;;;Hürtgenwald;03.0;;;90
52393;An der Nüllheck;1;31;2;24;Hürtgenwald;05.0;;;90
52393;An der Wurzel;1;29;2;22;Hürtgenwald;09.0;;;90
52393;Antoniusstraße;1;23;4;26;Hürtgenwald;03.0;;;90
52393;Auf dem Engel;;;4;10;Hürtgenwald;08.0;;;90
52393;Auf dem Hau;1;23;2;14;Hürtgenwald;05.0;;;90
52393;Auf dem Heiligenfeld;1;31;4;28;Hürtgenwald;01.0;;;90
52393;Auf dem Knipp;;;2;6;Hürtgenwald;09.0;;;90
52393;Auf dem Strifft;1;19;4;24;Hürtgenwald;01.0;;;90
52393;Auf dem Stückchen;3;35;4;28;Hürtgenwald;01.0;;;90
52393;Auf dem Turm;3;5;4;4;Hürtgenwald;01.0;;;90
52393;Auf der Faldersgaß;;;2;2;Hürtgenwald;01.0;;;90
52393;Auf der Harth;1;49;4;54;Hürtgenwald;10.0;;;90
52393;Auf der Weide;1;3;2;6;Hürtgenwald;05.0;;;90
52393;August-Scholl-Straße;1;11;;;Hürtgenwald;07.0;;;90
52393;Bachstraße;3;33;14;14;Hürtgenwald;04.0;;;90
52393;Baptist-Palm-Platz;1;7;2;10;Hürtgenwald;09.0;;;90
52393;Benneganshof;3;3;4;4;Hürtgenwald;01.0;;;90
52393;Bergkamp;1;7;2;12;Hürtgenwald;04.0;;;90
52393;Bergsteiner Straße;5;27;4;42;Hürtgenwald;01.0;;;90
52393;Bergstraße;1;19;2;20;Hürtgenwald;04.0;;;90
52393;Besenbinderweg;1;1;2;4;Hürtgenwald;07.0;;;90
52393;Brandenberger Straße;1;109;2;74;Hürtgenwald;02.0;;;90
52393;Brandenberger Weg;1;13;4;10;Hürtgenwald;06.0;;;90
52393;Brandenburger Tor;1;5;2;2;Hürtgenwald;06.0;;;90
52393;Broichstraße;1;27;8;20;Hürtgenwald;03.0;;;90
52393;Bruchweiher;1;1;;;Hürtgenwald;03.0;;;90
52393;Buchenbuschweg;1;3;2;2;Hürtgenwald;10.0;;;90
52393;Burgbergstraße;3;15;2;2;Hürtgenwald;06.0;;;90
52393;Burgstraße;1;71;2;74;Hürtgenwald;01.0;;;90
52393;Buschfeld;5;15;4;22;Hürtgenwald;07.0;;;90
52393;Christian-Werner-Straße;3;9;2;16;Hürtgenwald;08.0;;;90
52393;Dechant-Weisweiler-Str.;1;41;4;38;Hürtgenwald;01.0;;;90
