zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50354;Abtstraße;1;27;2;32;Hürth;01.1;;;91
50354;Adelheidisstraße;7;11;6;18;Hürth;02.0;;;91
50354;Adolf-Dasbach-Weg;5;9;;;Hürth;07.0;;;91
50354;Afrastraße;1;23;2;32;Hürth;18.2;;;91
50354;Akazienweg;1;13;2;12;Hürth;05.0;;;91
50354;Alberichstraße;1;13;;;Hürth;13.0;;;91
50354;Albert-Schneider-Straße;;;2;74;Hürth;01.3;;;91
50354;Albert-Schweitzer-Straße;1;27;;;Hürth;17.1;;;91
50354;Albertus-Magnus-Weg;1;13;4;6;Hürth;11.0;;;91
50354;Aldenrather Straße;3;17;2;74;Hürth;05.0;;;91
50354;Alemannenstraße;1;13;;;Hürth;13.0;;;91
50354;Alfred-Delp-Straße;1;11;2;6;Hürth;15.0;;;91
50354;Alice-Neugebauer-Straße;;;2;24;Hürth;17.2;;;91
50354;Alleestraße;;;20;52;Hürth;07.0;;;91
50354;Alstädter Straße;1;27;6;32;Hürth;08.0;;;91
50354;Am Abtshof;1;15;2;16;Hürth;01.1;;;91
50354;Am Acker;1;39;2;42;Hürth;01.1;;;91
50354;Am Alten Bahnhof;1;5;2;24;Hürth;14.1;;;91
50354;Am Alten Klärwerk;1;3;4;12;Hürth;15.0;;;91
50354;Am Alten Markt;1;21;2;22;Hürth;22.0;;;91
50354;Am Bachemer Pfädchen;3;15;2;16;Hürth;04.0;;;91
50354;Am Benden;1;3;2;18;Hürth;02.0;;;91
50354;Am Bornbach;1;23;2;12;Hürth;02.0;;;91
50354;Am Bruch;3;7;2;10;Hürth;21.0;;;91
50354;Am Brunnen;3;13;2;10;Hürth;21.0;;;91
50354;Am Clementinenhof;1;11;2;14;Hürth;08.0;;;91
50354;Am Druvendriesch;3;31;2;38;Hürth;21.0;;;91
50354;Am Gleueler Bach;3;9;2;24;Hürth;01.2;;;91
50354;Am Groeneskamp;1;9;;;Hürth;04.0;;;91
50354;Am Grünen Weg;1;11;2;16;Hürth;07.0;;;91
50354;Am Grüngürtel;25;35;12;18;Hürth;18.2;;;91
50354;Am Hang;3;9;2;6;Hürth;21.0;;;91
50354;Am Heideberg;3;53;6;50;Hürth;20.1;;;91
50354;Am Heidehang;1;35;;;Hürth;07.0;;;91
50354;Am Hofacker;1;71;14;70;Hürth;03.0;;;91
50354;Am Holderbusch;1;11;2;12;Hürth;05.0;;;91
50354;Am Hummelsboor;1;3;;;Hürth;05.0;;;91
50354;Am Kempishof;1;27;2;28;Hürth;20.2;;;91
50354;Am Kirchberg;27;33;;;Hürth;22.0;;;91
50354;Am Kirchtürmchen;;;60;62;Hürth;14.2;;;91
50354;Am Klostergarten;3;31;2;20;Hürth;04.0;;;91
50354;Am Kutzhof;1;15;2;16;Hürth;21.0;;;91
50354;Am Lindenbusch;1;17;2;22;Hürth;05.0;;;91
50354;Am Lintacker;7;35;;;Hürth;12.0;;;91
50354;Am Neuen Friedhof;3;17;2;18;Hürth;21.0;;;91
50354;Am Römerkanal;;;2;24;Hürth;09.0;;;91
50354;Am Sandweg;1;49;4;34;Hürth;17.1;;;91
50354;Am Schildgen;1;5;6;16;Hürth;22.0;;;91
50354;Am Schneeberg;3;33;12;34;Hürth;21.0;;;91
50354;Am Schänzjeskriemer;1;31;2;16;Hürth;06.1;;;91
50354;Am Simonishof;1;27;2;26;Hürth;12.0;;;91
50354;Am Sonnenhang;1;43;2;20;Hürth;20.1;;;91
50354;Am Steeg;1;9;;;Hürth;01.1;;;91
50354;Am Steinfeld;1;33;2;66;Hürth;22.0;;;91
50354;Am Steinpütz;1;17;2;14;Hürth;21.0;;;91
50354;Am Waldschlößchen;1;9;2;8;Hürth;06.1;;;91
50354;Am Weißen Kreuz;1;15;2;12;Hürth;06.1;;;91
50354;Am Wolterskreuz;1;33;4;28;Hürth;20.1;;;91
50354;Am Zudendorfer Hof;3;17;4;32;Hürth;21.0;;;91
50354;Amselweg;;;2;6;Hürth;13.0;;;91
50354;An Maria Bronn;15;57;6;34;Hürth;06.2;;;91
50354;An St. Martin;;;4;28;Hürth;22.0;;;91
50354;An den Pescher Höfen;1;51;2;32;Hürth;10.0;;;91
50354;An den Zehn Morgen;1;11;2;6;Hürth;05.0;;;91
50354;An der Bauerbank;1;13;8;20;Hürth;22.0;;;91
50354;An der Fuhr;1;51;12;50;Hürth;22.0;;;91
50354;An der Herrenmühle;5;37;2;22;Hürth;12.0;;;91
50354;An der Kirschhecke;1;15;2;16;Hürth;03.0;;;91
50354;An der Kohlhaasmühle;3;19;4;14;Hürth;09.0;;;91
50354;An der Markthalle;1;53;2;26;Hürth;22.0;;;91
50354;An der Villenbahn;5;29;6;34;Hürth;08.0;;;91
50354;Annenstraße;3;51;4;62;Hürth;17.2;;;91
50354;Annoweg;1;9;;;Hürth;11.0;;;91
50354;Asternweg;1;5;2;6;Hürth;14.1;;;91
50354;Auf dem Bachacker;1;13;2;10;Hürth;15.0;;;91
50354;Auf dem Klee;1;11;2;4;Hürth;01.1;;;91
50354;Auf dem Kramberg;1;19;4;24;Hürth;05.0;;;91
50354;Auf dem Mühlenacker;3;13;2;42;Hürth;13.0;;;91
50354;Auf dem Schnorrenberg;1;7;2;12;Hürth;06.1;;;91
50354;Auf den Dreien;1;35;4;52;Hürth;02.0;;;91
50354;Auf der Aue;;;2;12;Hürth;20.2;;;91
50354;Auf der Höhe;3;25;4;50;Hürth;21.0;;;91
50354;Auf der Kumme;3;53;4;56;Hürth;09.0;;;91
50354;Auf der Landau;1;47;6;10;Hürth;21.0;;;91
50354;Auf der Weide;1;21;2;20;Hürth;02.0;;;91
50354;Augustinerstraße;1;23;6;18;Hürth;22.0;;;91
50354;Bachemer Straße;1;75;12;90;Hürth;04.0;;;91
50354;Bachstraße;1;153;2;146;Hürth;18.1;;;91
50354;Bachweg;;;2;10;Hürth;05.0;;;91
50354;Backesstraße;1;17;2;20;Hürth;21.0;;;91
50354;Bahnstraße;;;8;78;Hürth;16.1;;;91
50354;Balkhausener Straße;1;47;2;52;Hürth;06.1;;;91
50354;Balthasarstraße;1;29;8;30;Hürth;18.2;;;91
50354;Barbarastraße;1;63;2;60;Hürth;03.0;;;91
50354;Bauerweg;1;13;;;Hürth;01.1;;;91
50354;Beckergasse;1;19;2;20;Hürth;05.0;;;91
50354;Beethovenstraße;1;33;2;22;Hürth;17.2;;;91
50354;Behrensstraße;1;13;2;58;Hürth;06.1;;;91
50354;Bellerstraße;5;111;2;80;Hürth;18.2;;;91
50354;Bergiusweg;1;7;2;8;Hürth;02.0;;;91
50354;Bergmannstraße;1;167;10;202;Hürth;03.0;;;91
50354;Bergstraße;1;81;2;64;Hürth;07.0;;;91
50354;Berrenrather Kirchweg;3;13;2;12;Hürth;05.0;;;91
50354;Berrenrather Straße;321;431;402;466;Hürth;17.2;;;91
50354;Berrenrather Straße;435;527;470;572;Hürth;18.2;;;91
50354;Berrenrather Straße;153;225;92;228;Hürth;01.1;;;91
50354;Bertha-von-Suttner-Straße;;;2;32;Hürth;17.1;;;91
50354;Beselerstraße;3;109;2;108;Hürth;16.2;;;91
50354;Bettina-von-Arnim-Weg;3;3;4;12;Hürth;11.0;;;91
50354;Biberstraße;;;2;28;Hürth;09.0;;;91
50354;Birkenhusstraße;1;15;;;Hürth;16.1;;;91
50354;Birklinstraße;3;11;2;8;Hürth;20.1;;;91
50354;Bodelschwinghstraße;5;19;2;20;Hürth;18.1;;;91
50354;Bolligstraße;1;15;2;18;Hürth;20.1;;;91
50354;Bonnstraße;109;251;156;260;Hürth;12.0;;;91
50354;Bonnstraße;13;89;2;98;Hürth;11.0;;;91
50354;Bonnstraße;409;539;358;536;Hürth;22.0;;;91
50354;Bourtscheidstraße;1;31;2;20;Hürth;16.2;;;91
50354;Brabanter Platz;1;1;;;Hürth;09.0;;;91
50354;Brandlstraße;;;4;8;Hürth;09.0;;;91
50354;Brauweiler Weg;1;17;;;Hürth;11.0;;;91
50354;Breite Straße;1;63;2;78;Hürth;08.0;;;91
50354;Breite Straße;71;73;82;108;Hürth;07.0;;;91
50354;Breitenbendener Weg;1;19;2;12;Hürth;15.0;;;91
50354;Brentenstraße;1;33;6;26;Hürth;18.1;;;91
50354;Breslauer Weg;1;13;;;Hürth;11.0;;;91
50354;Brictiusweg;1;7;;;Hürth;01.1;;;91
50354;Briemweg;1;11;;;Hürth;10.0;;;91
50354;Bruchstraße;1;39;2;36;Hürth;06.1;;;91
50354;Brunhildstraße;1;17;2;6;Hürth;13.0;;;91
50354;Brunnenstraße;1;43;6;60;Hürth;02.0;;;91
50354;Brunoweg;1;7;;;Hürth;11.0;;;91
50354;Brüggener Straße;1;45;2;48;Hürth;06.1;;;91
50354;Brühler Straße;;;0;0;Hürth;22.0;;;91
50354;Brühler Weg;1;29;;;Hürth;11.0;;;91
50354;Buchenstraße;1;55;2;46;Hürth;05.0;;;91
50354;Bungartweg;;;2;8;Hürth;11.0;;;91
50354;Bunsenweg;;;2;10;Hürth;02.0;;;91
50354;Burbacher Straße;1;11;2;22;Hürth;08.0;;;91
50354;Burggartenstraße;1;17;4;12;Hürth;22.0;;;91
50354;Burgstraße;1;91;8;126;Hürth;04.0;;;91
50354;Burgunderweg;1;11;;;Hürth;13.0;;;91
50354;Burgweg;1;9;2;10;Hürth;17.1;;;91
50354;Buschstraße;1;21;4;22;Hürth;20.2;;;91
50354;Bussardweg;1;13;;;Hürth;13.0;;;91
50354;Bärengasse;1;9;2;8;Hürth;06.1;;;91
50354;Bödikerstraße;1;21;2;6;Hürth;14.1;;;91
50354;Carl-Schurz-Straße;15;15;2;20;Hürth;09.0;;;91
50354;Carl-von-Ossietzky-Straße;;;2;14;Hürth;17.1;;;91
50354;Carlo-Schmid-Weg;1;25;;;Hürth;10.0;;;91
50354;Coesenstraße;;;2;10;Hürth;16.2;;;91
50354;Cäcilienstraße;;;2;14;Hürth;06.2;;;91
50354;Dahlienweg;3;17;2;36;Hürth;14.1;;;91
50354;Daimlerstraße;17;27;14;22;Hürth;13.0;;;91
50354;Dankwartstraße;1;13;;;Hürth;13.0;;;91
50354;Danziger Weg;;;2;12;Hürth;11.0;;;91
50354;Dechant-Otter-Weg;1;11;;;Hürth;09.0;;;91
50354;Decksteiner Straße;1;169;26;106;Hürth;01.1;;;91
50354;Decksteiner Straße;237;239;;;Hürth;18.2;;;91
50354;Deutscher Ring;1;1;2;20;Hürth;11.0;;;91
50354;Deutschherrenstraße;;;2;6;Hürth;09.0;;;91
50354;Deutschordensweg;1;13;;;Hürth;11.0;;;91
50354;Diepenbroichstraße;1;15;2;28;Hürth;16.2;;;91
50354;Dieselstraße;;;8;18;Hürth;13.0;;;91
50354;Dietrich-Bonhoeffer-Str.;1;15;2;18;Hürth;15.0;;;91
50354;Dionysiusstraße;;;2;24;Hürth;05.0;;;91
50354;Donatusstraße;1;13;2;22;Hürth;16.1;;;91
50354;Dorfstraße;7;37;4;36;Hürth;01.2;;;91
50354;Dr.-Bethune-Straße;1;11;2;60;Hürth;12.0;;;91
50354;Dr.-Krauß-Straße;3;15;;;Hürth;07.0;;;91
50354;Dr.-Kürten-Straße;1;9;2;18;Hürth;09.0;;;91
50354;Draf-Weg;1;13;;;Hürth;16.1;;;91
50354;Drafenstraße;5;69;2;68;Hürth;21.0;;;91
50354;Dreikönigenstraße;1;9;2;4;Hürth;18.2;;;91
50354;Dreimühlenstraße;1;17;;;Hürth;15.0;;;91
50354;Drosselweg;1;11;;;Hürth;13.0;;;91
50354;Drosteweg;1;21;;;Hürth;11.0;;;91
50354;Duffesbachstraße;21;143;2;20;Hürth;09.0;;;91
50354;Dunantstraße;3;55;4;48;Hürth;09.0;;;91
50354;Eichendorffstraße;1;17;2;16;Hürth;03.0;;;91
50354;Eidechsenweg;5;7;2;12;Hürth;09.0;;;91
50354;Eifelstraße;1;19;2;18;Hürth;06.2;;;91
50354;Eintrachtstraße;1;19;2;24;Hürth;20.1;;;91
50354;Eiserfeyweg;1;11;;;Hürth;15.0;;;91
50354;Elbingstraße;1;7;2;8;Hürth;05.0;;;91
50354;Elisabeth-Selbert-Weg;1;15;2;12;Hürth;10.0;;;91
50354;Erderstraße;13;13;2;28;Hürth;06.1;;;91
50354;Erftstraße;1;37;2;20;Hürth;06.2;;;91
50354;Erich-Ollenhauer-Weg;1;15;2;12;Hürth;10.0;;;91
50354;Erlenweg;1;7;2;10;Hürth;05.0;;;91
50354;Ernst-Moritz-Arndt-Straße;1;1;2;6;Hürth;09.0;;;91
50354;Ernst-Reuter-Straße;3;81;2;62;Hürth;03.0;;;91
50354;Ernst-Reuter-Straße;85;171;66;162;Hürth;05.0;;;91
50354;Ernst-Schmidt-Straße;1;5;2;6;Hürth;06.1;;;91
50354;Ernst-Wilhelm-Nay-Straße;1;5;2;4;Hürth;19.2;;;91
50354;Esserstraße;5;39;10;44;Hürth;18.2;;;91
50354;Etzelweg;1;7;2;8;Hürth;13.0;;;91
50354;Falkenweg;;;2;24;Hürth;09.0;;;91
50354;Fasanenweg;1;11;;;Hürth;13.0;;;91
50354;Fichtenweg;1;7;2;6;Hürth;19.2;;;91
50354;Finkenschlag;;;2;4;Hürth;13.0;;;91
50354;Firmenichstraße;5;59;4;40;Hürth;07.0;;;91
50354;Fischenicher Höfe;1;17;2;34;Hürth;22.0;;;91
50354;Fischenicher Straße;1;65;2;78;Hürth;20.2;;;91
50354;Florianstraße;1;9;2;6;Hürth;05.0;;;91
50354;Fontaneweg;1;19;2;4;Hürth;16.1;;;91
50354;Frankenhof;1;11;2;38;Hürth;16.1;;;91
50354;Frankenstraße;3;43;2;34;Hürth;13.0;;;91
50354;Franziskusstraße;1;23;2;20;Hürth;13.0;;;91
50354;Frechener Weg;;;2;8;Hürth;11.0;;;91
50354;Freiherr-vom-Stein-Straße;1;1;2;10;Hürth;09.0;;;91
50354;Freiligrathstraße;1;5;;;Hürth;09.0;;;91
50354;Frentzenhofstraße;1;95;2;102;Hürth;20.1;;;91
50354;Fridtjof-Nansen-Weg;;;2;6;Hürth;17.1;;;91
50354;Friedenstraße;25;67;2;68;Hürth;05.0;;;91
50354;Friedrich-Ebert-Straße;;;2;14;Hürth;11.0;;;91
50354;Friedrich-Ebert-Straße;11;11;24;38;Hürth;12.0;;;91
50354;Friedrich-Großmann-Weg;1;7;2;10;Hürth;02.0;;;91
50354;Frielsweg;;;48;48;Hürth;18.2;;;91
50354;Frielsweg;125;127;;;Hürth;01.1;;;91
50354;Fritz-Räcke-Straße;3;33;6;10;Hürth;12.0;;;91
50354;Froebelstraße;1;5;2;6;Hürth;13.0;;;91
50354;Frongasse;1;7;2;6;Hürth;16.1;;;91
50354;Fronhofstraße;5;29;4;30;Hürth;22.0;;;91
50354;Fuchskaulenstraße;3;13;4;12;Hürth;07.0;;;91
50354;Fuchsstraße;1;27;4;20;Hürth;20.2;;;91
50354;Fühlingstraße;3;27;2;28;Hürth;01.2;;;91
50354;Fürstenbergstraße;1;7;2;10;Hürth;16.2;;;91
50354;Gartengäßchen;3;15;6;10;Hürth;21.0;;;91
50354;Gartenstraße;5;23;8;10;Hürth;07.0;;;91
50354;Gennerstraße;3;43;24;48;Hürth;22.0;;;91
50354;Gennerstraße;47;211;50;260;Hürth;21.0;;;91
50354;Georg-Elser-Straße;1;21;2;26;Hürth;17.2;;;91
