zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52459;Akazienstr.;1;23;2;20;Lucherberg;03.0;;;90
52459;Altdorfstraße;1;39;2;50;Inden/Altdorf;06.0;;;90
52459;Alter Markt;1;7;2;8;Inden/Altdorf;06.0;;;90
52459;Am Fischweiher;1;3;2;2;Pier;04.0;;;90
52459;Am Fließ;1;9;2;8;Lamersdorf;02.0;;;90
52459;Am Forsthof;1;51;2;52;Inden/Altdorf;05.0;;;90
52459;Am Goltsteinbrunnen;1;13;4;16;Inden/Altdorf;05.0;;;90
52459;Am Gutshof;1;51;2;30;Inden/Altdorf;05.0;;;90
52459;Am Lugberg;1;9;;;Lucherberg;03.0;;;90
52459;Am Luschend;1;11;;;Schophoven;04.0;;;90
52459;Am Molenweg;1;1;2;2;Pier;04.0;;;90
52459;Am Schmitteberg;1;21;2;14;Lucherberg;03.0;;;90
52459;Am Wehebach;1;51;6;92;Inden/Altdorf;05.0;;;90
52459;Am hohen Ufer;5;43;2;38;Frenz;01.0;;;90
52459;An der Kippe;1;55;2;60;Inden/Altdorf;05.0;;;90
52459;An der Waagmühle;1;49;2;38;Inden/Altdorf;07.0;;;90
52459;Apfelberg;;;2;2;Lucherberg;03.0;;;90
52459;Auf dem Driesch;5;11;2;6;Inden/Altdorf;06.0;;;90
52459;Auf der Komm;3;9;4;14;Frenz;01.0;;;90
52459;Auf der Rur;;;0;0;Pier;04.0;;;90
52459;Bauweg;5;7;2;24;Schophoven;04.0;;;90
52459;Berensgasse;1;35;4;18;Inden/Altdorf;07.0;;;90
52459;Berger Weg;1;31;2;12;Inden/Altdorf;05.0;;;90
52459;Birkenstr;1;9;2;22;Lucherberg;03.0;;;90
52459;Bonsdorfer Straße;1;3;2;6;Inden/Altdorf;07.0;;;90
52459;Brockengasse;;;6;6;Inden/Altdorf;06.0;;;90
52459;Buchenweg;1;11;2;10;Inden/Altdorf;06.0;;;90
52459;Burgstr.;3;13;2;6;Frenz;01.0;;;90
52459;Buschweg;1;15;6;14;Inden/Altdorf;06.0;;;90
52459;Corneliusstr.;1;57;2;42;Lamersdorf;02.0;;;90
52459;Drieschstr.;1;67;4;40;Lamersdorf;02.0;;;90
52459;Dunkelhof;1;5;;;Schophoven;04.0;;;90
52459;Eisenbahnstraße;1;29;2;20;Inden/Altdorf;05.0;;;90
52459;Feldgasse;1;7;2;10;Frenz;01.0;;;90
52459;Frankenstr.;1;17;2;24;Lamersdorf;02.0;;;90
52459;Frenzer Driesch;1;29;2;52;Frenz;01.0;;;90
52459;Friedensstraße;1;5;4;42;Inden/Altdorf;06.0;;;90
52459;Friedhofstr.;1;9;4;16;Frenz;01.0;;;90
52459;Fuchsstr.;1;49;2;50;Schophoven;04.0;;;90
52459;Geuenicher Straße;1;13;2;38;Inden/Altdorf;06.0;;;90
52459;Goltsteinstr.;9;59;2;8;Lucherberg;03.0;;;90
52459;Goltsteinstraße;67;71;70;78;Inden/Altdorf;05.0;;;90
52459;Gronental;1;17;2;18;Inden/Altdorf;07.0;;;90
52459;Grubenstrasse;1;15;2;10;Lamersdorf;02.0;;;90
52459;Grünstr.;1;17;2;32;Lucherberg;03.0;;;90
52459;Grüntalstraße;1;55;2;40;Inden/Altdorf;07.0;;;90
52459;Gut Lützeler;1;11;2;16;Inden/Altdorf;07.0;;;90
52459;Hauptstraße;1;27;4;52;Inden/Altdorf;06.0;;;90
52459;Haus Büttgen;;;0;0;Lucherberg;03.0;;;90
52459;Hochstr.;1;45;6;38;Lucherberg;03.0;;;90
52459;Hof Christine;;;0;0;Lucherberg;03.0;;;90
52459;Hofstr.;3;17;2;22;Frenz;01.0;;;90
52459;Hüttenstraße;1;9;2;10;Schophoven;04.0;;;90
52459;Im Haswinkel;1;1;;;Frenz;01.0;;;90
52459;Im Schlehental;1;23;2;34;Inden/Altdorf;06.0;;;90
52459;In den Benden;1;81;2;52;Inden/Altdorf;07.0;;;90
52459;In der Ruraue;3;31;2;14;Pier;04.0;;;90
52459;Indener Straße;1;55;2;44;Inden/Altdorf;07.0;;;90
52459;Indestr.;1;47;6;58;Lamersdorf;02.0;;;90
52459;Industriestr.;13;15;2;18;Pier;04.0;;;90
52459;Jakobstraße;1;37;4;32;Inden/Altdorf;07.0;;;90
