zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52428;Aachener Landstr.;1;27;6;6;Bourheim;1;;;90
52428;Aachener Str.;3;15;2;10;Jülich;8;;;90
52428;Abteistr.;1;11;2;16;Güsten;17.2;;;90
52428;Adelgundisstr.;1;5;2;8;Koslar;14;;;90
52428;Adenauerstr.;1;45;2;44;Bourheim;13.2;;;90
52428;Adolf-Fischer-Str.;1;;2;52;Jülich;3;;;90
52428;Adolf-Fischer-Str.;;;50;52;Jülich;3;;;90
52428;Agathenstr.;11;19;4;30;Mersch;16.2;;;90
52428;Ahornweg;1;17;2;12;Koslar;14;;;90
52428;Akazienstr.;1;19;16;16;Bourheim;13.2;;;90
52428;Aldenhovener Str.;1;15;2;14;Jülich;2;;;90
52428;Altdorfer Str.;1;23;2;44;Jülich;1;;;90
52428;Alte Dorfstr.;1;109;4;160;Broich;16.1;;;90
52428;Alte Dürener Str.;9;89;2;14;Jülich;4;;;90
52428;Alte Müntzer Str.;1;17;4;4;Mersch;16.2;;;90
52428;Alte Reichsstr.;3;71;2;96;Mersch;16.2;;;90
52428;Altenburger Str.;1;61;2;62;Selgersdorf;11.1;;;90
52428;Am Aachener Tor;1;17;2;14;Jülich;3;;;90
52428;Am Amtmannshof;1;13;;;Güsten;17.2;;;90
52428;Am Brückenkopf;1;19;2;22;Jülich;1;;;90
52428;Am Driesch;1;13;2;2;Mersch;16.2;;;90
52428;Am Ehrenmal;1;25;;;Bourheim;13.2;;;90
52428;Am Erbbusch;1;27;2;8;Güsten;17.2;;;90
52428;Am Feldrain;1;31;2;80;Broich;16.1;;;90
52428;Am Forst;1;15;2;22;Stetternich;19;;;90
52428;Am Goldacker;1;11;2;12;Koslar;14;;;90
52428;Am Hahnsberg;1;1;;;Altenburg;11.2;;;90
52428;Am Heiligenhäuschen;1;3;2;4;Daubenrath;11.3;;;90
52428;Am Hierespfädchen;1;23;4;26;Stetternich;19;;;90
52428;Am Katzepohl;3;3;2;6;Koslar;14;;;90
52428;Am Lampeschhof;11;13;8;18;Selgersdorf;11.1;;;90
52428;Am Mühlenteich;;;12;12;Jülich;4;;;90
52428;Am Nösserkamp;;;2;2;Mersch;16.2;;;90
52428;Am Peusch;;;2;20;Koslar;14;;;90
52428;Am Ringofen;1;19;;;Jülich;10;;;90
52428;Am Rurdamm;1;3;2;8;Koslar;14;;;90
52428;Am Schloß;1;21;;;Bourheim;13.2;;;90
52428;Am Schrickenhof;3;37;4;16;Kirchberg;12;;;90
52428;Am Schulzentrum;9;9;2;12;Jülich;8;;;90
52428;Am Schützenhof;3;3;2;4;Jülich;7;;;90
52428;Am Steinacker;1;3;2;2;Stetternich;19;;;90
52428;Am Tierpark;;;0;0;Jülich;8;;;90
52428;Am Waldeck;1;7;2;32;Koslar;14;;;90
52428;Am Wallgraben;1;31;;;Jülich;6;;;90
52428;Am Wasserwerk;;;2;18;Jülich;10;;;90
52428;Am Wehr;5;9;2;10;Jülich;1;;;90
52428;Am Weihberg;1;5;2;6;Bourheim;13.2;;;90
52428;Am Weiher;;;2;2;Kirchberg;12;;;90
52428;Am Wiesenhang;1;27;2;40;Kirchberg;12;;;90
52428;Am blauen Stein;;;4;4;Jülich;5.1;;;90
52428;Amselweg;1;5;2;20;Jülich;10;;;90
52428;An der Alten Schule;3;3;;;Koslar;13.1;;;90
52428;An der Bahn;1;1;2;12;Barmen;15.1;;;90
52428;An der Burgweide;1;7;4;14;Güsten;17.2;;;90
52428;An der Chaussee;;;2;28;Stetternich;19;;;90
52428;An der Elle;1;9;2;10;Jülich;4;;;90
52428;An der Landwehr;1;9;6;12;Welldorf;18;;;90
52428;An der Leimkaul;5;5;;;Jülich;10;;;90
52428;An der Lünette;3;11;2;18;Jülich;1;;;90
52428;An der Maar;1;7;2;10;Bourheim;13.2;;;90
52428;An der Promenade;1;11;;;Jülich;3;;;90
52428;An der Rur;1;1;2;2;Kirchberg;12;;;90
52428;An der Synagoge;1;3;2;10;Jülich;9;;;90
52428;An der Via Belgica;3;13;6;14;Bourheim;1;;;90
52428;An der Vogelstange;3;101;2;202;Jülich;1;;;90
52428;Andreas-Poick-Straße;1;11;2;12;Jülich;5.1;;;90
52428;Andreasstr.;5;31;4;26;Lich-Steinstraß;5.1;;;90
52428;Anneberg;1;11;2;8;Bourheim;13.2;;;90
52428;Anton-Kohlhaas-Weg;1;23;2;10;Barmen;15.1;;;90
52428;Antoniusstr.;5;21;2;18;Jülich;1;;;90
52428;Apfelblütenweg;1;3;;;Broich;16.1;;;90
52428;Artilleriestr.;1;61;6;80;Jülich;6;;;90
52428;Auenweg;1;17;2;12;Barmen;15.1;;;90
52428;Auf dem Berg;1;3;2;8;Barmen;15.1;;;90
52428;Auf dem Büchel;5;13;4;16;Welldorf;18;;;90
52428;Auf der Heide;1;15;2;30;Welldorf;18;;;90
52428;Auf der Klause;1;37;10;28;Stetternich;19;;;90
52428;Bachfeldstr.;7;21;2;6;Stetternich;19;;;90
52428;Bahngasse;3;15;4;12;Welldorf;18;;;90
52428;Bahnhofstr.;5;17;2;14;Jülich;3;;;90
52428;Baierstr.;1;15;2;12;Jülich;9;;;90
52428;Barbarastr.;;;2;12;Jülich;2;;;90
52428;Bastionstr.;1;33;2;28;Jülich;8;;;90
52428;Bauhofstr.;7;17;8;28;Jülich;3;;;90
52428;Baumweg;3;7;2;8;Lich-Steinstraß;5.1;;;90
52428;Bergische Str.;1;15;4;26;Jülich;1;;;90
52428;Bergstr.;1;7;2;4;Kirchberg;12;;;90
52428;Berliner Str.;7;111;2;40;Jülich;6;;;90
52428;Bertastr.;1;23;4;8;Jülich;10;;;90
52428;Birkenweg;1;11;2;12;Kirchberg;12;;;90
52428;Bocksgasse;1;9;2;6;Jülich;9;;;90
52428;Bodengasse;1;17;2;10;Koslar;13.1;;;90
52428;Bongardstr.;1;13;2;16;Jülich;3;;;90
52428;Bornstr.;1;23;2;34;Koslar;14;;;90
52428;Borsigstr.;3;9;;;Jülich;4;;;90
52428;Bothenhof;1;25;2;44;Mersch;16.2;;;90
52428;Bourheimer Burg;;;2;4;Bourheim;13.2;;;90
52428;Breslauer Str.;1;5;2;12;Jülich;6;;;90
52428;Bretzelbäckerstraße;1;25;6;24;Pattern;17.1;;;90
52428;Brockmüllerstr.;1;15;2;16;Jülich;2;;;90
52428;Broichstr.;1;17;2;22;Broich;16.1;;;90
52428;Brunnenstr.;1;7;2;6;Jülich;10;;;90
52428;Brühlsweg;1;19;2;8;Merzenhausen;15.2;;;90
52428;Buchenweg;1;33;4;38;Jülich;4;;;90
52428;Burgstr.;1;15;2;6;Stetternich;19;;;90
52428;Buschend;1;1;2;2;Pattern;17.1;;;90
52428;Buschfeld;1;17;;;Güsten;17.2;;;90
52428;Christinastr.;1;21;2;22;Jülich;2;;;90
52428;Christine-De-Jong-Straße;1;15;;;Jülich;4;;;90
52428;Christine-Reuter-Weg;1;7;6;24;Daubenrath;11.3;;;90
52428;Cremannsgasse;1;11;4;16;Welldorf;18;;;90
52428;Crombachstr.;35;35;2;36;Koslar;14;;;90
52428;Cäcilienstr.;3;9;2;10;Koslar;13.1;;;90
52428;Daubenrather Kirchweg;1;11;2;12;Selgersdorf;11.1;;;90
52428;Depelsweg;1;3;;;Pattern;17.1;;;90
52428;Ditgesend;1;17;2;10;Pattern;17.1;;;90
52428;Ditgesgasse;1;19;2;14;Mersch;16.2;;;90
52428;Dohrer Weg;1;21;2;2;Altenburg;11.2;;;90
52428;Donatusweg;1;13;2;28;Kirchberg;12;;;90
52428;Dr.-Halbsguth-Straße;1;35;2;16;Jülich;5.1;;;90
52428;Dr.-Weyer-Str.;9;21;2;18;Jülich;3;;;90
52428;Drieschstr.;5;39;2;16;Koslar;14;;;90
52428;Drosselweg;1;7;2;10;Jülich;10;;;90
52428;Dürener Str.;1;43;4;32;Jülich;4;;;90
52428;Düsseldorfer Str.;1;37;8;38;Jülich;9;;;90
52428;Eichenweg;1;7;;;Jülich;4;;;90
52428;Einsteinstr.;1;7;2;36;Jülich;7;;;90
52428;Eleonorenstr.;3;7;;;Jülich;2;;;90
52428;Elisabethstr.;9;11;2;16;Jülich;2;;;90
52428;Ellbachstr.;1;1;2;34;Jülich;8;;;90
52428;Elsenkamp;1;39;2;42;Selgersdorf;11.1;;;90
52428;Erdmannshof;1;5;2;6;Koslar;13.1;;;90
52428;Erlenweg;1;7;2;34;Barmen;15.1;;;90
52428;Eschenweg;1;25;10;10;Jülich;4;;;90
52428;Euskirchener Str;3;15;2;12;Jülich;2;;;90
52428;Fasanenweg;1;3;2;10;Koslar;14;;;90
52428;Fichtenweg;1;1;4;4;Koslar;14;;;90
52428;Finkelbachweg;;;2;2;Welldorf;18;;;90
52428;Finkenweg;3;13;2;14;Jülich;10;;;90
52428;Flachsweg;1;9;2;16;Jülich;4;;;90
52428;Fliederweg;1;19;2;8;Jülich;10;;;90
52428;Forststr.;1;5;2;8;Lich-Steinstraß;5.1;;;90
52428;Frankenstr.;1;15;6;8;Jülich;3;;;90
52428;Franz-von-Sales-Str.;1;1;;;Barmen;15.1;;;90
52428;Franziskusstr.;1;25;2;24;Jülich;7;;;90
52428;Franzissenhäuschen;1;1;2;4;Jülich;6;;;90
52428;Frederick-Stock-Straße;3;15;;;Jülich;3;;;90
52428;Freiherr-vom-Stein-Platz;1;15;4;16;Jülich;1;;;90
52428;Freiwalder Weg;1;1;2;2;Jülich;5.1;;;90
52428;Friedensstr.;1;5;2;8;Koslar;14;;;90
52428;Friedhofstr.;1;21;2;30;Koslar;13.1;;;90
52428;Friedrich-Ebert-Str.;9;41;6;42;Jülich;3;;;90
52428;Friedrich-Lau-Straße;;;2;22;Jülich;8;;;90
52428;Fritz-Deutzmann-Straße;1;31;2;8;Koslar;14;;;90
52428;Fronhofstr.;3;61;2;90;Kirchberg;12;;;90
52428;Fuchsend;5;41;2;34;Welldorf;18;;;90
52428;Fuchshecker Hof;;;0;0;Barmen;15.1;;;90
52428;Fuchsweg;1;9;2;6;Koslar;14;;;90
52428;Fuhrstr.;5;5;4;6;Pattern;17.1;;;90
52428;Gabriel-Wackers-Weg;1;9;;;Bourheim;1;;;90
52428;Gansweid;1;1;8;8;Barmen;15.1;;;90
52428;Gartenstr.;1;15;2;16;Jülich;1;;;90
52428;Gartenweg;5;39;2;50;Kirchberg;12;;;90
52428;Gaudenz-Breuer-Str.;1;19;2;10;Lich-Steinstraß;5.1;;;90
52428;Gelderner Str.;3;27;2;44;Jülich;8;;;90
52428;Gerberstr.;;;2;6;Jülich;9;;;90
52428;Gereonstr.;1;15;;;Jülich;1;;;90
52428;Gertrud-Zillbach-Straße;1;15;4;6;Stetternich;19;;;90
52428;Geschw.-Scholl-Str.;3;47;2;20;Stetternich;19;;;90
52428;Gewährhau;1;19;2;16;Lich-Steinstraß;5.1;;;90
52428;Gildenweg;;;2;38;Merzenhausen;15.2;;;90
52428;Ginsterweg;31;37;2;44;Jülich;10;;;90
52428;Goethestr.;1;9;2;12;Koslar;13.1;;;90
52428;Goswin-De-Nickel-Str.;1;7;2;12;Koslar;13.1;;;90
52428;Große Rurstr.;1;73;4;96;Jülich;3;;;90
52428;Grüner Weg;1;7;2;22;Stetternich;19;;;90
52428;Grünes Pfädchen;3;5;2;4;Mersch;16.2;;;90
52428;Grünstr.;1;29;2;22;Jülich;9;;;90
52428;Gut Frauenrath;;;0;0;Merzenhausen;15.2;;;90
52428;Gut Freiwald;;;0;0;Jülich;5.1;;;90
52428;Gut Hasenfeld;;;0;0;Koslar;14;;;90
52428;Gut Kartaus;;;0;0;Jülich;4;;;90
52428;Gut Linzenich;;;0;0;Bourheim;13.2;;;90
52428;Gut Lorsbeck;;;0;0;Jülich;4;;;90
52428;Gut Maaßenhof;;;0;0;Jülich;4;;;90
52428;Gut Waldeck;;;0;0;Koslar;14;;;90
52428;Gutenbergstr.;1;17;2;34;Jülich;7;;;90
52428;Güstener Str.;1;67;2;78;Welldorf;18;;;90
52428;Hahnengasse;3;29;2;10;Mersch;16.2;;;90
52428;Hambacher Weg;5;11;2;6;Selgersdorf;11.1;;;90
52428;Hasenfelder Str.;1;63;2;70;Koslar;14;;;90
52428;Hasenfelder Weg;;;4;4;Jülich;8;;;90
52428;Hasenpfad;1;13;4;18;Koslar;14;;;90
52428;Haubourdinstr.;3;15;2;24;Jülich;10;;;90
52428;Haus Brühl;;;0;0;Merzenhausen;15.2;;;90
52428;Haus Brühlsfeld;;;0;0;Merzenhausen;15.2;;;90
52428;Haus Fonger;;;0;0;Stetternich;19;;;90
52428;Haus Mariawald;;;0;0;Jülich;5.1;;;90
52428;Haus Schmitt;;;0;0;Stetternich;19;;;90
52428;Heckenweg;29;37;;;Merzenhausen;15.2;;;90
52428;Heckfeldstr.;1;57;8;46;Jülich;2;;;90
52428;Heilig-Geist-Gasse;1;5;2;2;Stetternich;19;;;90
52428;Heimbacher Str.;1;21;2;22;Jülich;3;;;90
52428;Heinrich-Casson-Straße;1;9;;;Jülich;5.1;;;90
52428;Heinrich-Hertz-Str.;1;17;2;10;Jülich;7;;;90
