vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
6;Nordschule;Berliner Straße;8;;;52428;Jülich;;J
7;Nordschule;Berliner Straße;8;;;52428;Jülich;;J
5.1;Bürgerhaus Lich-Steinstraß;Matthiasplatz;;;;52428;Jülich;;J
3;Promenadenschule Neubau;Frankenstraße;;;;52428;Jülich;;J
4;Promenadenschule Neubau;Frankenstraße;;;;52428;Jülich;;J
1;VHS Jülicher Land;Am Aachener Tor;16;;;52428;Jülich;;J
2;VHS Jülicher Land;Am Aachener Tor;16;;;52428;Jülich;;J
11.2;Gemeinschaftshaus Altenburg;Van-Gils-Straße;16 A;;;52428;Jülich;;J
11.1;Schule Selgersdorf;Stephanusweg;1;;;52428;Jülich;;J
12;Ehem. Schule Kirchberg;Schindberg;12;;;52428;Jülich;;J
13.2;Gemeinschaftshaus Bourheim;Zur Burg;2;;;52428;Jülich;;J
13.1;Schule Koslar;Lobsgasse;22;;;52428;Jülich;;J
14;Schule Koslar;Lobsgasse;22;;;52428;Jülich;;J
15.1;Feuerwehrhaus Barmen;Jägergasse;6;;;52428;Jülich;;J
15.2;Gemeinschaftshaus Merzenhausen;Prämienstraße;43;;;52428;Jülich;;J
17.1;Alte Schule Pattern Halle des TTC Mersch-Pattern;Kreuzstraße;29;;;52428;Jülich;;J
18;Schule Welldorf;Romleweierweg;12;;;52428;Jülich;;J
19;Gemeinschaftshaus Stetternich;Geschwister-Scholl-Straße;10;;;52428;Jülich;;J
16.2;Jugendheim Mersch;Agathenstraße;32;;;52428;Jülich;;J
11.3;Schützenhalle Daubenrath;Kasterstraße;31 A;;;52428;Jülich;;J
17.2;Justinahaus;Justinastraße;2;;;52428;Jülich;;J
8;Neubau Gymnasium Zitadelle;Düsseldorfer Straße;39;;;52428;Jülich;;J
9;Neubau Gymnasium Zitadelle;Düsseldorfer Straße;39;;;52428;Jülich;;J
16.1;Pfarrheim Broich;Alte Dorfstr.;43;;;52428;Jülich;;N
10;Mädchengymnasium;Dr. Weyer-Str.;5;;;52428;Jülich;;J
