zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53925;Aachener Straße;25;73;18;74;Kall;02.0;;;092
53925;Aachener Straße;1;17;2;14;Kall;03.0;;;092
53925;Aachener Straße;75;117;82;110;Kall;01.0;;;092
53925;Ahornweg;1;13;6;18;Kall;13.0;;;092
53925;Ahrstraße;3;31;2;42;Kall;11.1;;;092
53925;Akazienstraße;3;41;4;38;Kall;06.0;;;092
53925;Am Alenberg;3;39;2;36;Kall;14.1;;;092
53925;Am Birnbaum;1;13;2;2;Kall;09.2;;;092
53925;Am Hallenbad;1;51;12;54;Kall;02.0;;;092
53925;Am Hammerwerk;1;33;2;24;Kall;02.0;;;092
53925;Am Hang;1;9;2;6;Kall;11.2;;;092
53925;Am Haselbusch;3;7;2;14;Kall;06.0;;;092
53925;Am Heidekopf;1;19;2;14;Kall;01.0;;;092
53925;Am Heuweg;1;29;2;28;Kall;08.0;;;092
53925;Am Hüttengraben;1;61;;;Kall;02.0;;;092
53925;Am Kalkofen;1;1;10;10;Kall;10.0;;;092
53925;Am Kreuz;1;1;2;2;Kall;11.1;;;092
53925;Am Mühlenberg;5;9;;;Kall;08.0;;;092
53925;Am Pferdekopf;1;19;2;20;Kall;08.0;;;092
53925;Am Spielberg;3;15;2;24;Kall;08.0;;;092
53925;Am Sportplatz;;;2;16;Kall;08.0;;;092
53925;Am Stellwerk;1;1;2;6;Kall;02.0;;;092
53925;Am Sägewerk;;;2;2;Kall;08.0;;;092
53925;Am Trinkpütz;1;7;2;8;Kall;05.0;;;092
53925;Am Tunnel;;;2;2;Kall;14.1;;;092
53925;Am Wehr;3;7;2;8;Kall;08.0;;;092
53925;Amselweg;1;37;4;40;Kall;01.0;;;092
53925;An St.Mattias;;;2;2;Kall;08.0;;;092
53925;An den Tällen;3;3;;;Kall;11.1;;;092
53925;An der Eiche;1;1;2;2;Kall;14.1;;;092
53925;An der Hardt;1;23;2;16;Kall;08.0;;;092
53925;An der Schmelze;1;1;;;Kall;04.0;;;092
53925;An der Spick;;;4;4;Kall;08.0;;;092
53925;Annaweg;3;3;6;6;Kall;14.3;;;092
53925;Antoniusweg;1;9;4;10;Kall;14.3;;;092
53925;Apfelpesch;3;3;4;8;Kall;04.0;;;092
53925;Asserweg;1;5;6;6;Kall;12.1;;;092
53925;Auelstraße;1;43;2;40;Kall;03.0;;;092
53925;Auf dem Bongart;;;6;18;Kall;14.1;;;092
53925;Auf dem Büchel;3;57;4;74;Kall;01.0;;;092
53925;Auf dem Driesch;1;1;4;6;Kall;14.2;;;092
53925;Auf dem Fels;1;41;2;36;Kall;04.0;;;092
53925;Auf dem Forst;1;13;2;16;Kall;07.0;;;092
53925;Auf dem Kickberg;1;27;2;22;Kall;08.0;;;092
53925;Auf dem Knoppen;1;29;2;28;Kall;01.0;;;092
53925;Auf dem Stein;1;9;2;6;Kall;09.2;;;092
53925;Auf dem Stützgen;1;21;4;26;Kall;11.2;;;092
53925;Auf dem Tanzberg;1;9;2;14;Kall;13.0;;;092
53925;Auf der Heide;;;0;0;Kall;11.1;;;092
53925;Auf der Höll;1;5;2;16;Kall;08.0;;;092
53925;Auf der Kegelbahn;5;7;2;18;Kall;07.0;;;092
53925;Auf der Kier;1;7;;;Kall;13.0;;;092
53925;Auf der Lehmaar;1;13;2;18;Kall;13.0;;;092
53925;Auf der Natzen;1;23;4;56;Kall;05.0;;;092
53925;Auf der Rinne;11;23;4;24;Kall;04.0;;;092
53925;Bachweg;3;31;2;32;Kall;04.0;;;092
53925;Bahnhofstraße;1;47;2;42;Kall;02.0;;;092
53925;Barbarastraße;7;17;2;10;Kall;11.1;;;092
