zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50169;Adenauerstraße;1;29;2;28;Kerpen;19.0;;;091
50171;Ahornallee;3;31;2;16;Kerpen;08.1;;;091
50169;Ahornstraße;1;3;2;8;Kerpen;23.0;;;091
50169;Akazienweg;3;9;2;18;Kerpen;17.1;;;091
50171;Albert-Schweitzer-Straße;1;21;2;14;Kerpen;01.1;;;091
50171;Albertus-Magnus-Straße;1;15;4;24;Kerpen;01.1;;;091
50170;Alfred-Döblin-Straße;15;31;4;22;Kerpen;13.1;;;091
50169;Alfred-Nobel-Straße;1;1;;;Kerpen;23.0;;;091
50171;Alte Landstraße;1;33;2;16;Kerpen;02.1;;;091
50171;Alte Landstraße;35;55;;;Kerpen;04.1;;;091
50171;Alte Straße;1;9;2;10;Kerpen;06.1;;;091
50169;Alte Ziegelei;;;2;8;Kerpen;21.1;;;091
50171;Altes Forsthaus;;;2;2;Kerpen;01.1;;;091
50170;Am Bahndamm;;;2;14;Kerpen;08.2;;;091
50170;Am Bahnhof;;;2;10;Kerpen;14.2;;;091
50171;Am Bruch;1;15;2;10;Kerpen;03.2;;;091
50170;Am Bug;1;11;2;10;Kerpen;08.2;;;091
50170;Am Buirer Fließ;1;73;2;20;Kerpen;07.1;;;091
50169;Am Burggraben;3;11;;;Kerpen;22.1;;;091
50169;Am Burgtor;5;37;2;58;Kerpen;22.1;;;091
50171;Am Dickbusch;1;7;2;8;Kerpen;05.1;;;091
50170;Am Entenpfuhl;1;11;2;4;Kerpen;12.1;;;091
50169;Am Erbbusch;1;15;2;14;Kerpen;16.2;;;091
50171;Am Falder;1;1;;;Kerpen;01.2;;;091
50170;Am Gewerbehof;1;21;4;30;Kerpen;14.1;;;091
50169;Am Ginsterberg;3;73;2;86;Kerpen;21.2;;;091
50169;Am Grünen Weg;1;29;2;18;Kerpen;19.0;;;091
50169;Am Hahnenwall;1;37;6;28;Kerpen;17.1;;;091
50169;Am Hauserbach;;;6;30;Kerpen;23.0;;;091
50169;Am Hauserbach;1;21;;;Kerpen;20.0;;;091
50170;Am Hoover Diggen;;;2;10;Kerpen;07.1;;;091
50171;Am Hubertushof;9;9;8;8;Kerpen;06.1;;;091
50169;Am Hügel;1;35;2;34;Kerpen;17.1;;;091
50170;Am Hüttenhof;3;11;2;20;Kerpen;12.1;;;091
50171;Am Jugendheim;1;13;;;Kerpen;04.1;;;091
50169;Am Kalkofen;1;43;;;Kerpen;19.0;;;091
50169;Am Kapellchen;1;5;;;Kerpen;20.0;;;091
50170;Am Keuschenend;13;143;2;76;Kerpen;10.1;;;091
50171;Am Klosterberg;3;15;2;16;Kerpen;06.2;;;091
50170;Am Kolvermaar;1;17;2;60;Kerpen;10.1;;;091
50170;Am Kuhweg;1;5;2;2;Kerpen;14.2;;;091
50169;Am Käferbruch;1;37;2;24;Kerpen;22.2;;;091
50169;Am Markt;1;15;2;14;Kerpen;20.0;;;091
50169;Am Mistiansberg;1;17;2;16;Kerpen;17.1;;;091
50171;Am Moosgarten;1;3;2;6;Kerpen;05.1;;;091
50170;Am Obersten Bruch;;;2;102;Kerpen;07.1;;;091
50170;Am Obstgarten;1;19;2;20;Kerpen;12.1;;;091
50171;Am Rodelberg;1;11;6;10;Kerpen;08.1;;;091
50169;Am Ronnenpfad;1;13;6;20;Kerpen;17.2;;;091
