vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
0011;Heinsberg Grundschule Heinsberg;Bergstraße;15;;;57399;Kirchhundem;;N
0021;Albaum LÖBF-Fischereidezernate;Heinsberger Straße;53;;;57399;Kirchhundem;;N
0031;Würdinghausen Pfarrzentrum Würdinghausen;Mittlerer Königsberg;9;;;57399;Kirchhundem;;N
0041;Kirchhundem 1 Sekundarschule-Teilstandort Kirchhundem;An der Hauptschule;4;;;57399;Kirchhundem;;J
0051;Kirchhundem 2 "Gasthof ""Kleine Kneipe""";Hundemstraße;27;;;57399;Kirchhundem;;N
0061;Hofolpe Feuerwehrgerätehaus Hofolpe;Kampstraße;10;;;57399;Kirchhundem;;J
0071;Benolpe Pfarrheim Benolpe;Zur Rimmert;4;;;57399;Kirchhundem;;J
0072;Welschen Ennest 1 Grundschule Welschen Ennest;Schulstraße;3;;;57399;Kirchhundem;;N
0091;Rahrbach "Gasthof ""Rahrbacher Hof""";Olper Straße;41;;;57399;Kirchhundem;;N
0101;Brachthausen Schützenhalle Brachthausen;Hilchenbacher Straße;22;;;57399;Kirchhundem;;J
0102;Wirme Gemeinschaftshalle Wirme;Wirme;35;;;57399;Kirchhundem;;N
0111;Silberg Feuerwehrgerätehaus Silberg;Zur Silbecke;2;;;57399;Kirchhundem;;J
0112;Varste Gemeinschaftshalle Varste;Jakobusweg;55;;;57399;Kirchhundem;;N
0121;Oberhundem Pfarrzentrum Oberhundem;Rüsper Straße;7;;;57399;Kirchhundem;;N
0133;Rinsecke Gasthof Kaiser;Rinsecker Straße;48;;;57399;Kirchhundem;;N
0131;Selbecke Feuerwehrgerätehaus Selbecke;Selbecke;70;;;57399;Kirchhundem;;N
0132;Marmecke Schützenhalle Marmecke;Zur Lärche;25;;;57399;Kirchhundem;;J
0081;Welschen Ennest 2 Haus Höfer;Frankfurter Straße;1;;;57399;Kirchhundem;;J
