zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52372;Ackerweg;3;11;2;8;Bilstein;17.1;;;90
52372;Akazienweg;1;13;2;6;Stockheim;09.1;;;90
52372;Albertus-Magnus-Straße;1;5;;;Leversbach;11.2;;;90
52372;Alte Gasse;1;45;2;32;Kreuzau;06.1;;;90
52372;Altenweiher;1;15;2;16;Kreuzau;07.1;;;90
52372;Am Alten Fuhrweg;1;15;4;28;Untermaubach;17.1;;;90
52372;Am Berg;3;11;2;12;Schlagstein;15.2;;;90
52372;Am Bergwerk;1;9;2;8;Stockheim;09.1;;;90
52372;Am Bolzplatz;1;13;;;Kreuzau;04.1;;;90
52372;Am Bonsbusch;;;0;0;Kreuzau;05.1;;;90
52372;Am Boten;7;19;2;14;Stockheim;09.1;;;90
52372;Am Bruchbach;;;2;12;Drove;02.1;;;90
52372;Am Buchenmaar;3;41;6;54;Stockheim;09.1;;;90
52372;Am Burgholz;19;29;42;50;Stockheim;09.1;;;90
52372;Am Dester;3;3;4;6;Untermaubach;17.1;;;90
52372;Am Günster;3;17;2;10;Stockheim;10.1;;;90
52372;Am Hauweg;7;23;6;20;Bogheim;16.2;;;90
52372;Am Heiligenpütz;1;1;;;Drove;02.1;;;90
52372;Am Kirschenhang;1;9;2;8;Üdingen;11.1;;;90
52372;Am Kupferscheid;1;29;2;28;Kreuzau;08.1;;;90
52372;Am Leversbach;1;75;2;100;Leversbach;11.2;;;90
52372;Am Mortes;5;21;2;18;Obermaubach;14.1;;;90
52372;Am Mühlenteich;7;23;;;Kreuzau;05.1;;;90
52372;Am Ramgarten;1;15;2;38;Winden;12.1;;;90
52372;Am Rebstock;3;7;4;20;Winden;12.1;;;90
52372;Am Sandberg;1;25;2;28;Drove;02.1;;;90
52372;Am Schlagstein;1;19;2;2;Schlagstein;15.2;;;90
52372;Am Stadion;1;15;2;12;Kreuzau;07.1;;;90
