zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57223;Achenbachstr.;1;61;2;34;Buschhütten;002.1;;;148
57223;Adolf-Sänger-Weg;3;13;4;16;Fellinghausen;012.1;;;148
57223;Adolf-Wurmbach-Str.;5;61;2;56;Littfeld;019.1;;;148
57223;Adolph-Kolping-Str.;1;31;4;30;Kredenbach;011.1;;;148
57223;Aherhammer;7;11;;;Ferndorf;009.1;;;148
57223;Ahornweg;3;19;2;12;Littfeld;018.1;;;148
57223;Alte Landstr.;9;29;14;26;Krombach;016.2;;;148
57223;Alte Schulstr.;5;9;10;12;Buschhütten;002.1;;;148
57223;Alte Wiese;3;17;2;10;Littfeld;018.1;;;148
57223;Altenberger Str.;1;39;2;36;Littfeld;019.1;;;148
57223;Alter Bruch;1;7;2;12;Ferndorf;010.1;;;148
57223;Alter Fuhrweg;;;12;12;Buschhütten;002.1;;;148
57223;Alter Weg;1;61;4;66;Osthelden;013.2;;;148
57223;Altlohe;1;11;8;12;Kredenbach;011.1;;;148
57223;Am Alten Hahn;1;17;4;36;Eichen;016.1;;;148
57223;Am Alten Heck;1;71;4;44;Krombach;017.1;;;148
57223;Am Büll;5;25;2;20;Buschhütten;001.1;;;148
57223;Am Eichenwäldchen;1;9;;;Fellinghausen;013.1;;;148
57223;Am Eichhagen;3;7;2;14;Osthelden;013.2;;;148
57223;Am Eichhardt;3;5;2;6;Bockenbach;015.1;;;148
57223;Am Ernsdorfbach;;;2;14;Kreuztal;008.1;;;148
57223;Am Fischteich;1;15;4;6;Eichen;016.1;;;148
57223;Am Freibad;1;31;4;42;Kredenbach;011.1;;;148
57223;Am Graben;1;3;2;6;Krombach;017.1;;;148
57223;Am Hang;1;7;2;6;Kreuztal;004.1;;;148
57223;Am Hasenrain;3;3;;;Krombach;017.1;;;148
57223;Am Heckstück;1;27;2;10;Buschhütten;002.1;;;148
57223;Am Heesbach;1;7;2;8;Kreuztal;012.1;;;148
57223;Am Kampen;3;5;2;6;Kreuztal;005.1;;;148
57223;Am Kellenhagen;1;9;2;12;Osthelden;013.2;;;148
57223;Am Klingelborn;1;17;2;22;Ferndorf;009.1;;;148
57223;Am Lindenhof;1;15;2;12;Kredenbach;011.1;;;148
57223;Am Mühlengraben;1;15;2;14;Stendenbach;016.1;;;148
57223;Am Nöchel;5;13;2;20;Ferndorf;009.1;;;148
57223;Am Park;;;2;10;Kreuztal;006.1;;;148
57223;Am Parkplatz;;;4;4;Eichen;014.1;;;148
57223;Am Pfantstiehl;1;7;2;10;Fellinghausen;013.1;;;148
57223;Am Rain;1;7;2;2;Kredenbach;011.1;;;148
57223;Am Rosenkamm;3;23;2;22;Ferndorf;009.1;;;148
57223;Am Schiefen Weg;5;15;;;Littfeld;018.1;;;148
57223;Am Siegerberg;1;27;2;20;Kredenbach;011.1;;;148
57223;Am Sonnenhang;1;23;2;32;Eichen;014.1;;;148
57223;Am Sportplatz;;;2;28;Stendenbach;016.1;;;148
57223;Am Steinbruch;1;1;2;2;Osthelden;013.2;;;148
57223;Am Streffel;1;37;2;22;Eichen;015.1;;;148
57223;Am Sträßchen;1;3;4;8;Osthelden;013.2;;;148
57223;Am Webersfeld;1;1;4;8;Kredenbach;011.1;;;148
57223;Am Weinberg;3;19;4;38;Kredenbach;011.1;;;148
57223;Amselweg;5;19;6;16;Kredenbach;011.1;;;148
57223;An der Bahn;3;65;2;36;Kredenbach;011.1;;;148
57223;An der Hofwiese;;;2;2;Stendenbach;016.1;;;148
57223;An der Stetze;3;37;2;22;Eichen;014.1;;;148
57223;Anemonenweg;1;7;;;Kreuztal;007.1;;;148
57223;Annaweg;;;34;34;Burgholdinghausen;019.1;;;148
57223;Annaweg;1;27;2;32;Littfeld;019.1;;;148
