vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
001.1;F.v.Bodelschwingh-Grundschule;Alte Schulstr.;14;;;57223;Kreuztal;;J
002.1;F.v.Bodelschwingh-Grundschule;Alte Schulstr.;14;;;57223;Kreuztal;;J
004.1;Kath. St.-Martin-Grundschule;Dr.-Erich-Moning-Str.;17;;;57223;Kreuztal;;J
011.1;Turnhalle Kredenbach;Kellershain;6;;;57223;Kreuztal;;J
012.1;Grundschule Fellinghausen;Schulweg;4;;;57223;Kreuztal;;J
013.1;Grundschule Fellinghausen;Schulweg;4;;;57223;Kreuztal;;J
013.2;Kindergarten Osthelden;Alter Weg;62;;;57223;Kreuztal;;J
005.1;Städtisches Gymnasium;Zum Erbstollen;5;;;57223;Kreuztal;;J
008.1;Städtisches Gymnasium;Zum Erbstollen;5;;;57223;Kreuztal;;J
008.2;Kindelsbergschule;Siepenstr.;19;;;57223;Kreuztal;;J
009.1;Kindelsbergschule;Siepenstr.;19;;;57223;Kreuztal;;J
010.1;Kindelsbergschule;Siepenstr.;19;;;57223;Kreuztal;;J
014.1;Hauptschule Eichen;Eichener Str.;127;;;57223;Kreuztal;;J
015.1;Hauptschule Eichen;Eichener Str.;127;;;57223;Kreuztal;;J
016.1;Hauptschule Eichen;Eichener Str.;127;;;57223;Kreuztal;;J
006.1;Dietrich-Bonhoeffer-Haus;Leipziger Str.;6;;;57223;Kreuztal;;J
003.1;Kindergarten Langenau;In der Molzkaute;2;;;57223;Kreuztal;;J
007.1;Stadtteilbüro;Danziger Str.;2;;;57223;Kreuztal;;J
016.2;Kindergarten Krombach;Herrenwiese;4;;;57223;Kreuztal;;J
017.1;Kindergarten Krombach;Herrenwiese;4;;;57223;Kreuztal;;J
018.1;A.WurmbachGrundschule Littfeld;Adolf-Wurmbach-Str.;7;;;57223;Kreuztal;;J
019.1;A.WurmbachGrundschule Littfeld;Adolf-Wurmbach-Str.;7;;;57223;Kreuztal;;J
