zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52379;Adam-Lehnen-Str.;1;5;2;6;Luchem;13.0;;;90
52379;Altdorfer Weg;3;11;2;36;Jüngersdorf;06.0;;;90
52379;Altdorfer Weg;13;17;38;40;Pier;06.0;;;90
52379;Alte Kirchstr.;1;21;2;32;Langerwehe;04.0;;;90
52379;Am Brandweiher;1;41;6;40;Schlich;11.0;;;90
52379;Am Daens;1;41;2;58;Hamich;07.0;;;90
52379;Am Fasanenhang;3;5;4;14;Hamich;07.0;;;90
52379;Am Hinterbusch;3;15;4;6;Schlich;11.0;;;90
52379;Am Hofacker;1;3;2;14;Jüngersdorf;06.0;;;90
52379;Am Königsbusch;1;55;2;70;Jüngersdorf;05.0;;;90
52379;Am Luschend;1;11;2;14;Pier;06.0;;;90
52379;Am Neuhaus;3;61;6;56;Schlich;11.0;;;90
52379;Am Niederbusch;1;59;2;110;Schlich;10.0;;;90
52379;Am Parir;1;33;4;22;Jüngersdorf;05.0;;;90
52379;Am Pfuhl;1;13;2;10;Hamich;07.0;;;90
52379;Am Rotbach;1;45;2;14;Schlich;11.0;;;90
52379;Am Sandberg;1;1;6;6;Heistern;08.0;;;90
52379;Am Stadion;1;33;4;26;Stütgerloch;03.0;;;90
52379;Am Steinchen;;;22;24;Stütgerloch;05.0;;;90
52379;Am Wehebach;;;2;26;Langerwehe;03.0;;;90
52379;Am Weiherhof;1;31;2;66;Jüngersdorf;06.0;;;90
52379;Am Weiherhof;35;55;68;94;Pier;06.0;;;90
52379;Amselweg;1;37;2;34;Stütgerloch;05.0;;;90
52379;An den Obstwiesen;;;2;2;Obergeich;12.2;;;90
52379;An der Dostel;;;2;2;Langerwehe;07.0;;;90
52379;An der Erk;1;3;2;4;Jüngersdorf;06.0;;;90
52379;An der Esch;1;7;2;14;Pier;06.0;;;90
52379;An der Kante;3;7;2;8;Heistern;08.0;;;90
52379;An der Lochmühle;3;35;4;48;Jüngersdorf;05.0;;;90
52379;An der Sandgrube;3;11;2;14;Langerwehe;04.0;;;90
52379;Antoniusstr.;9;27;14;30;Schlich;11.0;;;90
52379;Antoniusstr.;3;3;2;8;Merode;09.0;;;90
52379;Apolloniastr.;1;1;2;10;Langerwehe;01.0;;;90
52379;Arnold-Homberg-Straße;5;9;6;10;Jüngersdorf;06.0;;;90
52379;Auf dem Berg;5;9;2;18;Pier;06.0;;;90
52379;Auf dem Berg;1;3;;;Jüngersdorf;06.0;;;90
52379;Auf dem Berg;13;13;;;Jüngersdorf;06.0;;;90
52379;Auf dem Feldchen;1;23;2;44;Jüngersdorf;05.0;;;90
52379;Auf dem Hiebchen;1;1;2;50;Langerwehe;01.0;;;90
52379;Auf dem Kamp;1;31;4;28;Merode;09.0;;;90
52379;Auf den Kämpen;1;51;6;20;Langerwehe;02.0;;;90
52379;Auf der Heide;1;27;2;30;Heistern;08.0;;;90
52379;Auf'm Kutsch;1;11;2;10;Hamich;07.0;;;90
52379;Bachstr.;1;27;;;Jüngersdorf;06.0;;;90
52379;Bahnhofsplatz;1;13;2;14;Langerwehe;01.0;;;90
52379;Bahnhofstraße;1;15;;;Langerwehe;01.0;;;90
52379;Barbarastr.;1;35;2;32;Stütgerloch;03.0;;;90
52379;Beethovenstr.;1;35;6;40;Obergeich;12.2;;;90
52379;Bergstr.;13;35;10;42;Langerwehe;02.0;;;90
52379;Bernadettestr.;1;9;2;20;Obergeich;12.2;;;90
52379;Blumenstr.;1;15;2;10;Luchem;13.0;;;90
52379;Bongard;1;13;2;10;Schlich;11.0;;;90
52379;Bongenhaus;;;0;0;Obergeich;12.2;;;90
52379;Bonsdorfer Straße;1;5;2;14;Pier;06.0;;;90
52379;Brückenstr.;1;103;2;78;Luchem;13.0;;;90
52379;Bundesstr.;;;2;4;Geich;12.2;;;90
52379;Bundesstr.;;;6;16;Obergeich;12.2;;;90
52379;Bundesstr.;1;1;;;Schlich;10.0;;;90
52379;Bundesstr.;3;11;;;Merode;09.0;;;90
52379;Burg Frenz;1;3;2;2;Langerwehe;13.0;;;90
52379;Burg Holzheim;;;0;0;Langerwehe;08.0;;;90
52379;Burgstr.;;;6;18;Luchem;13.0;;;90
52379;Bürgerm.-Schoeller-Straße;1;25;2;16;Langerwehe;02.0;;;90
52379;D'horner Str.;3;45;2;38;Merode;09.0;;;90
52379;Dechant-Kallen-Str.;1;51;2;56;Langerwehe;01.0;;;90
52379;Der Fußhof;1;11;2;14;Jüngersdorf;06.0;;;90
52379;Derichsweilerstr.;1;31;2;38;Schlich;11.0;;;90
52379;Driesch;3;39;10;24;Luchem;13.0;;;90
52379;Drosselweg;1;55;;;Stütgerloch;05.0;;;90
52379;Döllersfeldchen;3;75;4;80;Heistern;08.0;;;90
52379;Dürener Str.;1;19;2;16;D'horn;12.1;;;90
52379;Dürener Weg;;;2;16;Luchem;13.0;;;90
52379;Echtzer Str.;1;23;2;32;Geich;12.2;;;90
52379;Eichenweg;1;23;2;18;Geich;12.2;;;90
52379;Eifelstr.;7;143;4;118;Schlich;10.0;;;90
52379;Falkenweg;1;19;2;36;Hamich;07.0;;;90
52379;Felix-Schleicher-Straße;1;7;2;18;Langerwehe;02.0;;;90
52379;Finkenweg;1;31;2;30;Stütgerloch;05.0;;;90
52379;Florastr.;1;15;;;Langerwehe;03.0;;;90
52379;Forsthaus Bovenberg;;;0;0;Langerwehe;07.0;;;90
52379;Forsthaus Wenau;;;0;0;Langerwehe;07.0;;;90
52379;Franz-Engels-Straße;3;17;2;6;Pier;06.0;;;90
52379;Franz-Schain-Str.;;;2;8;Stütgerloch;05.0;;;90
52379;Frenzer Weg;15;15;;;Langerwehe;02.0;;;90
52379;Friedhofstr.;5;13;4;10;D'horn;12.1;;;90
52379;Gansbecker Hof;;;0;0;Geich;12.2;;;90
52379;Gartenstr.;3;35;22;56;Jüngersdorf;06.0;;;90
52379;Grabenstr.;1;15;2;18;Schlich;10.0;;;90
52379;Gracht;1;11;4;16;Pier;06.0;;;90
52379;Grüner Weg;1;39;2;58;Langerwehe;02.0;;;90
52379;Grüntalstraße;1;15;6;22;Pier;06.0;;;90
52379;Gut Atzenau;;;0;0;Hamich;07.0;;;90
52379;Gut Eichenhof;;;0;0;Langerwehe;07.0;;;90
52379;Gut Kammerbusch;;;0;0;Langerwehe;01.0;;;90
52379;Gut Lamerdriesch;1;1;0;0;Langerwehe;07.0;;;90
52379;Gut Merberich;;;0;0;Langerwehe;01.0;;;90
52379;Gut Schönthal;1;27;4;26;Schönthal;07.0;;;90
