zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57368;Ab-Hardt-Weg;3;3;4;6;Bilstein;012.1;;;149
57368;Adam-Brill-Weg;1;1;;;Bilstein;012.1;;;149
57368;Adlerstr.;1;11;8;12;Saalhausen;014.2;;;149
57368;Agathastr.;7;59;4;66;Maumke;011.1;;;149
57368;Ahornweg;1;3;;;Halberbracht;002.1;;;149
57368;Albrecht-Dürer-Str.;1;9;2;10;Meggen;005.1;;;149
57368;Alte Schule;9;15;12;18;Maumke;011.1;;;149
57368;Alte Straße;;;6;6;Meggen;006.1;;;149
57368;Altenvalberter Str.;3;13;2;14;Oberelspe;001.1;;;149
57368;Alter Amtsweg;3;11;2;8;Maumke;011.1;;;149
57368;Alter Garten;;;2;4;Saalhausen;015.1;;;149
57368;Alter Kirchweg;1;5;2;2;Altenhundem;018.1;;;149
57368;Alter Mühlengraben;9;15;;;Saalhausen;015.1;;;149
57368;Alter Weg;1;31;2;4;Gleierbrück;015.1;;;149
57368;Am Bahndamm;1;21;;;Meggen;006.1;;;149
57368;Am Bauken;1;17;2;22;Maumke;011.1;;;149
57368;Am Beul;13;27;;;Altenhundem;018.1;;;149
57368;Am Biertappen;1;43;4;40;Altenhundem;019.1;;;149
57368;Am Buchhagen;1;15;2;18;Grevenbrück;010.1;;;149
57368;Am Ellenberg;1;21;2;4;Trockenbrück;008.2;;;149
57368;Am Freibad;1;7;2;10;Bilstein;012.1;;;149
57368;Am Garten;1;1;2;2;Kirchveischede;013.1;;;149
57368;Am Gradeberg;1;17;2;18;Meggen;006.1;;;149
57368;Am Griengraben;1;3;4;6;Elspe;003.1;;;149
57368;Am Harkort;1;3;2;2;Meggen;006.1;;;149
57368;Am Hengstenberg;1;15;2;20;Kirchveischede;013.1;;;149
57368;Am Hirtenberg;3;5;4;6;Grevenbrück;008.1;;;149
57368;Am Hirtenberg;7;35;8;34;Grevenbrück;009.1;;;149
57368;Am Hofe;1;11;;;Kirchveischede;013.1;;;149
57368;Am Kamp;1;1;2;2;Maumke;011.1;;;149
57368;Am Kapestein;3;7;;;Halberbracht;002.1;;;149
57368;Am Kattengericht;1;5;2;4;Kirchveischede;013.1;;;149
57368;Am Kickenberg;1;37;2;44;Halberbracht;002.1;;;149
57368;Am Kieswasser;;;4;32;Elspe;004.1;;;149
