zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52441;Aachener Ende;1;41;2;42;Ederen;004.1;;;90
52441;Aachener Straße;3;5;2;6;Linnich;001.1;;;90
52441;Abelsgasse;5;5;6;6;Welz;005.1;;;90
52441;Alte Burgstraße;1;13;2;24;Tetz;010.1;;;90
52441;Alte Kirchstraße;1;47;2;46;Rurdorf;007.1;;;90
52441;Altermarkt;3;3;6;8;Linnich;001.1;;;90
52441;Altwyk;1;25;10;16;Linnich;001.1;;;90
52441;Am Alten Bahnhof;;;2;4;Tetz;010.1;;;90
52441;Am Alumnat;1;13;2;18;Linnich;002.1;;;90
52441;Am Bongartzhof;1;11;2;14;Glimbach;014.1;;;90
52441;Am Damm;1;29;2;10;Tetz;010.1;;;90
52441;Am Ederer Weg;3;5;6;10;Welz;005.1;;;90
52441;Am Friedensacker;1;15;2;22;Glimbach;014.1;;;90
52441;Am Hühnerholz;1;9;4;6;Tetz;010.1;;;90
52441;Am Klosterbend;1;11;;;Tetz;010.1;;;90
52441;Am Klosterhof;1;17;2;10;Körrenzig;013.1;;;90
52441;Am Lügenpfad;1;1;2;2;Kofferen;009.1;;;90
52441;Am Malefinkbach;1;11;2;18;Tetz;010.1;;;90
52441;Am Merzbach;1;11;2;14;Linnich;001.1;;;90
52441;Am Muehlenteich;1;33;;;Linnich;001.1;;;90
52441;Am Römerhof;1;19;2;12;Linnich;002.1;;;90
52441;Am Schroof;1;13;2;24;Kofferen;009.1;;;90
52441;Am Sengelskamp;1;39;2;52;Tetz;010.1;;;90
52441;Am Sportplatz;3;17;2;20;Gevenich;012.1;;;90
52441;Am Sägewerk;3;11;8;8;Floßdorf;006.1;;;90
52441;Am Urnenfeld;15;19;;;Linnich;002.1;;;90
52441;Am Vogeldriesch;1;7;2;6;Tetz;010.1;;;90
52441;Am Weidenfeld;1;9;4;12;Tetz;010.1;;;90
52441;Am Wiemersberg;9;37;2;40;Körrenzig;013.1;;;90
52441;Amselweg;1;1;6;8;Hottorf;008.1;;;90
52441;An der Maar;3;17;;;Hottorf;008.1;;;90
52441;Apfelweg;1;27;4;12;Linnich;001.1;;;90
52441;Apweilerweg;1;29;2;16;Ederen;004.1;;;90
52441;Auenweg;1;9;2;20;Linnich;001.1;;;90
52441;Auf der Lache;1;21;8;18;Tetz;010.1;;;90
52441;Bachdresch;1;25;2;48;Tetz;010.1;;;90
52441;Bachstraße;1;47;2;24;Körrenzig;013.1;;;90
52441;Bahnhofstraße;1;13;2;40;Körrenzig;013.1;;;90
52441;Bahnstraße;3;19;2;30;Ederen;004.1;;;90
52441;Barbarastraße;3;9;2;8;Tetz;010.1;;;90
52441;Bendenweg;7;21;2;16;Linnich;001.1;;;90
52441;Bergische Straße;1;15;4;4;Glimbach;014.1;;;90
52441;Bergstraße;1;33;2;16;Hottorf;008.1;;;90
52441;Birkenallee;1;9;;;Tetz;010.1;;;90
52441;Bleeck;1;5;2;26;Linnich;002.1;;;90
52441;Blumenbend;3;13;4;14;Körrenzig;013.1;;;90
