vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
008.1;Pfarrheim Hottorf;Georgstraße;4a;;;52441;Linnich/Hottorf;;J
011.1;Alte Küsterei Boslar;Gereonstraße;48;;;52441;Linnich/Boslar;;J
013.1;Pfarrheim Körrenzig;Hauptstraße;95;;;52441;Linnich/Körrenzig;;J
004.1;Feuerwehrgerätehaus Ederen;Kirchweg/Ecke Schulweg;;;;52441;Linnich;;J
010.1;Kath. Kindergarten Tetz;Büllerweg;16;;;52441;Linnich;;J
014.1;Klinkerstübchen Glimbach;Lange Straße;47;;;52441;Linnich/Glimbach;;N
012.1;Städt. Kindergarten Gevenich;Kreuzstraße;50;;;52441;Linnich/Gevenich;;J
006.1;Feuerwehrgerätehaus Floßdorf;Marienstraße;16;;;52441;Linnich;;J
005.1;Feuerwehrgerätehaus Welz;Fahlenberg;68;;;52441;Linnich;;J
002.1;Rathaus, Zi. 001;Rurdorfer Straße;64;;;52441;Linnich;;J
007.1;Schützenhaus Rurdorf;Prämienstraße;23;;;52441;Linnich;;J
003.1;Christinenstift Kaminzimmer;Kölnstraße;35;;;52441;Linnich-Gereonsweiler;;J
001.1;"Wohnanlage ""Am Mühlenteich""";Schwarzer Weg;4;;;52441;Linnich;;J
009.1;Tagesstätte Lebensfreude;Neußer Straße;28;;;52441;Linnich-Kofferen;;J
