zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52399;Aachener Straße;1;25;2;76;Golzheim;005;;;90
52399;Ahrburg;;;0;0;Golzheim;005;;;90
52399;Akazienstraße;;;2;16;Merzenich;002;;;90
52399;Altwerk;3;7;2;16;Girbelsrath;006;;;90
52399;Am Alten Sportplatz;1;81;2;66;Merzenich;004;;;90
52399;Am Berghof;5;11;2;8;Morschenich-Neu;007;;;90
52399;Am Buschfeld;1;7;;;Girbelsrath;006;;;90
52399;Am Denkers Weg;3;17;4;22;Golzheim;005;;;90
52399;Am Fronhof;1;49;2;26;Girbelsrath;006;;;90
52399;Am Hahn;3;11;2;8;Girbelsrath;006;;;90
52399;Am Hüttenhof;1;1;2;10;Golzheim;005;;;90
52399;Am Kamp;7;11;;;Morschenich;007;;;90
52399;Am Molder;1;11;2;20;Girbelsrath;006;;;90
52399;Am Olligsmaar;1;25;2;28;Merzenich;004;;;90
52399;Am Roßpfad;7;7;;;Girbelsrath;006;;;90
52399;Am Stein;1;31;2;32;Merzenich;004;;;90
52399;Am Tiefenthal;1;25;6;16;Merzenich;002;;;90
52399;Am Wenauer Hof;1;33;2;32;Golzheim;005;;;90
52399;An der Elle;3;19;2;6;Merzenich;002;;;90
52399;An der Vogelrute;1;25;2;24;Merzenich;004;;;90
52399;An der Windmühle;1;29;2;80;Merzenich;002;;;90
52399;An der Wintermaar;1;21;2;20;Merzenich;002;;;90
52399;Anton-Meyer-Straße;1;33;2;20;Merzenich;001;;;90
52399;Arnoldsweilerweg;1;79;4;22;Merzenich;001;;;90
52399;Auf dem Goldacker;7;11;4;14;Morschenich;007;;;90
52399;Auf der Heide;1;41;2;38;Merzenich;003;;;90
52399;Bachstraße;1;9;10;32;Merzenich;002;;;90
52399;Bahnstraße;1;57;6;94;Merzenich;002;;;90
52399;Bauweiler Hof;;;0;0;Golzheim;005;;;90
52399;Beethovenring;1;49;2;130;Merzenich;001;;;90
52399;Bergfeldchen;3;3;4;10;Morschenich;007;;;90
52399;Bergstraße;3;33;4;50;Merzenich;003;;;90
52399;Binsfelder Straße;1;31;4;22;Girbelsrath;006;;;90
52399;Blockstelle Morschenich;;;0;0;Merzenich;007;;;90
52399;Brunnenstraße;1;15;2;14;Merzenich;003;;;90
52399;Brückenweg;1;1;;;Merzenich;001;;;90
52399;Buchenweg;1;9;2;16;Merzenich;002;;;90
52399;Buirer Straße;1;119;2;88;Golzheim;005;;;90
52399;Burgstraße;1;31;6;36;Merzenich;003;;;90
52399;Bussardweg;3;11;2;10;Merzenich;002;;;90
52399;Dechant-Fabry-Straße;3;57;2;50;Girbelsrath;006;;;90
52399;Dechant-Hochscheidt-Str.;1;19;2;14;Golzheim;005;;;90
52399;Distelrather Weg;1;1;2;10;Merzenich;002;;;90
52399;Dürener Straße;1;89;2;122;Merzenich;001;;;90
52399;Eichenstraße;1;35;2;4;Merzenich;002;;;90
52399;Ellener Straße;1;61;4;36;Morschenich;007;;;90
52399;Elsdorfer Straße;17;17;16;16;Morschenich;007;;;90
52399;Elsdorfer Weg;1;3;4;4;Morschenich-Neu;007;;;90
52399;Erlenweg;1;11;2;24;Merzenich;002;;;90
52399;Eschweilerstraße;1;1;;;Golzheim;005;;;90
52399;Falkenweg;1;51;2;30;Merzenich;002;;;90
52399;Frankenstraße;;;2;22;Merzenich;001;;;90
52399;Friedhofstraße;3;25;8;16;Girbelsrath;006;;;90
52399;Gartenstraße;3;51;2;16;Merzenich;001;;;90
52399;Gewerbering;1;19;;;Merzenich;004;;;90
52399;Goethestraße;1;7;2;8;Golzheim;005;;;90
52399;Goldacker;1;11;2;8;Morschenich-Neu;007;;;90
52399;Grünstraße;1;7;2;8;Merzenich;002;;;90
52399;Hamweg;1;25;2;12;Merzenich;004;;;90
52399;Hauptstraße;7;83;2;76;Girbelsrath;006;;;90
52399;Haus am Mühlenweg;;;0;0;Merzenich;002;;;90
52399;Herderstraße;1;19;2;12;Golzheim;005;;;90
52399;Hunsgasse;1;19;4;4;Golzheim;005;;;90
52399;Händelstraße;1;35;;;Merzenich;001;;;90
52399;Im Bergfeldchen;9;9;4;4;Morschenich-Neu;007;;;90
52399;Im Christental;1;37;2;22;Merzenich;003;;;90
52399;Im Ehrenfeld;3;9;4;36;Merzenich;002;;;90
52399;Im Hoverfeld;1;31;2;24;Golzheim;005;;;90
52399;In den Weingärten;1;123;2;76;Merzenich;004;;;90
52399;In der Lohe;1;7;4;20;Merzenich;004;;;90
52399;Jahnstraße;5;21;2;22;Merzenich;004;;;90
52399;Johann-Kaspar-Kratz-Str.;1;17;;;Golzheim;005;;;90
52399;Kammweg;1;33;2;40;Merzenich;001;;;90
52399;Kettenweg;1;11;2;10;Merzenich;002;;;90
52399;Kirchstraße;3;19;2;36;Golzheim;005;;;90
52399;Kleine Kumm;5;7;4;24;Merzenich;003;;;90
