zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57250;A.-V.-Droste-Hülshoff-Str;5;29;4;30;Dreis-Tiefenbach;081;;;148
57250;Ackerstraße;;;2;2;Frohnhausen;121;;;148
57250;Adam-Kreuz-Straße;1;13;2;12;Herzhausen;161;;;148
57250;Adolf-Kolping-Weg;1;27;2;18;Netphen;211;;;148
57250;Afferbachstraße;;;2;2;Afholderbach;011;;;148
57250;Afferbachstraße;;;2;2;Afholderbach;011;;;148
57250;Ahornweg;1;19;2;16;Deuz;041;;;148
57250;Akazienweg;5;7;2;2;Deuz;041;;;148
57250;Albert-Irle-Straße;1;7;4;8;Deuz;051;;;148
57250;Albert-Klenner-Straße;3;15;2;10;Salchendorf;241;;;148
57250;Alexander-Vollmer-Straße;1;7;4;8;Netphen;201;;;148
57250;Allenbacher Straße;1;15;2;24;Eckmannshausen;101;;;148
57250;Alte-Burg-Straße;1;23;2;24;Eschenbach;111;;;148
57250;Alterbachstraße;5;5;;;Afholderbach;011;;;148
57250;Altwiese;9;9;2;10;Netphen;201;;;148
57250;Am Bahnhof;3;15;2;2;Hainchen;281;;;148
57250;Am Berg;3;13;2;10;Unglinghausen;261;;;148
57250;Am Bernstein;;;18;18;Netphen;211;;;148
57250;Am Birkenrain;3;27;2;28;Eschenbach;111;;;148
57250;Am Bornacker;1;1;;;Oelgershausen;231;;;148
57250;Am Botschert;3;11;8;28;Werthenbach;281;;;148
57250;Am Brünkel;3;3;6;6;Afholderbach;011;;;148
57250;Am Burgrain;;;6;6;Dreis-Tiefenbach;061;;;148
57250;Am Bösen Born;1;11;2;16;Netphen;221;;;148
57250;Am Bühlskopf;1;1;;;Nenkersdorf;181;;;148
57250;Am Eiersberg;7;27;10;34;Salchendorf;241;;;148
57250;Am Freibad;;;2;2;Deuz;051;;;148
57250;Am Gottstuhl;1;17;6;6;Herzhausen;161;;;148
57250;Am Hainberg;1;1;;;Oelgershausen;231;;;148
57250;Am Hang;5;9;8;14;Brauersdorf;031;;;148
57250;Am Heller;5;27;2;2;Werthenbach;281;;;148
57250;Am Hewig;7;19;2;24;Salchendorf;241;;;148
57250;Am Hubertushain;7;13;2;8;Eckmannshausen;101;;;148
57250;Am Hömberg;1;23;2;32;Frohnhausen;121;;;148
57250;Am Hügel;1;7;20;20;Brauersdorf;031;;;148
57250;Am Hüttenwald;1;9;2;14;Eckmannshausen;101;;;148
57250;Am Kirchrain;1;5;2;4;Netphen;211;;;148
57250;Am Knebelchen;;;2;10;Grissenbach;131;;;148
57250;Am Leielchen;3;3;8;12;Brauersdorf;031;;;148
57250;Am Liesch;5;23;;;Dreis-Tiefenbach;091;;;148
57250;Am Lindenhof;1;29;2;32;Irmgarteichen;171;;;148
57250;Am Löhchen;3;5;6;8;Werthenbach;281;;;148
57250;Am Mühlenrain;1;5;2;6;Irmgarteichen;171;;;148
57250;Am Rödchen;;;6;10;Sohlbach;251;;;148
57250;Am Schieferstein;3;23;2;16;Walpersdorf;271;;;148
57250;Am Sonnenhang;1;27;2;16;Eschenbach;111;;;148
57250;Am Sportplatz;1;7;4;4;Hainchen;141;;;148
57250;Am Steinacker;3;15;4;26;Grissenbach;131;;;148
57250;Am Waldhang;1;41;2;12;Eckmannshausen;101;;;148
57250;Am Wasser;;;6;6;Eschenbach;111;;;148
57250;Am Wolfshain;1;13;2;14;Netphen;191;;;148
57250;Am Wurmel;1;53;2;8;Beienbach;021;;;148
57250;Am alten Hain;1;7;2;10;Unglinghausen;261;;;148
57250;Amselweg;;;2;6;Irmgarteichen;171;;;148
57250;Amtsstraße;9;13;2;10;Netphen;211;;;148
57250;An der Dreisbach;27;41;4;42;Herzhausen;161;;;148
