zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
53947;Ahestraße;1;25;6;20;Engelgau;03.0;;;92
53947;Ahornstraße;7;7;2;8;Bouderath;01.0;;;92
53947;Akazienstraße;5;15;2;20;Tondorf;10.0;;;92
53947;Alte Burg;3;51;2;46;Nettersheim;07.0;;;92
53947;Alte Gasse;1;9;10;12;Frohngau;04.0;;;92
53947;Altes Pastorat;1;13;2;14;Zingsheim;11.0;;;92
53947;Am Bruchpütz;5;11;;;Tondorf;10.0;;;92
53947;Am Joelper;7;27;2;28;Tondorf;10.0;;;92
53947;Am Kirchberg;3;9;4;6;Nettersheim;07.0;;;92
53947;Am Kuhbach;;;8;10;Frohngau;04.0;;;92
53947;Am Marxkreuz;1;7;2;2;Nettersheim;07.0;;;92
53947;Am Münsterweg;;;18;18;Tondorf;10.0;;;92
53947;Am Pfarrgarten;3;5;;;Marmagen;06.0;;;92
53947;Am Quartbach;1;1;2;2;Pesch;08.0;;;92
53947;Am Silberberg;1;19;2;16;Holzmülheim;05.0;;;92
53947;Am Staffenberg;5;5;4;6;Frohngau;04.0;;;92
53947;Am Steinacker;3;21;2;16;Buir;02.0;;;92
53947;Am Trinkpütz;1;9;2;14;Marmagen;06.0;;;92
53947;Am alten Amt;1;1;;;Zingsheim;11.0;;;92
53947;An der Dreispitz;1;39;2;8;Zingsheim;11.0;;;92
53947;An der Held;1;7;4;18;Tondorf;10.0;;;92
53947;An der Kaul;;;2;2;Roderath;09.0;;;92
53947;An der Ley;5;5;2;10;Roderath;09.0;;;92
53947;An der Zehntscheuer;5;5;4;6;Frohngau;04.0;;;92
53947;Auf Aelenpesch;5;5;2;2;Tondorf;10.0;;;92
53947;Auf Bennfeld;1;9;2;16;Nettersheim;07.0;;;92
53947;Auf Giesert;;;0;0;Holzmülheim;05.0;;;92
53947;Auf Glöckerszaun;1;1;6;6;Tondorf;10.0;;;92
53947;Auf Helwen;1;27;6;18;Zingsheim;11.0;;;92
53947;Auf Langenfeld;1;1;;;Roderath;09.0;;;92
53947;Auf dem Büchel;3;21;4;22;Nettersheim;07.0;;;92
53947;Auf dem Hielig;1;51;2;32;Nettersheim;07.0;;;92
53947;Auf dem Nippes;1;5;4;10;Marmagen;06.0;;;92
53947;Auf dem Rübkamp;9;11;4;32;Tondorf;10.0;;;92
53947;Auf dem Stucks;1;43;2;44;Pesch;08.0;;;92
53947;Auf den Höfen;1;3;2;4;Marmagen;06.0;;;92
53947;Auf der Aerk;1;9;2;6;Nettersheim;07.0;;;92
53947;Auf der Greuß;;;2;4;Frohngau;04.0;;;92
53947;Auf der Heide;9;17;;;Zingsheim;11.0;;;92
53947;Auf der Jücht;1;43;2;36;Pesch;08.0;;;92
53947;Auf der Kumm;1;13;2;22;Frohngau;04.0;;;92
53947;Backesgasse;;;2;2;Buir;02.0;;;92
53947;Bahnhofstraße;1;73;4;98;Nettersheim;07.0;;;92
53947;Bahrhaus;1;13;2;12;Marmagen;06.0;;;92
53947;Bergstraße;1;25;4;30;Nettersheim;07.0;;;92
53947;Binzweg;3;15;2;16;Tondorf;10.0;;;92
53947;Birkenheck;;;0;0;Frohngau;04.0;;;92
53947;Birkenhecker Straße;1;25;2;28;Frohngau;04.0;;;92
53947;Birkenstraße;1;1;2;2;Bouderath;01.0;;;92
53947;Blankenheimer Straße;3;27;2;24;Nettersheim;07.0;;;92
53947;Bouderather Straße;3;27;4;26;Roderath;09.0;;;92
53947;Brucher Weg;1;1;;;Holzmülheim;05.0;;;92
53947;Brunnenstraße;1;17;8;14;Zingsheim;11.0;;;92
53947;Brückweg;1;25;4;6;Tondorf;10.0;;;92
53947;Buchenstraße;1;15;2;8;Engelgau;03.0;;;92
53947;Buirer Straße;3;3;2;18;Frohngau;04.0;;;92
53947;Bungertweg;1;1;;;Frohngau;04.0;;;92
53947;Burg Engelgau;;;0;0;Engelgau;03.0;;;92
53947;Burggasse;7;21;2;30;Pesch;08.0;;;92
53947;Burgstraße;1;13;2;18;Marmagen;06.0;;;92
53947;Buschgasse;3;19;2;22;Marmagen;06.0;;;92
53947;Büchelstraße;1;1;2;6;Bouderath;01.0;;;92
53947;Dahlienstraße;1;9;2;10;Engelgau;03.0;;;92
53947;Dohlenstraße;1;9;2;4;Engelgau;03.0;;;92
53947;Drosselweg;1;9;6;6;Tondorf;10.0;;;92
53947;Dürener Straße;1;55;2;50;Engelgau;03.0;;;92
53947;Efeustraße;1;1;6;8;Frohngau;04.0;;;92
53947;Eichenstraße;3;5;;;Engelgau;03.0;;;92
53947;Engelgauer Weg;5;21;2;26;Nettersheim;07.0;;;92
53947;Engelsgasse;1;5;2;10;Engelgau;03.0;;;92
53947;Erftstraße;3;35;6;36;Holzmülheim;05.0;;;92
53947;Euskirchener Straße;3;53;2;50;Tondorf;10.0;;;92
53947;Falkenberger Straße;5;41;2;34;Tondorf;10.0;;;92
53947;Finkenweg;7;35;2;50;Marmagen;06.0;;;92
53947;Fliederstraße;3;11;2;12;Buir;02.0;;;92
53947;Formegey;7;19;2;14;Zingsheim;11.0;;;92
53947;Frankenstraße;3;59;2;76;Marmagen;06.0;;;92
53947;Frohngauer Straße;1;9;2;10;Engelgau;03.0;;;92
53947;Gartenstraße;3;3;2;6;Marmagen;06.0;;;92
53947;Geisbusch;3;3;;;Zingsheim;11.0;;;92
53947;Genfbachstraße;5;15;2;16;Nettersheim;07.0;;;92
53947;Gew.-Gebiet Zingsheim-Süd;35;47;;;Zingsheim;11.0;;;92
53947;Gildenstraße;7;7;2;10;Marmagen;06.0;;;92
53947;Goldgasse;1;15;2;8;Engelgau;03.0;;;92
53947;Grabenweg;3;13;4;16;Nettersheim;07.0;;;92
53947;Grafschaftsgasse;1;17;2;22;Nettersheim;07.0;;;92
53947;Greußstraße;1;23;4;20;Frohngau;04.0;;;92
53947;Hardtstraße;1;47;2;40;Bouderath;01.0;;;92
53947;Hardtweg;1;1;2;2;Holzmülheim;05.0;;;92
53947;Hasenweg;1;9;10;10;Nettersheim;07.0;;;92
53947;Heideweg;1;15;4;16;Marmagen;06.0;;;92
53947;Heldweg;3;3;10;10;Bouderath;01.0;;;92
53947;Helterstraße;1;23;2;26;Frohngau;04.0;;;92
53947;Hermann-Löns-Weg;3;3;;;Marmagen;06.0;;;92
53947;Hilbergartenstraße;1;1;2;8;Roderath;09.0;;;92
53947;Himbergstraße;7;41;2;22;Engelgau;03.0;;;92
53947;Hinter dem Zaun;3;17;2;20;Frohngau;04.0;;;92
53947;Hirschberg;;;0;0;Zingsheim;11.0;;;92
53947;Hofackerstraße;1;17;4;18;Tondorf;10.0;;;92
53947;Holzgasse;1;3;2;10;Frohngau;04.0;;;92
53947;Holzmülheimer Straße;1;23;2;24;Frohngau;04.0;;;92
53947;Hornstraße;1;21;2;18;Frohngau;04.0;;;92
53947;Hubertusstraße;1;19;2;24;Nettersheim;07.0;;;92
53947;Höhenweg;7;57;2;56;Nettersheim;07.0;;;92
53947;Im Auel;1;9;2;14;Marmagen;06.0;;;92
53947;Im Blumental;1;3;4;6;Marmagen;06.0;;;92
53947;Im Brühl;1;7;8;10;Tondorf;10.0;;;92
53947;Im Falter;3;21;4;8;Frohngau;04.0;;;92
53947;Im Heuert;1;13;6;20;Holzmülheim;05.0;;;92
53947;Im Weinfeld;1;5;2;8;Bouderath;01.0;;;92
53947;Im Wiesengrund;1;7;2;8;Marmagen;06.0;;;92
53947;In den Heiden;9;15;6;14;Tondorf;10.0;;;92
53947;In den Sechs Morgen;1;25;4;20;Nettersheim;07.0;;;92
53947;Industriestraße;1;15;;;Nettersheim;07.0;;;92
53947;Jagdhaus;;;0;0;Holzmülheim;05.0;;;92
53947;Jagdhaus Mürel;;;0;0;Frohngau;04.0;;;92
53947;Jahnstraße;1;9;10;12;Marmagen;06.0;;;92
53947;Jakob-Kneip-Straße;1;41;6;46;Pesch;08.0;;;92
53947;Jonas-Kreuz-Straße;1;3;;;Bouderath;01.0;;;92
53947;Jägerpfad;5;5;6;12;Marmagen;06.0;;;92
53947;Kaninhecke;;;2;4;Nettersheim;07.0;;;92
53947;Kapellenstraße;1;21;2;20;Marmagen;06.0;;;92
53947;Kartsteinhöhe;1;9;2;8;Zingsheim;11.0;;;92
53947;Keltenring;5;27;2;28;Marmagen;06.0;;;92
53947;Kirchstraße;1;27;2;30;Zingsheim;11.0;;;92
53947;Kirchweg;;;4;4;Tondorf;10.0;;;92
53947;Kirschbaumstraße;9;9;6;8;Roderath;09.0;;;92
53947;Kleingasse;3;31;2;32;Nettersheim;07.0;;;92
53947;Klingelbendchen;1;7;6;6;Marmagen;06.0;;;92
53947;Klosberg;1;19;6;16;Tondorf;10.0;;;92
53947;Klosterstraße;1;23;4;28;Nettersheim;07.0;;;92
53947;Krausstraße;7;31;4;36;Zingsheim;11.0;;;92
53947;Kreuzweg;3;3;2;2;Zingsheim;11.0;;;92
53947;Kutschweg;1;5;4;8;Pesch;08.0;;;92
53947;Kölner Straße;1;85;2;82;Marmagen;06.0;;;92
53947;Lambertusstraße;;;2;18;Tondorf;10.0;;;92
53947;Laurentiusweg;1;3;4;4;Marmagen;06.0;;;92
53947;Lindenweg;1;35;2;12;Pesch;08.0;;;92
53947;Längs Gäßchen;;;2;4;Nettersheim;07.0;;;92
53947;Lärchenstraße;1;35;2;4;Engelgau;03.0;;;92
53947;Marmagener Straße;;;2;18;Zingsheim;11.0;;;92
53947;Martinusstraße;3;29;2;26;Nettersheim;07.0;;;92
53947;Mechernicher Straße;1;25;2;22;Tondorf;10.0;;;92
53947;Meisenweg;5;23;2;22;Engelgau;03.0;;;92
53947;Milzenhäuschen;;;0;0;Marmagen;06.0;;;92
53947;Mühlenbachstraße;1;3;6;6;Engelgau;03.0;;;92
53947;Mühlenheckenstraße;1;15;2;20;Tondorf;10.0;;;92
53947;Mühlenstraße;1;31;2;36;Marmagen;06.0;;;92
53947;Mühlenweg;3;3;2;4;Holzmülheim;05.0;;;92
53947;Münstereifeler Straße;1;51;2;46;Bouderath;01.0;;;92
53947;Münstertalstraße;1;7;4;8;Roderath;09.0;;;92
53947;Nachtigallenweg;1;1;14;14;Pesch;08.0;;;92
53947;Narzissenstraße;;;2;4;Tondorf;10.0;;;92
53947;Nelkenstraße;3;3;2;8;Tondorf;10.0;;;92
53947;Nettersheimer Straße;1;15;2;12;Marmagen;06.0;;;92
53947;Neustraße;1;21;2;22;Nettersheim;07.0;;;92
53947;Nordstraße;5;41;4;52;Nettersheim;07.0;;;92
53947;Nöthener Straße;1;21;4;24;Pesch;08.0;;;92
