zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57290;;7;7;;;Neunkirchen;0051;;;148
57290;Ahornstraße;1;25;2;30;Struthütten;0021;;;148
57290;Alte Apotheke;3;3;;;Neunkirchen;0061;;;148
57290;Alte Hütte;1;5;2;2;Neunkirchen;0071;;;148
57290;Altenbergstraße;1;79;2;106;Neunkirchen;0051;;;148
57290;Altenseelbacher Weg;1;29;4;16;Altenseelbach;0031;;;148
57290;Altenseelbacher Weg;51;65;;;Altenseelbach;0031;;;148
57290;Altenseelbacher Weg;31;41;18;18;Neunkirchen;0031;;;148
57290;Alter Hohlweg;1;5;6;14;Salchendorf;0081;;;148
57290;Alter Weg;5;5;2;18;Struthütten;0011;;;148
57290;Alter Weg;;5;2;18;Struthütten;0011;;;148
57290;Am Alten Sportplatz;1;7;2;6;Struthütten;0011;;;148
57290;Am Altenberg;1;17;2;18;Struthütten;0011;;;148
57290;Am Birkenwald;1;3;2;2;Salchendorf;0091;;;148
57290;Am Bohnenbaum;1;5;2;6;Salchendorf;0081;;;148
57290;Am Bähnchen;1;15;2;22;Struthütten;0011;;;148
57290;Am Flur;1;29;2;20;Neunkirchen;0031;;;148
57290;Am Hammergraben;1;21;2;14;Wiederstein;0141;;;148
57290;Am Hang;1;7;2;16;Neunkirchen;0061;;;148
57290;Am Heckengarten;1;7;2;8;Zeppenfeld;0131;;;148
57290;Am Hellerberg;;;14B;14B;Altenseelbach;0041;;;148
57290;Am Hellerberg;;;4;14;Neunkirchen;0051;;;148
57290;Am Hirtengarten;1;15;2;30;Salchendorf;0081;;;148
57290;Am Hirtengarten;21;23;;;Neunkirchen;0061;;;148
57290;Am Hohen Rain;1;1;4;14;Zeppenfeld;0121;;;148
57290;Am Kalk;1;7;2;26;Neunkirchen;0071;;;148
57290;Am Kindergarten;5;5;;;Struthütten;0011;;;148
57290;Am Kirchweg;1;1;;;Neunkirchen;0121;;;148
57290;Am Kirchweg;;;2;26;Neunkirchen;0071;;;148
57290;Am Kirchweg;;;28;28;Zeppenfeld;0071;;;148
57290;Am Kirchweg;7;85;30;106;Zeppenfeld;0121;;;148
57290;Am Kramberg;1;7;;;Salchendorf;0081;;;148
57290;Am Landmann;1;13;2;10;Salchendorf;0101;;;148
57290;Am Leyhof;3;7;6;16;Neunkirchen;0051;;;148
