zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52385;Abendener Straße;3;39;2;42;Nideggen;7.0;;;90
52385;Alte Schulstraße;27;49;12;36;Nideggen;3.0;;;90
52385;Alveradisstraße;1;3;;;Nideggen;7.0;;;90
52385;Am Breidel;;;2;2;Nideggen;3.0;;;90
52385;Am Dorfplatz;3;3;;;Nideggen;2.0;;;90
52385;Am Eisernen Kreuz;3;31;2;46;Nideggen;6.0;;;90
52385;Am Feldpütz;1;5;2;8;Nideggen;9.0;;;90
52385;Am Grünen Weg;1;33;2;24;Nideggen;6.0;;;90
52385;Am Grünland;;;2;2;Nideggen;9.0;;;90
52385;Am Juch;1;1;;;Nideggen;1.0;;;90
52385;Am Kallweg;1;35;2;26;Nideggen;6.0;;;90
52385;Am Kleinen Wald;1;13;4;4;Nideggen;9.0;;;90
52385;Am Kloster;1;5;4;4;Nideggen;7.0;;;90
52385;Am Mausauel;1;15;2;22;Nideggen;5.0;;;90
52385;Am Roßberg;23;23;;;Nideggen;1.0;;;90
52385;Am Scheid;3;11;4;12;Nideggen;7.0;;;90
52385;Am Scheidbaum;3;13;2;6;Nideggen;8.0;;;90
52385;Am Tierpütz;1;21;2;26;Nideggen;8.0;;;90
52385;Am Weiher;1;15;4;42;Nideggen;9.0;;;90
52385;Am Zäunchen;1;11;4;18;Nideggen;8.0;;;90
52385;Amselweg;5;23;4;16;Nideggen;3.0;;;90
52385;An den Eichen;7;33;2;32;Nideggen;5.0;;;90
52385;An der Lehmgasse;3;13;6;8;Nideggen;4.0;;;90
52385;An der Stadtmauer;1;1;2;2;Nideggen;7.0;;;90
52385;Auf dem Bühl;1;15;;;Nideggen;1.0;;;90
52385;Auf dem Hilkenrath;7;15;4;40;Nideggen;1.0;;;90
52385;Auf dem Sand;1;31;2;2;Nideggen;3.0;;;90
52385;Auf dem Schildchen;3;13;2;12;Nideggen;1.0;;;90
52385;Auf der Erdmaar;13;61;2;42;Nideggen;7.0;;;90
52385;Auf der Gries;1;11;;;Nideggen;3.0;;;90
52385;Auf der Heide;1;21;4;28;Nideggen;4.0;;;90
52385;Auf der Komm;1;35;2;38;Nideggen;2.0;;;90
52385;Bachstraße;3;15;4;18;Nideggen;4.0;;;90
52385;Bahnhofstraße;1;37;2;24;Nideggen;7.0;;;90
52385;Barbarastraße;1;17;4;24;Nideggen;3.0;;;90
52385;Beethovenweg;1;7;4;10;Nideggen;6.0;;;90
52385;Berger Acker;1;69;4;62;Nideggen;7.0;;;90
52385;Berger Weg;;;4;8;Nideggen;1.0;;;90
52385;Bergstraße;3;41;2;44;Nideggen;8.0;;;90
52385;Berrefeldweg;1;15;2;40;Nideggen;1.0;;;90
52385;Bewersgasse;;;4;4;Nideggen;7.0;;;90
52385;Bewersgraben;;;2;4;Nideggen;7.0;;;90
52385;Blenser Straße;3;27;2;20;Nideggen;1.0;;;90
52385;Boicher Weg;1;39;2;42;Nideggen;5.0;;;90
