zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52382;Aachener Str.;7;117;2;110;Krauthausen;10.1;;;90
52382;Adenauerweg;1;17;2;16;Niederzier;8.0;;;90
52382;Alte Ziegelei;;;2;26;Oberzier;5.0;;;90
52382;Am Alten Bahnhof;1;17;2;20;Krauthausen;10.1;;;90
52382;Am Bilderstock;1;11;2;12;Krauthausen;10.1;;;90
52382;Am Grauen Stein;1;17;2;18;Niederzier;6.0;;;90
52382;Am Jugendverkehrsgarten;155;159;154;158;Hambach;9.0;;;90
52382;Am Mühlenteich;1;9;2;12;Krauthausen;10.1;;;90
52382;Am Roten Berg;3;25;6;12;Niederzier;7.0;;;90
52382;Am Sophienhof;1;33;2;8;Oberzier;5.0;;;90
52382;Am Sportplatz;1;35;2;36;Oberzier;3.0;;;90
52382;Am Weiherhof;1;31;4;30;Oberzier;5.0;;;90
52382;Amselweg;1;7;2;6;Niederzier;8.0;;;90
52382;An der Burg;1;5;;;Selhausen;10.2;;;90
52382;An der Elle;1;33;2;16;Hambach;9.0;;;90
52382;An der Maar;1;13;;;Niederzier;6.0;;;90
52382;An der Süle;1;25;22;24;Huchem-Stammeln;13.0;;;90
52382;Arnoldsweilerstr.;1;9;6;10;Ellen;1.0;;;90
52382;Auestrasse;1;87;2;108;Niederzier;6.0;;;90
52382;Auf dem Kamp;1;33;2;12;Niederzier;6.0;;;90
52382;Auf der Kluse;1;35;2;40;Niederzier;8.0;;;90
52382;Bachems Gasse;;;20;24;Ellen;1.0;;;90
52382;Bachstr.;3;233;2;234;Hambach;9.0;;;90
52382;Bahnhofstr.;1;79;2;80;Huchem-Stammeln;13.0;;;90
52382;Bahnhofstr.;81;131;86;98;Huchem-Stammeln;12.0;;;90
52382;Barbarastr.;3;11;4;20;Oberzier;3.0;;;90
52382;Beethovenstr.;1;21;4;30;Niederzier;8.0;;;90
52382;Bendenweg;1;9;4;22;Oberzier;5.0;;;90
52382;Berg;1;49;2;48;Niederzier;8.0;;;90
52382;Bergstr.;1;21;2;22;Ellen;1.0;;;90
52382;Berliner Str.;1;5;2;8;Huchem-Stammeln;12.0;;;90
52382;Breite Str.;1;37;2;60;Niederzier;7.0;;;90
52382;Broisterdstr.;3;39;2;50;Oberzier;3.0;;;90
52382;Buchenweg;5;37;2;56;Huchem-Stammeln;13.0;;;90
52382;Burg Obbendorf;;;0;0;Hambach;9.0;;;90
52382;Burgstr.;1;59;2;102;Ellen;1.0;;;90
52382;Dorfplatz;1;49;4;32;Oberzier;3.0;;;90
52382;Dorfstr.;5;23;2;10;Selhausen;10.2;;;90
