zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
52388;Ackerstraße;3;3;2;4;Eschweiler Über Feld;10.0;;;90
52388;Ahremer Gasse;3;3;2;10;Gemeindeteil Pingsheim;06.0;;;90
52388;Albert-Schweitzer-Straße;1;27;2;40;Gemeindeteil Binsfeld;13.0;;;90
52388;Alfons-Keever-Straße;1;51;4;62;Gemeindeteil Pingsheim;06.0;;;90
52388;Alter Buntwolf;1;17;2;22;Eschweiler Über Feld;10.0;;;90
52388;Alter Kirchpfad;1;9;4;10;Eschweiler Über Feld;10.0;;;90
52388;Am Annahof;1;1;0;0;Nörvenich;01.0;;;90
52388;Am Bräucher;1;39;2;34;Gemeindeteil Pingsheim;06.0;;;90
52388;Am Burgacker;1;7;2;16;Gemeindeteil Binsfeld;13.0;;;90
52388;Am Fließ;3;5;2;14;Gemeindeteil Rath;07.0;;;90
52388;Am Flutgraben;1;15;2;10;Eschweiler Über Feld;10.0;;;90
52388;Am Fußfall;;;4;6;Gemeindeteil Hochkirchen;04.2;;;90
52388;Am Hof;1;3;2;2;Gemeindeteil Binsfeld;13.0;;;90
52388;Am Kallenberg;1;33;2;36;Gemeindeteil Wissersheim;08.0;;;90
52388;Am Kreuzberg;1;9;2;14;Nörvenich;02.1;;;90
52388;Am Königsforst;1;7;2;6;Eschweiler Über Feld;10.0;;;90
52388;Am Lindenkreuz;5;7;2;6;Eschweiler Über Feld;10.0;;;90
52388;Am Mohlenpfad;3;31;2;24;Gemeindeteil Binsfeld;13.0;;;90
52388;Am Ringsheimer Hof;1;5;2;2;Eschweiler Über Feld;10.0;;;90
52388;Am Wallgraben;1;21;14;20;Nörvenich;02.1;;;90
52388;Am Weierschleiden;;;0;0;Nörvenich;04.1;;;90
52388;An Johannes Junker;;;2;32;Nörvenich;05.0;;;90
52388;An den Obstwiesen;1;19;10;10;Gemeindeteil Poll;09.1;;;90
52388;An den Sonnengärten;1;89;2;32;Gemeindeteil Wissersheim;08.0;;;90
52388;An der Esche;1;3;2;10;Eschweiler Über Feld;10.0;;;90
52388;An der Goldkaul;;;2;2;Gemeindeteil Irresheim;04.3;;;90
52388;An der Gärtnerei;1;13;4;8;Gemeindeteil Poll;09.1;;;90
52388;An der Marienkapelle;1;15;2;16;Gemeindeteil Rath;07.0;;;90
