vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
05.0;Grundschule Nörvenich;Bahnhofstraße;18;;;52388;Nörvenich;;J
11.0;Kindertagesstätte Nikolaus;Marienstr.;2;;;52388;Nörvenich;;J
09.1;Alte Schule Poll;Petrusstr.;5;;;52388;Nörvenich;;N
07.0;Kindertagesstätte Feldmäuse;Martinstraße;5;;;52388;Nörvenich;;J
04.3;Bürgerhaus Irresheim;Eggersheimer Str.;;;;52388;Nörvenich;;J
08.0;Kindertagesstätte Kunterbunt;Frongasse;2;;;52388;Nörvenich;;J
13.0;Alte Schule Binsfeld "Raum ""Gemeinde""";Schulstraße;7;;;52388;Nörvenich;;N
06.0;Alte Schule Pingsheim;Alfons-Keever-Straße;22;;;52388;Nörvenich;;N
10.0;Albertus-Magnus-Grundschule;Josefstr.;2;;;52388;Nörvenich;;J
09.3;Festhalle am Dorfbrunnen;Kurfürstenstraße;22;;;52388;Nörvenich;;J
09.2;Schützenhaus;Zum Schützenhaus;4;;;52388;Nörvenich;;N
12.0;Vereinsheim VFK;Römerstraße;5 a;;;52388;Nörvenich;;J
04.2;Steinfelderhof;Steinfelderhof;;;;52388;Nörvenich;;J
02.2;Sportheim SV Nörvenich;Oberbohlheimer Straße;3;;;52388;Nörvenich;;J
01.0;Grundschule Nörvenich;Bahnhofstraße;18;;;52388;Nörvenich;;J
02.1;Grundschule Nörvenich;Bahnhofstraße;18;;;52388;Nörvenich;;J
03.0;Grundschule Nörvenich;Bahnhofstraße;18;;;52388;Nörvenich;;J
04.1;Grundschule Nörvenich;Bahnhofstraße;18;;;52388;Nörvenich;;J
