zip;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
57462;Agathastraße;3;3;4;8;Olpe;002.1;;;149
57462;Ahornweg;1;55;2;26;Olpe;007.1;;;149
57462;Albert-Schweitzer-Weg;1;9;2;6;Olpe;004.1;;;149
57462;Aloys-Drilling-Straße;1;9;2;8;Rüblinghausen;012.1;;;149
57462;Alte Landstraße;1;47;10;36;Rhode;017.1;;;149
57462;Altenkleusheimer Straße;1;19;4;24;Altenkleusheim;015.1;;;149
57462;Alter Kirchweg;7;23;2;14;Thieringhausen;016.2;;;149
57462;Am Alten Freibad;;;8;8;Lütringhausen;016.1;;;149
57462;Am Alten Schulwald;1;15;4;28;Altenkleusheim;015.1;;;149
57462;Am Attenberg;1;21;2;20;Olpe;006.1;;;149
57462;Am Bahnhof;3;3;;;Olpe;002.1;;;149
57462;Am Baukhahn;1;21;2;24;Rhode;017.1;;;149
57462;Am Baumhof;1;1;2;2;Rehringhausen;014.1;;;149
57462;Am Bergelchen;3;9;2;10;Saßmicke;012.2;;;149
57462;Am Beul;1;15;2;4;Saßmicke;012.2;;;149
57462;Am Biggeufer;5;7;;;Olpe;002.1;;;149
57462;Am Bratzkopf;1;61;2;44;Olpe;001.1;;;149
57462;Am Buchhagen;1;5;4;18;Dahl;013.1;;;149
57462;Am Dorfring;1;15;2;22;Rehringhausen;014.1;;;149
57462;Am Finkenhagen;3;17;;;Olpe;002.1;;;149
57462;Am Gallenberg;1;13;2;30;Olpe;009.1;;;149
57462;Am Großen Stück;3;3;;;Thieringhausen;016.2;;;149
57462;Am Gärk;1;17;10;14;Eichhagen;018.1;;;149
57462;Am Göterberg;1;25;4;24;Oberveischede;019.2;;;149
57462;Am Hafen;1;1;;;Sondern;018.1;;;149
57462;Am Hang;1;27;2;26;Olpe;001.1;;;149
57462;Am Hummelsberg;1;9;8;18;Rhode;017.1;;;149
57462;Am Kapellenberg;3;11;2;14;Lütringhausen;016.1;;;149
57462;Am Kattenhagen;1;5;2;14;Olpe;009.1;;;149
57462;Am Knapp;5;25;2;20;Oberveischede;019.2;;;149
57462;Am Knebrige;1;11;2;4;Neuenkleusheim;015.2;;;149
57462;Am Kornstück;1;11;2;12;Waukemicke;017.1;;;149
57462;Am Kreuzberg;5;19;2;12;Rhode;017.1;;;149
57462;Am Längelscheid;5;9;2;22;Oberveischede;019.2;;;149
57462;Am Löh;;;2;6;Oberneger;019.1;;;149
57462;Am Löhbach;3;7;;;Saßmicke;012.2;;;149
57462;Am Markt;1;3;4;4;Olpe;002.1;;;149
57462;Am Mühlenpfad;5;5;;;Unterneger;019.1;;;149
57462;Am Mühlenteich;1;15;6;8;Olpe;006.1;;;149
57462;Am Oberen Stötchen;5;15;4;30;Olpe;003.1;;;149
57462;Am Obsthof;1;3;2;6;Thieringhausen;016.2;;;149
57462;Am Ochsenhagen;1;11;2;4;Rehringhausen;014.1;;;149
57462;Am Poschefeuer;31;37;50;60;Olpe;001.1;;;149
57462;Am Rennenberg;1;25;2;22;Oberveischede;019.2;;;149
57462;Am Reygelskamp;11;57;2;54;Rhode;017.1;;;149
57462;Am Rhoder Stein;1;25;2;18;Rhode;017.1;;;149
57462;Am Rüenberg;1;1;;;Unterneger;019.1;;;149
57462;Am Schilde;1;9;34;34;Rüblinghausen;012.1;;;149
57462;Am Siepen;;;4;14;Lütringhausen;016.1;;;149
57462;Am Sonderner Kopf;3;3;;;Sondern;018.1;;;149
57462;Am Sonnenhang;7;7;2;8;Olpe;011.1;;;149
57462;Am Sprint;1;9;2;10;Griesemert;017.1;;;149
57462;Am Stachelauer Berg;1;11;;;Stachelau;014.1;;;149
57462;Am Stötchen;3;17;8;8;Olpe;003.1;;;149
57462;Am Vogelsang;1;1;2;2;Stade;018.1;;;149
57462;Am Windhagen;3;9;2;10;Saßmicke;012.2;;;149
57462;Am Winterschott;;;2;12;Stachelau;014.1;;;149
57462;An den Eichen;1;7;2;6;Olpe;001.1;;;149
57462;An den Fichten;1;7;2;2;Eichhagen;018.1;;;149
57462;An den Hässeln;3;3;4;4;Oberveischede;019.2;;;149
57462;An den Klippen;5;23;4;30;Olpe;002.1;;;149
57462;An den Stöcken;;;2;2;Oberneger;019.1;;;149
57462;An den Weiden;3;11;4;16;Saßmicke;012.2;;;149
57462;An der Baumschule;1;29;2;20;Rhode;017.1;;;149
57462;An der Broke;3;9;6;18;Lütringhausen;016.1;;;149
57462;An der Eichhardt;1;59;4;64;Olpe;007.1;;;149
57462;An der Höh;1;5;4;8;Thieringhausen;016.2;;;149
57462;An der Hütte;1;3;;;Oberveischede;019.2;;;149
57462;An der Nußhecke;1;11;2;8;Neuenkleusheim;015.2;;;149
57462;An der Pettmecke;1;3;;;Eichhagen;018.1;;;149
57462;An der Schingerskuhle;1;11;2;16;Olpe;001.1;;;149
57462;An der Vogelrute;1;27;10;22;Rhode;017.1;;;149
57462;Ankerweg;1;7;2;8;Sondern;018.1;;;149
57462;Anne-Frank-Weg;1;11;4;8;Olpe;010.1;;;149
57462;Apollmicke;1;3;;;Apollmicke;019.2;;;149
57462;Apolloniaweg;1;3;2;4;Waukemicke;017.1;;;149
57462;Apolloniaweg;;;14;14;Waukemicke;017.1;;;149
57462;Apolloniaweg;;;6;8;Griesemert;017.1;;;149
57462;Attendorner Straße;9;13;10;10;Oberveischede;019.2;;;149
57462;Auf dem Daum;13;27;28;44;Altenkleusheim;015.1;;;149
57462;Auf dem Eben;1;19;;;Rhode;017.1;;;149
57462;Auf dem Gallenberg;1;17;2;6;Olpe;009.1;;;149
57462;Auf dem Kamp;1;7;2;12;Rhode;017.1;;;149
57462;Auf der Burg;7;13;2;34;Altenkleusheim;015.1;;;149
57462;Auf der Ennert;3;35;2;42;Thieringhausen;016.2;;;149
57462;Auf der Fohrt;1;7;2;2;Olpe;009.1;;;149
57462;Auf der Griesemert;1;35;20;20;Griesemert;017.1;;;149
57462;Auf der Kirmes;1;7;4;4;Rhode;017.1;;;149
57462;Auf der Leie;3;13;2;22;Altenkleusheim;015.1;;;149
57462;Auf der Mauer;3;7;4;8;Olpe;002.1;;;149
57462;Auf der Wohrt;1;9;4;16;Thieringhausen;016.2;;;149
57462;Auf'm Born;1;5;2;8;Unterneger;019.1;;;149
57462;Auf'm Brauk;3;7;2;14;Lütringhausen;016.1;;;149
57462;Auf'm Zänker;3;5;;;Neuenkleusheim;015.2;;;149
57462;Auguste-Liese-Straße;1;29;2;34;Olpe;002.1;;;149
57462;Bachweg;1;7;;;Dahl;013.1;;;149
57462;Bahnhofstraße;3;11;2;16;Olpe;002.1;;;149
57462;Barbaraweg;1;7;4;6;Lütringhausen;016.1;;;149
57462;Beismicke;9;9;2;6;Neuenkleusheim;015.2;;;149
57462;Bergstraße;23;47;6;68;Olpe;006.1;;;149
57462;Bibicke;1;3;;;Friedrichsthal;013.1;;;149
57462;Biggestraße;13;43;16;82;Olpe;001.1;;;149
57462;Biggestraße;45;85;84;120;Rüblinghausen;012.1;;;149
57462;Bilsteiner Straße;11;11;2;16;Olpe;009.1;;;149
57462;Birkenweg;3;19;2;24;Olpe;007.1;;;149
57462;Bodelschwinghstraße;11;43;2;40;Olpe;004.1;;;149
57462;Brabeckstraße;1;41;2;30;Olpe;008.1;;;149
57462;Bramicke;3;21;2;12;Neuenkleusheim;015.2;;;149
57462;Breikelchen;;;4;16;Sondern;018.1;;;149
57462;Bremer Stück;1;1;2;2;Altenkleusheim;015.1;;;149
57462;Breslauer Straße;3;23;6;36;Olpe;010.1;;;149
57462;Bruch;1;1;;;Bruch;015.1;;;149
57462;Bruchstraße;13;63;18;110;Olpe;003.1;;;149
57462;Bruchstraße;11;11;2;16;Olpe;005.1;;;149
57462;Brumicker Weg;1;33;4;24;Altenkleusheim;015.1;;;149
57462;Buchenweg;1;35;2;40;Olpe;007.1;;;149
57462;Caspar-Klein-Weg;1;11;2;8;Rhode;017.1;;;149
57462;Christophorusweg;1;9;12;12;Günsen;016.2;;;149
57462;Clemens-Brentano-Straße;3;15;2;22;Olpe;011.1;;;149
57462;Dahler Straße;1;11;4;18;Friedrichsthal;013.1;;;149
57462;Dahler Straße;;;18A;18A;Dahl;013.1;;;149
57462;Dahler Straße;13;71;20;72;Dahl;013.1;;;149
57462;Danziger Straße;1;3;;;Olpe;011.1;;;149
57462;Dohlenweg;1;5;2;2;Olpe;001.1;;;149
57462;Don-Bosco-Weg;1;5;;;Olpe;006.1;;;149
57462;Dorfstraße;7;23;12;18;Lütringhausen;016.1;;;149
57462;Dornröschenweg;1;3;2;2;Olpe;011.1;;;149
57462;Dresdener Straße;1;31;2;48;Olpe;010.1;;;149
57462;Drosselweg;1;7;2;6;Olpe;001.1;;;149
57462;Droste-Hülshoff-Straße;1;35;2;28;Olpe;003.1;;;149
57462;Dumicker Weg;7;21;4;20;Eichhagen;018.1;;;149
57462;Dörensiepen;1;11;;;Waukemicke;017.1;;;149
57462;Düringerstraße;1;43;2;56;Olpe;001.1;;;149
57462;Düringerstraße;45;89;58;84;Rüblinghausen;012.1;;;149
57462;Ebbeblick;1;57;2;30;Olpe;001.1;;;149
57462;Edith-Stein-Weg;1;17;2;12;Olpe;010.1;;;149
57462;Eichendorffstraße;1;31;2;34;Olpe;003.1;;;149
57462;Eichhagener Straße;1;31;4;20;Eichhagen;018.1;;;149
57462;Eichhörnchenweg;11;25;2;28;Rhode;017.1;;;149
57462;Emil-von-Behring-Weg;1;7;2;16;Olpe;004.1;;;149
57462;Engelhardtstraße;3;39;2;34;Olpe;008.1;;;149
57462;Erzbergerstraße;3;23;2;14;Olpe;004.1;;;149
57462;Erzbergerstraße;25;33;24;28;Olpe;003.1;;;149
57462;Eschenweg;1;23;2;22;Olpe;007.1;;;149
57462;Eupener Straße;3;9;6;8;Olpe;002.1;;;149
57462;Fahlenscheid;3;3;2;2;Fahlenscheid;019.2;;;149
57462;Falkenweg;23;27;12;42;Olpe;001.1;;;149
57462;Falkenweg;1;11;2;10;Rüblinghausen;012.1;;;149
57462;Fasanenweg;3;9;2;12;Rüblinghausen;012.1;;;149
57462;Feldweg;5;5;2;4;Rüblinghausen;012.1;;;149
57462;Felmicke;37;51;30;48;Olpe;009.1;;;149
57462;Felmicke;1;33;6;28;Olpe;002.1;;;149
57462;Finkenstraße;1;15;;;Olpe;002.1;;;149
57462;Fliederweg;1;5;2;10;Sondern;018.1;;;149
57462;Frankenhagen;1;19;2;24;Rhode;017.1;;;149
57462;Frankfurter Straße;3;17;2;18;Olpe;002.1;;;149
57462;Franz-Heuel-Straße;3;9;2;12;Neuenkleusheim;015.2;;;149
57462;Franz-Hitze-Straße;1;9;2;18;Sondern;018.1;;;149
57462;Franz-Menke-Straße;1;21;2;12;Olpe;009.1;;;149
57462;Franziskanerstraße;5;13;4;18;Olpe;002.1;;;149
57462;Franzosenweg;1;3;2;52;Oberveischede;019.2;;;149
57462;Freusbergweg;1;31;;;Olpe;009.1;;;149
57462;Friedensweg;3;5;2;26;Dahl;013.1;;;149
57462;Friedhofsweg;1;27;2;26;Neuenkleusheim;015.2;;;149
57462;Friedrich-von-Spee-Straße;1;7;2;14;Olpe;004.1;;;149
