zip;street;number_from;;number_to;;number_variety;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
14469;Am alten Dorf;;;;;all;;1101;;;
14469;Am Heineberg;;;;;all;;1101;;;
14469;Am Phloxgarten;;;;;all;;1101;;;
14469;Am Raubfang;19;;25;;odd;;1101;;;
14469;Amselwinkel;;;;;all;;1101;;;
14469;Amundsenstr;1;;1;F;odd;;1101;;;
14469;Amundsenstr;5;;13;;odd;;1101;;;
14469;An der Vogelwiese;;;;;all;;1101;;;
14469;Breiter Weg;;;;;all;;1101;;;
14469;Florastr;38;;50;;even;;1101;;;
14469;Florastr;53;;75;;odd;;1101;;;
14469;GA Am Paretzer Kanal;21;;;;all;;1101;;;
14469;GA Kanalbrücke;;;;;all;;1101;;;
14469;GA Zum Dreieck;;;;;all;;1101;;;
14469;Gillis-Grafstrom-Str;;;;;all;;1101;;;
14469;Grüner Weg;;;;;all;;1101;;;
14469;Gutsstr;;;;;all;;1101;;;
14469;Heckenstr;1;;9;A;all;;1101;;;
14469;Hermann-Struve-Str;;;;;all;;1101;;;
14469;Hügelweg;1;;73;;odd;;1101;;;
14469;Lerchensteig;29;;55;;odd;;1101;;;
14469;Lerchensteig;44;;;;all;;1101;;;
14469;Marquardter Str;;;;;all;;1101;;;
14469;Max-Eyth-Allee;;;;;all;;1101;;;
14469;Peter-Altmann-Str;;;;;all;;1101;;;
14469;Ritterspornweg;;;;;all;;1101;;;
14469;Rückertstr;7;;34;;all;;1101;;;
14469;Schneiderweg;;;;;all;;1101;;;
14469;Schräger Weg;;;;;all;;1101;;;
14469;Verlängerte Amtsstr;;;;;all;;1101;;;
14469;Werner-Nerlich-Bogen;;;;;all;;1101;;;
14469;Am Großen Herzberg;;;;;all;;1102;;;
14469;Am Raubfang;1;;12;;all;;1102;;;
14469;Am Raubfang;16;;;;all;;1102;;;
14469;Am Windmühlenberg;;;;;all;;1102;;;
14469;Amundsenstr;13;A;27;A;odd;;1102;;;
14469;Fasanenring;;;;;all;;1102;;;
14469;Florastr;2;;32;;even;;1102;;;
14469;Florastr;5;;49;;odd;;1102;;;
14469;Gersthofweg;;;;;all;;1102;;;
14469;Golmer Chaussee;;;;;all;;1102;;;
14469;Gröbenstr;;;;;all;;1102;;;
14469;Haselnussring;;;;;all;;1102;;;
14469;Heckenstr;10;;20;;all;;1102;;;
14469;Herzbergstr;;;;;all;;1102;;;
14469;Hügelweg;2;;74;;even;;1102;;;
14469;Hugstr;;;;;all;;1102;;;
14469;Lindstedter Chaussee;;;;;all;;1102;;;
14469;Mitschurinstr;;;;;all;;1102;;;
14469;Pannenbergstr;;;;;all;;1102;;;
14469;Pomonaring;;;;;all;;1102;;;
14469;Potsdamer Str;35;;108;;all;;1102;;;
14469;Rückertstr;1;;5;C;odd;;1102;;;
14469;Rückertstr;2;;6;;even;;1102;;;
14469;Rückertstr;35;;39;B;odd;;1102;;;
14469;Rückertstr;36;;40;A;even;;1102;;;
14469;Staudenweg;;;;;all;;1102;;;
14469;Walnussring;;;;;all;;1102;;;
14469;Windmühlenweg;;;;;all;;1102;;;
14469;Zum Weizenring;;;;;all;;1102;;;
14469;Am Golfplatz;;;;;all;;1301;;;
14469;Am Vogelherd;;;;;all;;1301;;;
14469;Am Weißen See;;;;;all;;1301;;;
14469;Bienenwinkel;;;;;all;;1301;;;
14469;Eichelkamp;;;;;all;;1301;;;
14469;Fahrländer Damm;;;;;all;;1301;;;
14469;Fintelmannstr;16;;32;;even;;1301;;;
14469;Fintelmannstr;19;;33;;odd;;1301;;;
14469;Friedrich-Kunert-Weg;;;;;all;;1301;;;
14469;Fritz-Encke-Str;9;;;;all;;1301;;;
14469;GA Am Weißen See;;;;;all;;1301;;;
14469;Georg-Hermann-Allee;143;;145;;odd;;1301;;;
14469;Grenzallee;4;;4;A;all;;1301;;;
14469;Lerchensteig;2;;40;B;even;;1301;;;
14469;Lerchensteig;3;;25;A;odd;;1301;;;
14469;Luzernstr;2;;12;;even;;1301;;;
14469;Nedlitzer Holz;;;;;all;;1301;;;
14469;Nedlitzer Str;65;;85;;odd;;1301;;;
14469;Nietnerstr;8;;24;;even;;1301;;;
14469;Opolestr;;;;;all;;1301;;;
14469;Orville-Wright-Str;100;;116;;even;;1301;;;
14469;Strandweg;;;;;all;;1301;;;
14469;Theodor-Echtermeyer-Str;21;;38;;all;;1301;;;
14469;Viereckremise;;;;;all;;1301;;;
14469;David-Gilly-Str;1;;5;;odd;;1302;;;
14469;Dennis-Gabor-Str;;;;;all;;1302;;;
14469;Fliederweg;;;;;all;;1302;;;
14469;Habichtweg;14;;;;all;;1302;;;
14469;Habichtweg;21;;45;;odd;;1302;;;
14469;Heisenbergstr;;;;;all;;1302;;;
14469;Kirschallee;1;;32;;all;;1302;;;
14469;Kirschallee;173;;177;;all;;1302;;;
14469;Ludwig-Boltzmann-Str;2;;4;;even;;1302;;;
14469;Neue Kirschallee;;;;;all;;1302;;;
14469;Potsdamer Str;1;;11;;all;;1302;;;
14469;Schulplatz;2;A;6;B;all;;1302;;;
14469;Am Drachenberg;;;;;all;;1303;;;
14469;Am Krongut;;;;;all;;1303;;;
14469;Amundsenstr;28;;46;;even;;1303;;;
14469;Amundsenstr;33;;33;A;odd;;1303;;;
14469;Blumenstr;;;;;all;;1303;;;
14469;Eichenallee;;;;;all;;1303;;;
14469;GA Am Drachenberg;;;;;all;;1303;;;
14469;GA Am Lindstedter Tor;;;;;all;;1303;;;
14469;GA An der Amundsenstr;;;;;all;;1303;;;
14469;GA An der Katharinenholzstr;;;;;all;;1303;;;
