vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
1101; Leibniz-Institut  für  Agrartechnik,  Gästehaus  des  ATB ;Max-Eyth-Allee;53;;;14469;Potsdam;;barrierefrei
1102; Grundschule  In  Bornim  (11) ; Potsdamer  Str. ;90;;;14469;Potsdam;; nicht  barrierefrei 
1301; Kita  Firlefanz ; Nedlitzer  Holz ;12a;;;14469;Potsdam;;barrierefrei
1302; Karl-Foerster-Schule  (25/26) ;Kirschallee;172;;;14469;Potsdam;;barrierefrei
1303; Schulplatz  1,  Hort ;Schulplatz;1;;;14469;Potsdam;;barrierefrei
1304; Karl-Foerster-Schule  (25/26) ;Kirschallee;172;;;14469;Potsdam;;barrierefrei
1305; Grundschule  Im  Bornstedter  Feld  (3) ;Jakob-von-Gundling-Str.;25;;;14469;Potsdam;;barrierefrei
1306; Leonardo-da-Vinci-Gesamtschule  (32) ;Esplanade;3;;;14469;Potsdam;;barrierefrei
1307; Fachhochschule  Potsdam ;Kiepenheuerallee;5;;;14469;Potsdam;;barrierefrei
1308; Grundschule  Im  Bornstedter  Feld  (3) ;Jakob-von-Gundling-Str.;25;;;14469;Potsdam;;barrierefrei
1309; Leonardo-da-Vinci-Gesamtschule  (32) ;Esplanade;3;;;14469;Potsdam;;barrierefrei
1401; Schloß  Sacrow ; Krampnitzer  Str. ;33;;;14469;Potsdam;; nicht  barrierefrei 
1501; Kita  Wilde  Früchtchen ;Wildbirnenweg;10;;;14469;Potsdam;;barrierefrei
1502; Grundschule  Ludwig  Renn  (2) ;Kaiser-Friedrich-Str.;15a;;;14469;Potsdam;;barrierefrei
1503; Kita  Turmspatzen ;Kaiser-Friedrich-Str.;32;;;14469;Potsdam;;barrierefrei
1504; Grundschule  Ludwig  Renn  (2) ;Kaiser-Friedrich-Str.;15a;;;14469;Potsdam;;barrierefrei
1601; BAUERei  in  Grube ;Wublitzstr.;11;;;14469;Potsdam;; nicht  barrierefrei 
1701; Universität  Potsdam,  Komplex  Golm ; Karl-Liebknecht-Str.  Golm ;24-25;;;14476;Potsdam;;barrierefrei
1702; ehemaliges  Gemeindebüro  Golm ;Reiherbergstr.;31;;;14476;Potsdam;; nicht  barrierefrei 
1703; Universität  Potsdam,  Komplex  Golm ; Karl-Liebknecht-Str.  Golm ;24-25;;;14476;Potsdam;;barrierefrei
2101; Evangelische  Grundschule  Potsdam ; Große  Weinmeisterstr. ;49;;;14467;Potsdam;;barrierefrei
2102; Treffpunkt  Freizeit ; Am  Neuen  Garten ;64;;;14469;Potsdam;;barrierefrei
2103;" Kita  ""Vielfalt"" ";Puschkinallee;14;;;14469;Potsdam;; nicht  barrierefrei 
2104; Leonardo-da-Vinci-Gesamtschule  (32) ;Esplanade;3;;;14469;Potsdam;;barrierefrei
2201; Oberstufenzentrum  I  Technik ;Jägerallee;23;a;;14469;Potsdam;;barrierefrei
2202; Oberstufenzentrum  I  Technik ;Jägerallee;23;a;;14469;Potsdam;;barrierefrei
2301; Johanna-Just-Oberstufenzentrum  (III) ; Berliner  Str. ;114;;;14467;Potsdam;;barrierefrei
2302; Johanna-Just-Oberstufenzentrum  (III) ; Berliner  Str. ;114;;;14467;Potsdam;;barrierefrei
3101; Voltaire-Gesamtschule  (9) ;Lindenstr.;32;;;14467;Potsdam;; nicht  barrierefrei 
3102; Käthe-Kollwitz-Oberschule  (13) ;Clara-Zetkin-Str.;11;;;14471;Potsdam;; nicht  barrierefrei 
3103; Käthe-Kollwitz-Oberschule  (13) ;Clara-Zetkin-Str.;11;;;14471;Potsdam;; nicht  barrierefrei 
3104;" Begegnungsstätte  VS  ""Auf  dem  Kiewitt"" ";Zeppelinstr.;163;a;;14471;Potsdam;;barrierefrei
3105;" Kindertagesstätte  ""Baumschule"" ";Geschw.-Scholl-Str.;33;b;;14471;Potsdam;;barrierefrei
3106; Gerhart-Hauptmann-Grundschule  (12) ;Carl-v.-Ossietzky-Str.;37;;;14471;Potsdam;; nicht  barrierefrei 
3107; AWO  Schillertreff ;Schillerplatz;20;;;14471;Potsdam;;barrierefrei
3108; Gerhart-Hauptmann-Grundschule  (12) ;Carl-v.-Ossietzky-Str.;37;;;14471;Potsdam;; nicht  barrierefrei 
3201; Zeppelin-Grundschule  (23) ;Haeckelstr.;74;;;14471;Potsdam;;barrierefrei
3202; Zeppelin-Grundschule  (23) ;Haeckelstr.;74;;;14471;Potsdam;;barrierefrei
